,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,,TOR,L,118,138,,38,90,.422,10,35,.286,28,55,.509,.478,32,37,.865,8,26,34,25,7,6,16,24,54,95,.568,6,25,.240,48,70,.686,.600,24,29,.828,12,42,54,36,10,4,19,31
2,2,2025-10-24,@,ORL,W,111,107,,41,85,.482,8,29,.276,33,56,.589,.529,21,28,.750,9,31,40,26,9,5,16,21,37,78,.474,9,31,.290,28,47,.596,.532,24,37,.649,12,33,45,21,7,3,22,26
3,3,2025-10-25,,OKC,L,100,117,,35,85,.412,16,39,.410,19,46,.413,.506,14,21,.667,15,31,46,25,7,5,17,23,43,93,.462,14,37,.378,29,56,.518,.538,17,19,.895,15,35,50,21,13,3,13,19
4,4,2025-10-27,@,CHI,L,123,128,,49,98,.500,11,32,.344,38,66,.576,.556,14,20,.700,8,28,36,32,8,1,6,17,48,92,.522,16,43,.372,32,49,.653,.609,16,21,.762,12,39,51,33,5,4,18,20
5,5,2025-10-29,@,BRK,W,117,112,,44,93,.473,13,33,.394,31,60,.517,.543,16,22,.727,13,31,44,33,11,8,8,26,40,88,.455,11,37,.297,29,51,.569,.517,21,27,.778,15,32,47,23,4,4,16,17
6,6,2025-10-31,@,IND,W,128,108,,51,94,.543,10,30,.333,41,64,.641,.596,16,20,.800,12,43,55,30,10,5,10,23,35,99,.354,13,47,.277,22,52,.423,.419,25,33,.758,18,31,49,23,6,3,12,16
7,7,2025-11-02,@,CLE,L,109,117,,39,77,.506,6,23,.261,33,54,.611,.545,25,35,.714,8,38,46,28,9,3,23,21,40,97,.412,20,57,.351,20,40,.500,.515,17,18,.944,13,31,44,30,12,4,18,28
8,8,2025-11-04,,ORL,W,127,112,,40,72,.556,13,30,.433,27,42,.643,.646,34,42,.810,6,28,34,23,11,6,20,24,36,83,.434,11,34,.324,25,49,.510,.500,29,33,.879,14,27,41,26,9,1,19,30
9,9,2025-11-07,,TOR,L,97,109,,33,96,.344,9,38,.237,24,58,.414,.391,22,23,.957,19,35,54,24,8,7,19,19,37,91,.407,12,38,.316,25,53,.472,.473,23,25,.920,13,35,48,23,11,6,13,21
10,10,2025-11-08,,LAL,W,122,102,,48,93,.516,16,39,.410,32,54,.593,.602,10,11,.909,7,30,37,37,13,6,11,14,37,81,.457,12,30,.400,25,51,.490,.531,16,20,.800,13,34,47,23,8,5,20,11
11,11,2025-11-10,@,LAC,W,105,102,,38,84,.452,13,34,.382,25,50,.500,.530,16,20,.800,7,34,41,30,7,8,12,22,36,82,.439,12,38,.316,24,44,.545,.512,18,25,.720,11,31,42,19,7,9,12,14
12,12,2025-11-12,@,SAC,W,133,100,,49,85,.576,17,40,.425,32,45,.711,.676,18,22,.818,7,38,45,42,14,6,21,20,36,92,.391,14,39,.359,22,53,.415,.467,14,18,.778,9,26,35,22,7,1,20,19
13,13,2025-11-13,@,UTA,W,132,122,,46,90,.511,24,47,.511,22,43,.512,.644,16,22,.727,9,34,43,36,18,6,18,18,45,92,.489,19,44,.432,26,48,.542,.592,13,21,.619,14,35,49,39,9,5,24,19
14,14,2025-11-16,@,PHO,W,124,122,,45,85,.529,14,43,.326,31,42,.738,.612,20,24,.833,9,25,34,35,11,3,17,19,47,97,.485,10,30,.333,37,67,.552,.536,18,19,.947,16,31,47,23,9,3,17,24
15,15,2025-11-18,,DET,L,112,120,,42,87,.483,15,44,.341,27,43,.628,.569,13,15,.867,11,24,35,31,9,5,19,24,45,83,.542,10,31,.323,35,52,.673,.602,20,24,.833,7,32,39,28,12,4,15,16
16,16,2025-11-20,@,SAS,L,126,135,,49,87,.563,20,37,.541,29,50,.580,.678,8,13,.615,6,33,39,30,7,6,16,24,48,91,.527,17,40,.425,31,51,.608,.621,22,30,.733,10,33,43,34,10,4,11,15
17,17,2025-11-22,@,NOP,W,115,98,,42,90,.467,17,46,.370,25,44,.568,.561,14,19,.737,10,32,42,28,6,7,7,20,35,84,.417,8,27,.296,27,57,.474,.464,20,24,.833,13,35,48,21,5,6,18,17
