,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,,PHI,L,116,117,,41,91,.451,11,43,.256,30,48,.625,.511,23,26,.885,10,32,42,16,7,4,11,28,39,85,.459,16,41,.390,23,44,.523,.553,23,30,.767,10,30,40,23,3,4,14,23
2,2,2025-10-24,@,NYK,L,95,105,,35,82,.427,15,44,.341,20,38,.526,.518,10,15,.667,8,29,37,19,10,7,16,25,33,86,.384,17,45,.378,16,41,.390,.483,22,25,.880,21,32,53,23,7,4,20,17
3,3,2025-10-26,@,DET,L,113,119,,40,94,.426,15,45,.333,25,49,.510,.505,18,24,.750,12,26,38,17,11,8,12,26,39,93,.419,9,34,.265,30,59,.508,.468,32,36,.889,19,36,55,22,7,5,16,24
4,4,2025-10-27,@,NOP,W,122,90,,46,95,.484,18,53,.340,28,42,.667,.579,12,15,.800,16,38,54,25,5,7,12,24,28,84,.333,9,36,.250,19,48,.396,.387,25,28,.893,11,24,35,17,7,0,14,19
5,5,2025-10-29,,CLE,W,125,105,,42,95,.442,21,57,.368,21,38,.553,.553,20,24,.833,18,35,53,29,11,3,10,19,35,87,.402,17,52,.327,18,35,.514,.500,18,24,.750,11,31,42,25,6,4,14,22
6,6,2025-10-31,@,PHI,W,109,108,,44,101,.436,14,45,.311,30,56,.536,.505,7,12,.583,16,29,45,26,8,7,10,24,37,78,.474,13,34,.382,24,44,.545,.558,21,29,.724,9,31,40,27,6,7,18,13
7,7,2025-11-01,,HOU,L,101,128,,40,103,.388,14,44,.318,26,59,.441,.456,7,7,1.000,14,22,36,24,9,2,10,25,42,77,.545,19,29,.655,23,48,.479,.669,25,35,.714,12,41,53,30,6,11,20,14
8,8,2025-11-03,,UTA,L,103,105,,37,89,.416,11,51,.216,26,38,.684,.478,18,22,.818,10,26,36,21,12,4,10,22,38,84,.452,9,31,.290,29,53,.547,.506,20,25,.800,15,40,55,23,4,2,19,21
9,9,2025-11-05,,WAS,W,136,107,,52,95,.547,16,41,.390,36,54,.667,.632,16,21,.762,12,28,40,31,12,3,7,24,39,80,.488,9,27,.333,30,53,.566,.544,20,27,.741,11,29,40,25,2,5,19,18
10,10,2025-11-07,@,ORL,L,110,123,,43,95,.453,13,37,.351,30,58,.517,.521,11,16,.688,12,32,44,26,9,8,14,27,41,82,.500,17,36,.472,24,46,.522,.604,24,31,.774,11,33,44,28,8,7,15,18
11,11,2025-11-09,@,ORL,W,111,107,,40,85,.471,13,33,.394,27,52,.519,.547,18,25,.720,13,28,41,22,10,2,14,27,35,78,.449,7,29,.241,28,49,.571,.494,30,32,.938,12,30,42,21,8,4,17,24
12,12,2025-11-11,@,PHI,L,100,102,,36,92,.391,13,38,.342,23,54,.426,.462,15,19,.789,13,40,53,23,4,6,11,17,36,84,.429,14,36,.389,22,48,.458,.512,16,19,.842,8,36,44,24,2,6,9,22
13,13,2025-11-12,,MEM,W,131,95,,50,99,.505,21,51,.412,29,48,.604,.611,10,12,.833,18,40,58,34,4,8,11,20,32,95,.337,10,43,.233,22,52,.423,.389,21,26,.808,15,26,41,25,8,4,10,18
14,14,2025-11-16,,LAC,W,121,118,,46,103,.447,16,39,.410,30,64,.469,.524,13,17,.765,20,29,49,26,6,6,6,21,38,81,.469,14,35,.400,24,46,.522,.556,28,30,.933,10,34,44,23,4,7,14,20
15,15,2025-11-18,@,BRK,W,113,99,,37,75,.493,19,42,.452,18,33,.545,.620,20,26,.769,10,39,49,25,6,5,20,24,33,82,.402,14,38,.368,19,44,.432,.488,19,27,.704,12,27,39,25,12,2,14,22
16,16,2025-11-21,,BRK,L,105,113,,42,90,.467,11,34,.324,31,56,.554,.528,10,14,.714,14,30,44,24,7,1,13,25,43,82,.524,13,33,.394,30,49,.612,.604,14,21,.667,7,34,41,31,5,6,14,17
17,17,2025-11-23,,ORL,W,138,129,,53,88,.602,15,33,.455,38,55,.691,.688,17,22,.773,7,30,37,29,6,8,5,21,47,100,.470,16,38,.421,31,62,.500,.550,19,24,.792,18,26,44,33,3,4,8,17
18,18,2025-11-26,,DET,W,117,114,,38,87,.437,20,43,.465,18,44,.409,.552,21,24,.875,12,32,44,24,9,7,13,27,37,93,.398,11,36,.306,26,57,.456,.457,29,36,.806,21,35,56,20,5,7,13,18
19,19,2025-11-29,@,MIN,L,115,119,,45,96,.469,16,46,.348,29,50,.580,.552,9,15,.600,14,29,43,24,10,7,11,21,41,83,.494,21,48,.438,20,35,.571,.620,16,20,.800,5,32,37,31,3,4,15,16
20,20,2025-11-30,@,CLE,W,117,115,,40,81,.494,14,40,.350,26,41,.634,.580,23,29,.793,15,31,46,19,9,4,19,17,43,94,.457,20,52,.385,23,42,.548,.564,9,13,.692,16,27,43,28,7,2,14,22
21,21,2025-12-02,,NYK,W,123,117,,49,87,.563,13,40,.325,36,47,.766,.638,12,14,.857,11,27,38,18,6,3,10,20,43,85,.506,19,44,.432,24,41,.585,.618,12,17,.706,10,23,33,29,5,2,12,15
22,22,2025-12-04,@,WAS,W,146,101,,54,99,.545,20,47,.426,34,52,.654,.646,18,21,.857,15,31,46,35,14,8,10,20,35,84,.417,10,31,.323,25,53,.472,.476,21,25,.840,12,25,37,21,5,4,18,22
