,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,@,CHO,L,117,136,,39,88,.443,14,40,.350,25,48,.521,.523,25,34,.735,12,26,38,25,8,3,17,28,48,90,.533,17,36,.472,31,54,.574,.628,23,33,.697,14,36,50,33,5,5,17,25
2,2,2025-10-24,,CLE,L,124,131,,49,96,.510,19,45,.422,30,51,.588,.609,7,7,1.000,10,28,38,30,9,0,20,28,44,82,.537,18,42,.429,26,40,.650,.646,25,35,.714,9,27,36,32,14,5,17,18
3,3,2025-10-26,@,SAS,L,107,118,,34,87,.391,16,50,.320,18,37,.486,.483,23,24,.958,11,23,34,22,9,0,12,30,39,78,.500,12,27,.444,27,51,.529,.577,28,36,.778,11,34,45,20,7,6,15,23
4,4,2025-10-27,@,HOU,L,109,137,,41,86,.477,15,40,.375,26,46,.565,.564,12,18,.667,15,22,37,22,3,0,14,24,49,85,.576,16,32,.500,33,53,.623,.671,23,26,.885,9,30,39,33,10,4,10,22
5,5,2025-10-29,,ATL,L,112,117,,40,88,.455,11,37,.297,29,51,.569,.517,21,27,.778,15,32,47,23,4,4,16,17,44,93,.473,13,33,.394,31,60,.517,.543,16,22,.727,13,31,44,33,11,8,8,26
6,6,2025-11-02,,PHI,L,105,129,,39,91,.429,7,39,.179,32,52,.615,.467,20,26,.769,13,31,44,21,10,4,19,15,50,96,.521,15,40,.375,35,56,.625,.599,14,17,.824,12,32,44,34,10,6,15,25
7,7,2025-11-03,,MIN,L,109,125,,36,89,.404,12,40,.300,24,49,.490,.472,25,38,.658,18,22,40,25,9,4,12,24,44,78,.564,14,35,.400,30,43,.698,.654,23,35,.657,14,39,53,33,6,4,17,26
8,8,2025-11-05,@,IND,W,112,103,,36,86,.419,14,40,.350,22,46,.478,.500,26,35,.743,10,35,45,26,9,5,14,17,41,99,.414,13,36,.361,28,63,.444,.480,8,13,.615,16,40,56,29,6,5,18,23
9,9,2025-11-07,,DET,L,107,125,,34,80,.425,17,46,.370,17,34,.500,.531,22,26,.846,8,22,30,26,5,1,20,24,49,85,.576,6,26,.231,43,59,.729,.612,21,30,.700,11,35,46,32,14,1,13,19
10,10,2025-11-09,@,NYK,L,98,134,,33,82,.402,14,45,.311,19,37,.514,.488,18,24,.750,15,23,38,21,5,8,19,25,48,89,.539,17,37,.459,31,52,.596,.635,21,26,.808,15,31,46,31,9,3,14,25
11,11,2025-11-11,,TOR,L,109,119,,32,81,.395,14,41,.341,18,40,.450,.481,31,32,.969,7,29,36,24,7,5,13,20,45,91,.495,9,35,.257,36,56,.643,.544,20,25,.800,13,37,50,31,5,4,9,23
12,12,2025-11-14,@,ORL,L,98,105,,38,89,.427,10,39,.256,28,50,.560,.483,12,16,.750,7,27,34,23,9,4,7,19,36,78,.462,15,39,.385,21,39,.538,.558,18,21,.857,7,39,46,21,3,5,19,16
13,13,2025-11-16,@,WAS,W,129,106,,42,79,.532,17,41,.415,25,38,.658,.639,28,35,.800,7,37,44,32,4,8,15,18,37,84,.440,12,34,.353,25,50,.500,.512,20,22,.909,3,30,33,21,7,3,12,25
