,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,,DET,W,115,111,,39,87,.448,11,30,.367,28,57,.491,.511,26,32,.813,12,38,50,29,6,8,18,23,43,97,.443,7,24,.292,36,73,.493,.479,18,26,.692,13,33,46,29,8,10,10,29
2,2,2025-10-25,@,ORL,W,110,98,,39,83,.470,10,27,.370,29,56,.518,.530,22,29,.759,9,37,46,26,13,2,20,26,34,87,.391,3,24,.125,31,63,.492,.408,27,33,.818,15,38,53,12,8,5,20,25
3,3,2025-10-27,,ATL,W,128,123,,48,92,.522,16,43,.372,32,49,.653,.609,16,21,.762,12,39,51,33,5,4,18,20,49,98,.500,11,32,.344,38,66,.576,.556,14,20,.700,8,28,36,32,8,1,6,17
4,4,2025-10-29,,SAC,W,126,113,,49,91,.538,14,32,.438,35,59,.593,.615,14,18,.778,12,34,46,34,6,2,16,20,43,82,.524,7,28,.250,36,54,.667,.567,20,26,.769,5,26,31,28,10,2,10,17
5,5,2025-10-31,,NYK,W,135,125,,45,84,.536,17,37,.459,28,47,.596,.637,28,35,.800,6,35,41,31,8,6,9,22,45,91,.495,18,45,.400,27,46,.587,.593,17,23,.739,12,27,39,27,3,5,12,25
6,6,2025-11-02,@,NYK,L,116,128,,45,93,.484,17,40,.425,28,53,.528,.575,9,11,.818,12,34,46,28,7,3,14,20,43,95,.453,20,42,.476,23,53,.434,.558,22,22,1.000,14,33,47,31,7,5,11,12
7,7,2025-11-04,,PHI,W,113,111,,42,89,.472,13,34,.382,29,55,.527,.545,16,20,.800,12,36,48,26,11,9,18,19,40,94,.426,11,30,.367,29,64,.453,.484,20,24,.833,12,28,40,22,12,11,16,21
8,8,2025-11-07,@,MIL,L,110,126,,44,90,.489,10,33,.303,34,57,.596,.544,12,16,.750,8,37,45,34,9,3,14,19,48,103,.466,16,39,.410,32,64,.500,.544,14,18,.778,14,39,53,27,10,6,11,16
9,9,2025-11-08,@,CLE,L,122,128,,38,84,.452,13,29,.448,25,55,.455,.530,33,36,.917,10,39,49,27,8,4,14,25,46,94,.489,17,46,.370,29,48,.604,.580,19,26,.731,10,29,39,32,6,7,9,27
