,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,,BRK,W,136,117,,48,90,.533,17,36,.472,31,54,.574,.628,23,33,.697,14,36,50,33,5,5,17,25,39,88,.443,14,40,.350,25,48,.521,.523,25,34,.735,12,26,38,25,8,3,17,28
2,2,2025-10-25,@,PHI,L,121,125,,43,89,.483,16,42,.381,27,47,.574,.573,19,28,.679,13,32,45,30,6,3,17,26,41,87,.471,18,39,.462,23,48,.479,.575,25,32,.781,11,29,40,29,10,5,15,25
3,3,2025-10-26,@,WAS,W,139,113,,47,92,.511,15,38,.395,32,54,.593,.592,30,36,.833,11,41,52,30,12,4,12,16,41,91,.451,10,34,.294,31,57,.544,.505,21,25,.840,7,33,40,25,5,4,15,27
4,4,2025-10-28,@,MIA,L,117,144,,40,90,.444,18,45,.400,22,45,.489,.544,19,23,.826,9,32,41,26,9,3,18,18,52,96,.542,20,45,.444,32,51,.627,.646,20,22,.909,8,29,37,34,8,2,11,16
5,5,2025-10-30,,ORL,L,107,123,,42,83,.506,11,30,.367,31,53,.585,.572,12,15,.800,12,29,41,24,5,6,21,22,45,87,.517,16,38,.421,29,49,.592,.609,17,23,.739,14,24,38,29,10,7,13,19
6,6,2025-11-01,,MIN,L,105,122,,34,86,.395,13,45,.289,21,41,.512,.471,24,27,.889,10,35,45,23,4,4,14,16,47,87,.540,17,36,.472,30,51,.588,.638,11,14,.786,4,34,38,31,8,2,10,22
7,7,2025-11-02,,UTA,W,126,103,,43,88,.489,18,43,.419,25,45,.556,.591,22,22,1.000,9,37,46,31,6,6,15,25,36,88,.409,7,32,.219,29,56,.518,.449,24,29,.828,10,28,38,27,7,3,11,24
8,8,2025-11-04,@,NOP,L,112,116,,39,82,.476,13,38,.342,26,44,.591,.555,21,28,.750,15,34,49,20,8,6,20,23,43,90,.478,17,38,.447,26,52,.500,.572,13,19,.684,13,26,39,27,9,3,13,20
9,9,2025-11-07,@,MIA,L,108,126,,37,97,.381,10,39,.256,27,58,.466,.433,24,27,.889,19,38,57,22,4,9,18,18,51,99,.515,12,28,.429,39,71,.549,.576,12,14,.857,6,31,37,31,10,7,8,21
10,10,2025-11-10,,LAL,L,111,121,,37,71,.521,17,36,.472,20,35,.571,.641,20,22,.909,9,28,37,28,6,6,23,25,45,90,.500,14,39,.359,31,51,.608,.578,17,20,.850,12,24,36,25,12,2,11,22
11,11,2025-11-12,,MIL,W,111,100,,38,86,.442,12,40,.300,26,46,.565,.512,23,27,.852,15,35,50,27,5,5,16,15,40,88,.455,12,30,.400,28,58,.483,.523,8,13,.615,10,24,34,29,6,6,9,22
12,12,2025-11-14,@,MIL,L,134,147,OT,47,98,.480,17,45,.378,30,53,.566,.566,23,29,.793,10,29,39,31,11,1,13,21,55,85,.647,20,34,.588,35,51,.686,.765,17,22,.773,5,34,39,37,10,3,22,25
13,13,2025-11-15,,OKC,L,96,109,,37,96,.385,16,42,.381,21,54,.389,.469,6,7,.857,12,30,42,23,6,5,15,10,45,89,.506,11,23,.478,34,66,.515,.567,8,10,.800,13,37,50,26,9,6,14,15
14,14,2025-11-17,@,TOR,L,108,110,,37,87,.425,10,40,.250,27,47,.574,.483,24,30,.800,14,34,48,19,11,9,16,14,44,88,.500,10,25,.400,34,63,.540,.557,12,16,.750,8,35,43,25,8,7,17,21
15,15,2025-11-19,@,IND,L,118,127,,43,107,.402,13,45,.289,30,62,.484,.463,19,22,.864,22,26,48,28,7,2,13,18,46,85,.541,16,38,.421,30,47,.638,.635,19,23,.826,10,33,43,32,5,8,16,22
