,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,,SAS,L,92,125,,31,83,.373,9,21,.429,22,62,.355,.428,21,26,.808,9,28,37,20,5,3,16,24,50,87,.575,8,20,.400,42,67,.627,.621,17,28,.607,11,39,50,24,10,5,15,24
2,2,2025-10-24,,WAS,L,107,117,,38,88,.432,10,34,.294,28,54,.519,.489,21,27,.778,9,39,48,23,11,5,21,19,41,90,.456,15,36,.417,26,54,.481,.539,20,29,.690,10,38,48,27,11,8,17,24
3,3,2025-10-26,,TOR,W,139,129,,50,85,.588,10,26,.385,40,59,.678,.647,29,39,.744,12,37,49,32,12,7,20,26,49,100,.490,13,33,.394,36,67,.537,.555,18,24,.750,14,29,43,33,10,1,16,28
4,4,2025-10-27,,OKC,L,94,101,,33,87,.379,12,39,.308,21,48,.438,.448,16,22,.727,6,30,36,20,6,4,9,15,42,90,.467,6,30,.200,36,60,.600,.500,11,13,.846,9,46,55,21,5,5,13,23
5,5,2025-10-29,,IND,W,107,105,,36,79,.456,5,24,.208,31,55,.564,.487,30,37,.811,7,40,47,21,4,7,19,22,37,106,.349,13,45,.289,24,61,.393,.410,18,28,.643,19,33,52,20,8,7,14,29
6,6,2025-11-01,@,DET,L,110,122,,34,80,.425,16,45,.356,18,35,.514,.525,26,31,.839,7,36,43,23,3,3,15,25,45,91,.495,9,24,.375,36,67,.537,.544,23,34,.676,14,33,47,29,10,4,8,22
7,7,2025-11-03,@,HOU,L,102,110,,40,89,.449,9,36,.250,31,53,.585,.500,13,20,.650,10,30,40,30,12,6,15,25,41,89,.461,8,29,.276,33,60,.550,.506,20,30,.667,15,39,54,23,9,7,17,17
8,8,2025-11-05,,NOP,L,99,101,,37,89,.416,10,32,.313,27,57,.474,.472,15,20,.750,10,34,44,18,11,7,15,15,39,91,.429,10,31,.323,29,60,.483,.484,13,16,.813,14,42,56,18,10,3,16,18
9,9,2025-11-07,@,MEM,L,104,118,,42,86,.488,10,39,.256,32,47,.681,.547,10,16,.625,8,36,44,25,7,6,18,20,41,85,.482,13,35,.371,28,50,.560,.559,23,28,.821,7,35,42,27,8,1,15,20
10,10,2025-11-08,@,WAS,W,111,105,,42,93,.452,6,24,.250,36,69,.522,.484,21,30,.700,16,35,51,26,15,6,13,17,37,89,.416,11,35,.314,26,54,.481,.478,20,23,.870,12,32,44,17,7,7,18,21
11,11,2025-11-10,,MIL,L,114,116,,37,89,.416,9,39,.231,28,50,.560,.466,31,41,.756,16,36,52,25,8,8,15,22,41,91,.451,14,36,.389,27,55,.491,.527,20,25,.800,8,36,44,24,9,6,13,26
12,12,2025-11-12,,PHO,L,114,123,,43,86,.500,17,47,.362,26,39,.667,.599,11,17,.647,8,37,45,32,10,10,21,23,44,95,.463,14,35,.400,30,60,.500,.537,21,26,.808,13,33,46,31,13,3,12,20
13,13,2025-11-14,,LAC,L,127,133,2OT,44,99,.444,10,36,.278,34,63,.540,.495,29,38,.763,11,39,50,18,11,7,25,25,45,95,.474,13,42,.310,32,53,.604,.542,30,36,.833,7,38,45,22,16,6,23,32
14,14,2025-11-16,,POR,W,138,133,OT,48,95,.505,15,34,.441,33,61,.541,.584,27,40,.675,13,34,47,33,7,9,15,22,46,113,.407,14,47,.298,32,66,.485,.469,27,32,.844,22,31,53,26,8,5,12,32
15,15,2025-11-17,@,MIN,L,96,120,,34,85,.400,9,30,.300,25,55,.455,.453,19,31,.613,10,33,43,13,7,4,20,22,44,97,.454,14,44,.318,30,53,.566,.526,18,25,.720,14,45,59,27,16,5,17,24
16,16,2025-11-19,,NYK,L,111,113,,35,85,.412,16,44,.364,19,41,.463,.506,25,30,.833,10,40,50,23,6,5,18,26,41,93,.441,12,42,.286,29,51,.569,.505,19,35,.543,16,33,49,27,8,10,9,22
17,17,2025-11-21,,NOP,W,118,115,,40,84,.476,16,43,.372,24,41,.585,.571,22,28,.786,11,36,47,30,9,9,20,19,42,91,.462,7,27,.259,35,64,.547,.500,24,31,.774,9,33,42,25,15,4,13,20
18,18,2025-11-22,,MEM,L,96,102,,35,91,.385,12,36,.333,23,55,.418,.451,14,16,.875,11,30,41,19,4,9,10,21,37,92,.402,8,31,.258,29,61,.475,.446,20,24,.833,23,38,61,26,5,5,13,18
19,19,2025-11-24,@,MIA,L,102,106,,38,97,.392,12,40,.300,26,57,.456,.454,14,16,.875,15,35,50,22,8,5,16,19,42,94,.447,5,27,.185,37,67,.552,.473,17,24,.708,14,39,53,22,8,7,14,16
20,20,2025-11-28,@,LAL,L,119,129,,44,91,.484,14,32,.438,30,59,.508,.560,17,20,.850,14,25,39,28,8,4,11,23,45,76,.592,18,35,.514,27,41,.659,.711,21,26,.808,6,28,34,27,4,4,15,20
21,21,2025-11-29,@,LAC,W,114,110,,40,90,.444,11,39,.282,29,51,.569,.506,23,28,.821,4,33,37,22,15,2,9,19,37,80,.463,7,25,.280,30,55,.545,.506,29,31,.935,5,41,46,25,5,6,18,21
22,22,2025-12-01,@,DEN,W,131,121,,53,95,.558,16,31,.516,37,64,.578,.642,9,14,.643,7,36,43,35,4,4,8,19,47,99,.475,12,37,.324,35,62,.565,.535,15,18,.833,12,35,47,37,5,5,8,11
23,23,2025-12-03,,MIA,W,118,108,,46,91,.505,16,32,.500,30,59,.508,.593,10,12,.833,10,40,50,31,6,7,15,15,40,101,.396,11,37,.297,29,64,.453,.450,17,18,.944,14,27,41,29,11,5,11,13
24,24,2025-12-05,@,OKC,L,111,132,,41,86,.477,16,37,.432,25,49,.510,.570,13,20,.650,9,26,35,28,2,3,12,17,47,84,.560,12,30,.400,35,54,.648,.631,26,28,.929,7,36,43,30,5,3,6,21
25,25,2025-12-06,,HOU,W,122,109,,49,82,.598,7,19,.368,42,63,.667,.640,17,20,.850,7,24,31,22,13,4,13,14,44,87,.506,10,29,.345,34,58,.586,.563,11,13,.846,16,21,37,22,8,6,20,20
26,26,2025-12-12,,BRK,W,119,111,,46,94,.489,10,30,.333,36,64,.563,.543,17,22,.773,9,31,40,33,10,8,14,20,39,86,.453,17,39,.436,22,47,.468,.552,16,19,.842,9,34,43,26,8,5,17,22
27,27,2025-12-15,@,UTA,L,133,140,OT,48,98,.490,9,27,.333,39,71,.549,.536,28,41,.683,14,40,54,24,6,6,15,26,50,97,.515,13,36,.361,37,61,.607,.582,27,33,.818,8,39,47,33,8,4,13,32
28,28,2025-12-18,,DET,W,116,114,OT,40,89,.449,5,27,.185,35,62,.565,.478,31,36,.861,11,40,51,22,4,15,17,21,47,122,.385,6,33,.182,41,89,.461,.410,14,20,.700,26,36,62,26,11,4,12,27
29,29,2025-12-20,@,PHI,L,114,121,,45,83,.542,3,18,.167,42,65,.646,.560,21,22,.955,8,36,44,24,5,7,18,22,44,102,.431,12,40,.300,32,62,.516,.490,21,28,.750,20,27,47,27,11,2,10,13
30,30,2025-12-22,@,NOP,L,113,119,,46,104,.442,10,33,.303,36,71,.507,.490,11,21,.524,18,39,57,29,9,5,17,19,44,97,.454,8,34,.235,36,63,.571,.495,23,27,.852,14,37,51,28,9,2,13,16
31,31,2025-12-23,,DEN,W,131,130,,53,93,.570,11,27,.407,42,66,.636,.629,14,15,.933,11,25,36,34,9,2,11,12,50,87,.575,20,41,.488,30,46,.652,.690,10,10,1.000,7,27,34,39,8,1,15,16
32,32,2025-12-25,@,GSW,L,116,126,,49,89,.551,4,14,.286,45,75,.600,.573,14,21,.667,3,38,41,18,5,5,11,16,44,99,.444,14,50,.280,30,49,.612,.515,24,26,.923,13,36,49,33,9,4,11,22
33,33,2025-12-27,@,SAC,L,107,113,,40,87,.460,13,27,.481,27,60,.450,.534,14,20,.700,11,40,51,23,6,8,21,11,45,104,.433,17,38,.447,28,66,.424,.514,6,8,.750,14,36,50,32,16,7,11,15
34,34,2025-12-29,@,POR,L,122,125,,46,91,.505,11,32,.344,35,59,.593,.566,19,24,.792,8,33,41,33,6,7,12,19,46,97,.474,16,41,.390,30,56,.536,.557,17,22,.773,17,31,48,27,3,3,16,24
35,35,2026-01-01,,PHI,L,108,123,,42,94,.447,6,28,.214,36,66,.545,.479,18,20,.900,7,32,39,23,8,1,13,12,48,90,.533,13,36,.361,35,54,.648,.606,14,16,.875,6,37,43,22,10,7,12,19
36,36,2026-01-03,,HOU,W,110,104,,44,80,.550,8,21,.381,36,59,.610,.600,14,18,.778,2,45,47,24,6,10,16,15,41,106,.387,10,41,.244,31,65,.477,.434,12,15,.800,17,34,51,24,13,7,9,17
37,37,2026-01-06,@,SAC,W,100,98,,39,96,.406,8,27,.296,31,69,.449,.448,14,21,.667,15,40,55,19,6,3,17,12,39,92,.424,9,31,.290,30,61,.492,.473,11,17,.647,8,35,43,23,11,6,13,20
38,38,2026-01-08,@,UTA,L,114,116,,44,85,.518,15,36,.417,29,49,.592,.606,11,13,.846,9,38,47,30,4,2,21,13,47,95,.495,13,41,.317,34,54,.630,.563,9,14,.643,10,32,42,32,11,3,9,11
39,39,2026-01-10,@,CHI,L,107,125,,39,91,.429,13,35,.371,26,56,.464,.500,16,25,.640,9,33,42,25,7,6,14,13,50,97,.515,15,46,.326,35,51,.686,.593,10,12,.833,11,41,52,31,10,7,16,20
40,40,2026-01-12,,BRK,W,113,105,,43,85,.506,15,34,.441,28,51,.549,.594,12,16,.750,9,28,37,28,9,3,14,16,39,86,.453,9,37,.243,30,49,.612,.506,18,20,.900,13,30,43,23,5,8,17,20
41,41,2026-01-14,,DEN,L,109,118,,41,93,.441,5,34,.147,36,59,.610,.468,22,33,.667,13,34,47,16,6,3,6,20,42,85,.494,16,38,.421,26,47,.553,.588,18,22,.818,7,32,39,21,4,1,9,25
42,42,2026-01-15,,UTA,W,144,122,,55,97,.567,19,46,.413,36,51,.706,.665,15,19,.789,9,37,46,37,13,7,13,19,47,96,.490,10,36,.278,37,60,.617,.542,18,23,.783,12,27,39,33,9,4,17,14
43,43,2026-01-17,,UTA,W,138,120,,49,91,.538,18,41,.439,31,50,.620,.637,22,36,.611,13,31,44,36,8,2,11,18,48,89,.539,10,31,.323,38,58,.655,.596,14,20,.700,11,30,41,30,5,3,15,27
44,44,2026-01-19,@,NYK,W,114,97,,40,82,.488,15,32,.469,25,50,.500,.579,19,28,.679,7,42,49,25,9,5,17,21,38,95,.400,9,31,.290,29,64,.453,.447,12,20,.600,17,36,53,22,10,5,17,25
45,45,2026-01-22,,GSW,W,123,115,,43,86,.500,13,35,.371,30,51,.588,.576,24,30,.800,11,43,54,25,6,6,22,17,43,96,.448,15,46,.326,28,50,.560,.526,14,18,.778,4,31,35,29,15,7,10,24
46,46,2026-01-24,,LAL,L,110,116,,39,94,.415,10,29,.345,29,65,.446,.468,22,29,.759,11,32,43,22,10,6,11,19,40,90,.444,14,34,.412,26,56,.464,.522,22,29,.759,16,41,57,26,7,8,16,20
47,47,2026-01-28,,MIN,L,105,118,,38,84,.452,3,18,.167,35,66,.530,.470,26,39,.667,14,36,50,22,6,3,19,19,43,94,.457,12,34,.353,31,60,.517,.521,20,27,.741,11,31,42,26,15,6,12,25
48,48,2026-01-29,,CHO,L,121,123,,48,103,.466,11,33,.333,37,70,.529,.519,14,16,.875,13,37,50,26,7,8,8,15,43,91,.473,20,41,.488,23,50,.460,.582,17,18,.944,8,37,45,28,4,9,10,17
49,49,2026-01-31,@,HOU,L,107,111,,41,92,.446,10,23,.435,31,69,.449,.500,15,26,.577,11,37,48,19,3,4,11,12,45,108,.417,10,26,.385,35,82,.427,.463,11,15,.733,18,35,53,33,10,6,6,20
50,50,2026-02-03,,BOS,L,100,110,,37,89,.416,9,32,.281,28,57,.491,.466,17,22,.773,13,36,49,21,4,4,9,11,47,96,.490,13,39,.333,34,57,.596,.557,3,5,.600,10,37,47,27,7,4,10,20
51,51,2026-02-05,,SAS,L,123,135,,47,97,.485,12,31,.387,35,66,.530,.546,17,20,.850,7,34,41,23,9,8,9,20,48,95,.505,17,41,.415,31,54,.574,.595,22,25,.880,11,39,50,34,7,7,14,18
52,52,2026-02-07,@,SAS,L,125,138,,46,105,.438,15,37,.405,31,68,.456,.510,18,24,.750,12,29,41,35,10,4,7,16,55,99,.556,14,35,.400,41,64,.641,.626,14,20,.700,12,40,52,34,5,11,18,17
53,53,2026-02-10,@,PHO,L,111,120,,37,77,.481,5,22,.227,32,55,.582,.513,32,44,.727,8,34,42,18,7,5,16,12,49,102,.480,16,50,.320,33,52,.635,.559,6,9,.667,18,31,49,32,8,3,14,27
54,54,2026-02-12,@,LAL,L,104,124,,39,79,.494,7,26,.269,32,53,.604,.538,19,25,.760,4,24,28,22,7,1,15,18,48,86,.558,10,31,.323,38,55,.691,.616,18,21,.857,10,34,44,35,8,3,13,20
55,55,2026-02-20,@,MIN,L,111,122,,41,97,.423,8,25,.320,33,72,.458,.464,21,29,.724,15,30,45,21,12,3,12,18,47,99,.475,16,42,.381,31,57,.544,.556,12,19,.632,17,37,54,28,7,8,19,22
56,56,2026-02-22,@,IND,W,134,130,,51,94,.543,11,28,.393,40,66,.606,.601,21,32,.656,10,35,45,29,9,2,11,13,47,94,.500,20,42,.476,27,52,.519,.606,16,20,.800,9,30,39,37,8,3,16,23
57,57,2026-02-24,@,BRK,W,123,114,,48,82,.585,8,23,.348,40,59,.678,.634,19,24,.792,10,34,44,26,5,4,16,19,41,80,.513,13,32,.406,28,48,.583,.594,19,27,.704,5,23,28,29,11,2,11,21
58,58,2026-02-26,,SAC,L,121,130,,45,81,.556,10,23,.435,35,58,.603,.617,21,34,.618,8,34,42,23,4,3,18,16,51,101,.505,8,26,.308,43,75,.573,.545,20,25,.800,16,30,46,29,11,4,5,22
59,59,2026-02-27,,MEM,L,105,124,,37,88,.420,9,32,.281,28,56,.500,.472,22,33,.667,13,33,46,24,4,4,21,13,47,93,.505,12,32,.375,35,61,.574,.570,18,21,.857,10,33,43,29,13,7,11,26
