,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-23,@,GSW,L,131,137,OT,51,95,.537,16,40,.400,35,55,.636,.621,13,14,.929,7,36,43,32,8,4,13,22,50,99,.505,18,47,.383,32,52,.615,.596,19,25,.760,10,33,43,33,11,3,9,16
2,2,2025-10-25,,PHO,W,133,111,,43,84,.512,9,31,.290,34,53,.642,.565,38,42,.905,11,32,43,31,14,1,16,23,38,88,.432,17,50,.340,21,38,.553,.528,18,22,.818,12,26,38,24,7,4,20,29
3,3,2025-10-27,@,MIN,W,127,114,,46,88,.523,13,26,.500,33,62,.532,.597,22,25,.880,10,36,46,24,5,4,14,24,40,85,.471,10,32,.313,30,53,.566,.529,24,29,.828,7,26,33,19,8,9,15,22
4,4,2025-10-29,,NOP,W,122,88,,48,90,.533,14,42,.333,34,48,.708,.611,12,14,.857,13,43,56,40,6,4,14,23,32,85,.376,7,34,.206,25,51,.490,.418,17,29,.586,13,23,36,17,9,3,14,15
5,5,2025-10-31,@,POR,L,107,109,,38,79,.481,6,25,.240,32,54,.593,.519,25,31,.806,10,36,46,19,6,7,19,21,38,91,.418,11,39,.282,27,52,.519,.478,22,31,.710,16,27,43,26,11,5,13,24
6,6,2025-11-03,,SAC,W,130,124,,50,97,.515,12,38,.316,38,59,.644,.577,18,24,.750,8,32,40,33,9,5,8,18,47,90,.522,9,27,.333,38,63,.603,.572,21,25,.840,8,39,47,27,5,1,15,24
7,7,2025-11-05,,MIA,W,122,112,,43,101,.426,11,40,.275,32,61,.525,.480,25,28,.893,21,40,61,33,10,4,17,16,38,86,.442,14,41,.341,24,45,.533,.523,22,25,.880,5,33,38,26,13,4,15,20
8,8,2025-11-07,,GSW,W,129,104,,46,82,.561,16,33,.485,30,49,.612,.659,21,25,.840,7,34,41,34,8,4,9,15,40,95,.421,12,41,.293,28,54,.519,.484,12,15,.800,17,29,46,28,4,5,12,18
9,9,2025-11-08,,IND,W,117,100,,45,93,.484,8,27,.296,37,66,.561,.527,19,23,.826,15,40,55,32,8,2,18,25,33,93,.355,8,36,.222,25,57,.439,.398,26,34,.765,15,28,43,20,9,6,11,23
