,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,@,CHI,L,111,115,,43,97,.443,7,24,.292,36,73,.493,.479,18,26,.692,13,33,46,29,8,10,10,29,39,87,.448,11,30,.367,28,57,.491,.511,26,32,.813,12,38,50,29,6,8,18,23
2,2,2025-10-24,@,HOU,W,115,111,,42,90,.467,16,39,.410,26,51,.510,.556,15,23,.652,15,33,48,26,6,11,18,31,32,83,.386,10,22,.455,22,61,.361,.446,37,48,.771,17,28,45,15,14,2,14,24
3,3,2025-10-26,,BOS,W,119,113,,39,93,.419,9,34,.265,30,59,.508,.468,32,36,.889,19,36,55,22,7,5,16,24,40,94,.426,15,45,.333,25,49,.510,.505,18,24,.750,12,26,38,17,11,8,12,26
4,4,2025-10-27,,CLE,L,95,116,,33,87,.379,11,34,.324,22,53,.415,.443,18,27,.667,16,32,48,20,12,4,26,29,39,85,.459,11,35,.314,28,50,.560,.524,27,35,.771,12,36,48,25,11,4,20,25
5,5,2025-10-29,,ORL,W,135,116,,46,93,.495,13,32,.406,33,61,.541,.565,30,34,.882,14,32,46,29,11,8,14,28,38,83,.458,12,31,.387,26,52,.500,.530,28,40,.700,15,28,43,22,5,5,17,27
6,6,2025-11-01,,DAL,W,122,110,,45,91,.495,9,24,.375,36,67,.537,.544,23,34,.676,14,33,47,29,10,4,8,22,34,80,.425,16,45,.356,18,35,.514,.525,26,31,.839,7,36,43,23,3,3,15,25
7,7,2025-11-03,@,MEM,W,114,106,,42,83,.506,10,31,.323,32,52,.615,.566,20,29,.690,10,33,43,23,11,9,14,21,35,87,.402,14,41,.341,21,46,.457,.483,22,25,.880,18,31,49,25,8,5,20,22
8,8,2025-11-05,,UTA,W,114,103,,45,91,.495,11,30,.367,34,61,.557,.555,13,22,.591,13,39,52,24,5,6,13,23,33,86,.384,12,39,.308,21,47,.447,.453,25,29,.862,11,33,44,24,7,2,15,17
9,9,2025-11-07,@,BRK,W,125,107,,49,85,.576,6,26,.231,43,59,.729,.612,21,30,.700,11,35,46,32,14,1,13,19,34,80,.425,17,46,.370,17,34,.500,.531,22,26,.846,8,22,30,26,5,1,20,24
