,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-21,@,LAL,W,119,109,,38,78,.487,17,40,.425,21,38,.553,.596,26,29,.897,9,31,40,29,10,4,19,27,42,77,.545,8,32,.250,34,45,.756,.597,17,28,.607,7,32,39,23,7,2,20,21
2,2,2025-10-23,,DEN,W,137,131,OT,50,99,.505,18,47,.383,32,52,.615,.596,19,25,.760,10,33,43,33,11,3,9,16,51,95,.537,16,40,.400,35,55,.636,.621,13,14,.929,7,36,43,32,8,4,13,22
3,3,2025-10-24,@,POR,L,119,139,,35,80,.438,16,38,.421,19,42,.452,.538,33,39,.846,12,29,41,24,12,3,25,22,50,93,.538,16,34,.471,34,59,.576,.624,23,25,.920,10,28,38,30,13,5,19,28
4,4,2025-10-27,,MEM,W,131,118,,44,83,.530,19,43,.442,25,40,.625,.645,24,30,.800,7,32,39,36,7,5,16,24,40,88,.455,12,39,.308,28,49,.571,.523,26,28,.929,7,32,39,32,8,3,13,20
5,5,2025-10-28,,LAC,W,98,79,,39,86,.453,17,45,.378,22,41,.537,.552,3,4,.750,10,32,42,24,11,3,13,15,30,82,.366,6,33,.182,24,49,.490,.402,13,16,.813,13,34,47,10,7,2,16,5
6,6,2025-10-30,@,MIL,L,110,120,,36,85,.424,13,38,.342,23,47,.489,.500,25,26,.962,9,35,44,23,8,6,22,17,46,96,.479,19,46,.413,27,50,.540,.578,9,13,.692,7,27,34,25,7,2,16,22
7,7,2025-11-01,@,IND,L,109,114,,39,90,.433,12,44,.273,27,46,.587,.500,19,22,.864,10,34,44,25,5,4,16,27,40,89,.449,10,33,.303,30,56,.536,.506,24,28,.857,11,36,47,24,7,3,12,19
8,8,2025-11-04,,PHO,W,118,107,,41,83,.494,19,42,.452,22,41,.537,.608,17,20,.850,8,31,39,33,9,4,16,18,40,91,.440,12,33,.364,28,58,.483,.505,15,16,.938,16,30,46,25,10,5,17,17
9,9,2025-11-05,@,SAC,L,116,121,,40,89,.449,17,43,.395,23,46,.500,.545,19,23,.826,10,34,44,28,10,6,19,26,41,83,.494,11,23,.478,30,60,.500,.560,28,33,.848,8,39,47,27,7,5,16,18
10,10,2025-11-07,@,DEN,L,104,129,,40,95,.421,12,41,.293,28,54,.519,.484,12,15,.800,17,29,46,28,4,5,12,18,46,82,.561,16,33,.485,30,49,.612,.659,21,25,.840,7,34,41,34,8,4,9,15
11,11,2025-11-09,,IND,W,114,83,,38,88,.432,12,44,.273,26,44,.591,.500,26,37,.703,11,39,50,22,11,6,10,16,32,94,.340,11,39,.282,21,55,.382,.399,8,11,.727,14,39,53,21,7,6,22,25
12,12,2025-11-11,@,OKC,L,102,126,,33,74,.446,13,35,.371,20,39,.513,.534,23,29,.793,6,26,32,23,16,4,21,28,42,83,.506,16,36,.444,26,47,.553,.602,26,31,.839,10,30,40,29,12,4,20,21
13,13,2025-11-12,@,SAS,W,125,120,,36,85,.424,21,57,.368,15,28,.536,.547,32,36,.889,8,32,40,30,13,3,16,18,46,94,.489,14,39,.359,32,55,.582,.564,14,16,.875,13,36,49,30,5,3,20,24
14,14,2025-11-14,@,SAS,W,109,108,,38,90,.422,17,45,.378,21,45,.467,.517,16,18,.889,15,24,39,18,9,8,15,20,39,85,.459,14,38,.368,25,47,.532,.541,16,19,.842,11,36,47,28,8,6,21,19
15,15,2025-11-16,@,NOP,W,124,106,,43,94,.457,24,56,.429,19,38,.500,.585,14,17,.824,16,31,47,34,14,4,21,23,38,83,.458,8,29,.276,30,54,.556,.506,22,29,.759,15,30,45,22,11,4,21,16
16,16,2025-11-18,@,ORL,L,113,121,,39,78,.500,13,36,.361,26,42,.619,.583,22,28,.786,6,30,36,26,11,3,18,18,43,85,.506,8,32,.250,35,53,.660,.553,27,29,.931,10,33,43,28,14,3,14,20
17,17,2025-11-19,@,MIA,L,96,110,,34,95,.358,13,49,.265,21,46,.457,.426,15,20,.750,20,42,62,24,8,5,23,20,39,96,.406,13,35,.371,26,61,.426,.474,19,26,.731,14,38,52,30,10,3,14,17
18,18,2025-11-21,,POR,L,123,127,,40,83,.482,17,43,.395,23,40,.575,.584,26,30,.867,9,23,32,29,14,4,14,25,42,88,.477,16,45,.356,26,43,.605,.568,27,32,.844,21,31,52,31,8,5,21,25
19,19,2025-11-24,,UTA,W,134,117,,51,104,.490,19,52,.365,32,52,.615,.582,13,18,.722,16,34,50,34,11,5,10,14,47,99,.475,11,36,.306,36,63,.571,.530,12,18,.667,14,33,47,32,7,6,14,14
20,20,2025-11-26,,HOU,L,100,104,,35,82,.427,12,43,.279,23,39,.590,.500,18,21,.857,13,34,47,25,8,5,16,26,39,99,.394,11,39,.282,28,60,.467,.449,15,24,.625,25,28,53,24,7,3,10,20
21,21,2025-11-29,,NOP,W,104,96,,38,93,.409,12,47,.255,26,46,.565,.473,16,20,.800,14,33,47,28,5,3,10,23,32,86,.372,7,30,.233,25,56,.446,.413,25,34,.735,16,34,50,16,7,2,13,21
22,22,2025-12-02,,OKC,L,112,124,,43,95,.453,18,42,.429,25,53,.472,.547,8,10,.800,12,31,43,30,5,2,16,22,46,79,.582,15,32,.469,31,47,.660,.677,17,23,.739,4,37,41,24,8,5,15,13
23,23,2025-12-04,@,PHI,L,98,99,,37,89,.416,12,42,.286,25,47,.532,.483,12,16,.750,11,32,43,27,12,4,13,20,39,85,.459,10,37,.270,29,48,.604,.518,11,14,.786,11,36,47,23,8,7,19,14
24,24,2025-12-06,@,CLE,W,99,94,,33,86,.384,13,35,.371,20,51,.392,.459,20,23,.870,8,38,46,25,8,8,14,19,37,107,.346,10,42,.238,27,65,.415,.393,10,12,.833,24,37,61,15,7,4,12,18
25,25,2025-12-07,@,CHI,W,123,91,,44,88,.500,22,47,.468,22,41,.537,.625,13,19,.684,15,36,51,27,11,2,17,16,32,89,.360,11,40,.275,21,49,.429,.421,16,19,.842,15,23,38,24,12,4,15,15
26,26,2025-12-12,,MIN,L,120,127,,44,96,.458,15,46,.326,29,50,.580,.536,17,22,.773,12,30,42,27,7,2,13,23,48,89,.539,11,31,.355,37,58,.638,.601,20,28,.714,11,33,44,30,8,3,11,22
27,27,2025-12-14,@,POR,L,131,136,,44,87,.506,24,47,.511,20,40,.500,.644,19,23,.826,8,28,36,34,14,5,18,24,45,89,.506,20,39,.513,25,50,.500,.618,26,29,.897,10,33,43,30,11,4,18,21
28,28,2025-12-18,@,PHO,L,98,99,,35,89,.393,12,42,.286,23,47,.489,.461,16,18,.889,15,39,54,27,9,3,20,20,36,88,.409,10,35,.286,26,53,.491,.466,17,22,.773,12,37,49,19,16,6,15,17
29,29,2025-12-20,,PHO,W,119,116,,42,92,.457,17,49,.347,25,43,.581,.549,18,24,.750,17,32,49,29,9,7,21,22,42,88,.477,12,35,.343,30,53,.566,.545,20,24,.833,9,25,34,23,12,6,14,24
30,30,2025-12-22,,ORL,W,120,97,,46,89,.517,11,37,.297,35,52,.673,.579,17,24,.708,14,33,47,33,8,6,13,20,36,87,.414,7,27,.259,29,60,.483,.454,18,26,.692,16,32,48,21,8,5,18,21
31,31,2025-12-25,,DAL,W,126,116,,44,99,.444,14,50,.280,30,49,.612,.515,24,26,.923,13,36,49,33,9,4,11,22,49,89,.551,4,14,.286,45,75,.600,.573,14,21,.667,3,38,41,18,5,5,11,16
32,32,2025-12-28,@,TOR,L,127,141,OT,43,96,.448,16,44,.364,27,52,.519,.531,25,28,.893,14,28,42,25,9,9,21,20,56,110,.509,13,42,.310,43,68,.632,.568,16,18,.889,18,37,55,40,10,2,15,26
