,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-23,,OKC,L,135,141,2OT,46,105,.438,13,43,.302,33,62,.532,.500,30,40,.750,11,44,55,21,6,4,14,37,43,95,.453,10,35,.286,33,60,.550,.505,45,51,.882,9,51,60,17,6,2,14,33
2,2,2025-10-25,@,MEM,L,103,128,,36,89,.404,14,40,.350,22,49,.449,.483,17,23,.739,11,33,44,25,2,5,13,21,44,97,.454,15,39,.385,29,58,.500,.531,25,32,.781,10,39,49,31,6,4,6,22
3,3,2025-10-26,@,MIN,L,110,114,,39,91,.429,14,40,.350,25,51,.490,.505,18,27,.667,16,33,49,24,7,5,17,27,39,84,.464,10,33,.303,29,51,.569,.524,26,37,.703,13,35,48,19,9,4,14,24
4,4,2025-10-29,@,DAL,L,105,107,,37,106,.349,13,45,.289,24,61,.393,.410,18,28,.643,19,33,52,20,8,7,14,29,36,79,.456,5,24,.208,31,55,.564,.487,30,37,.811,7,40,47,21,4,7,19,22
5,5,2025-10-31,,ATL,L,108,128,,35,99,.354,13,47,.277,22,52,.423,.419,25,33,.758,18,31,49,23,6,3,12,16,51,94,.543,10,30,.333,41,64,.641,.596,16,20,.800,12,43,55,30,10,5,10,23
6,6,2025-11-01,,GSW,W,114,109,,40,89,.449,10,33,.303,30,56,.536,.506,24,28,.857,11,36,47,24,7,3,12,19,39,90,.433,12,44,.273,27,46,.587,.500,19,22,.864,10,34,44,25,5,4,16,27
7,7,2025-11-03,,MIL,L,115,117,,39,90,.433,8,33,.242,31,57,.544,.478,29,38,.763,14,31,45,24,8,4,12,24,42,88,.477,20,47,.426,22,41,.537,.591,13,22,.591,9,34,43,24,6,5,18,28
8,8,2025-11-05,,BRK,L,103,112,,41,99,.414,13,36,.361,28,63,.444,.480,8,13,.615,16,40,56,29,6,5,18,23,36,86,.419,14,40,.350,22,46,.478,.500,26,35,.743,10,35,45,26,9,5,14,17
9,9,2025-11-08,@,DEN,L,100,117,,33,93,.355,8,36,.222,25,57,.439,.398,26,34,.765,15,28,43,20,9,6,11,23,45,93,.484,8,27,.296,37,66,.561,.527,19,23,.826,15,40,55,32,8,2,18,25
