,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,@,UTA,L,108,129,,39,88,.443,14,45,.311,25,43,.581,.523,16,21,.762,15,23,38,28,8,6,15,21,48,87,.552,17,44,.386,31,43,.721,.649,16,20,.800,13,33,46,38,11,6,13,21
2,2,2025-10-24,,PHO,W,129,102,,45,76,.592,16,29,.552,29,47,.617,.697,23,26,.885,10,35,45,32,12,5,19,19,37,90,.411,16,47,.340,21,43,.488,.500,12,15,.800,15,22,37,23,12,4,18,25
3,3,2025-10-26,,POR,W,114,107,,44,80,.550,12,31,.387,32,49,.653,.625,14,15,.933,7,39,46,26,11,8,24,27,34,92,.370,11,41,.268,23,51,.451,.429,28,34,.824,18,24,42,24,12,2,16,21
4,4,2025-10-28,@,GSW,L,79,98,,30,82,.366,6,33,.182,24,49,.490,.402,13,16,.813,13,34,47,10,7,2,16,5,39,86,.453,17,45,.378,22,41,.537,.552,3,4,.750,10,32,42,24,11,3,13,15
5,5,2025-10-31,,NOP,W,126,124,,46,89,.517,15,39,.385,31,50,.620,.601,19,21,.905,10,27,37,28,12,6,12,19,40,83,.482,18,37,.486,22,46,.478,.590,26,29,.897,12,31,43,28,8,4,15,18
6,6,2025-11-03,,MIA,L,119,120,,44,88,.500,17,41,.415,27,47,.574,.597,14,19,.737,11,33,44,25,13,4,21,24,45,83,.542,12,25,.480,33,58,.569,.614,18,24,.750,6,31,37,33,12,3,16,15
7,7,2025-11-04,,OKC,L,107,126,,33,80,.413,18,43,.419,15,37,.405,.525,23,27,.852,10,32,42,26,9,2,19,20,45,86,.523,18,38,.474,27,48,.563,.628,18,22,.818,8,32,40,28,12,6,11,23
8,8,2025-11-06,@,PHO,L,102,115,,35,79,.443,10,31,.323,25,48,.521,.506,22,30,.733,11,30,41,24,8,4,15,19,41,92,.446,19,49,.388,22,43,.512,.549,14,19,.737,15,29,44,27,13,2,16,23
9,9,2025-11-08,,PHO,L,103,114,,41,77,.532,10,33,.303,31,44,.705,.597,11,18,.611,5,22,27,26,5,5,11,15,40,83,.482,16,38,.421,24,45,.533,.578,18,21,.857,13,29,42,30,9,2,14,19
10,10,2025-11-10,,ATL,L,102,105,,36,82,.439,12,38,.316,24,44,.545,.512,18,25,.720,11,31,42,19,7,9,12,14,38,84,.452,13,34,.382,25,50,.500,.530,16,20,.800,7,34,41,30,7,8,12,22
11,11,2025-11-12,,DEN,L,116,130,,41,84,.488,16,37,.432,25,47,.532,.583,18,19,.947,11,25,36,28,4,7,15,30,44,84,.524,13,34,.382,31,50,.620,.601,29,35,.829,11,31,42,22,9,3,12,14
12,12,2025-11-14,@,DAL,W,133,127,2OT,45,95,.474,13,42,.310,32,53,.604,.542,30,36,.833,7,38,45,22,16,6,23,32,44,99,.444,10,36,.278,34,63,.540,.495,29,38,.763,11,39,50,18,11,7,25,25
13,13,2025-11-16,@,BOS,L,118,121,,38,81,.469,14,35,.400,24,46,.522,.556,28,30,.933,10,34,44,23,4,7,14,20,46,103,.447,16,39,.410,30,64,.469,.524,13,17,.765,20,29,49,26,6,6,6,21
14,14,2025-11-17,@,PHI,L,108,110,,35,87,.402,12,39,.308,23,48,.479,.471,26,27,.963,8,37,45,18,6,3,10,26,39,84,.464,11,33,.333,28,51,.549,.530,21,30,.700,9,37,46,26,7,4,9,20
15,15,2025-11-20,@,ORL,L,101,129,,36,89,.404,14,36,.389,22,53,.415,.483,15,19,.789,10,33,43,20,7,6,21,20,45,94,.479,18,34,.529,27,60,.450,.574,21,24,.875,12,39,51,32,12,4,11,17
16,16,2025-11-22,@,CHO,W,131,116,,46,90,.511,19,43,.442,27,47,.574,.617,20,24,.833,11,30,41,30,8,2,10,19,41,85,.482,11,36,.306,30,49,.612,.547,23,26,.885,11,27,38,24,5,2,11,20
17,17,2025-11-23,@,CLE,L,105,120,,37,80,.463,8,26,.308,29,54,.537,.513,23,26,.885,12,28,40,23,6,2,16,17,45,87,.517,17,45,.378,28,42,.667,.615,13,20,.650,8,33,41,28,10,4,14,22
18,18,2025-11-25,@,LAL,L,118,135,,42,81,.519,13,35,.371,29,46,.630,.599,21,24,.875,7,22,29,24,7,2,16,22,50,87,.575,13,29,.448,37,58,.638,.649,22,26,.846,12,26,38,29,9,4,11,22
19,19,2025-11-28,,MEM,L,107,112,,38,89,.427,12,38,.316,26,51,.510,.494,19,21,.905,8,31,39,19,13,5,13,21,39,88,.443,17,40,.425,22,48,.458,.540,17,22,.773,15,38,53,24,5,6,15,19
20,20,2025-11-29,,DAL,L,110,114,,37,80,.463,7,25,.280,30,55,.545,.506,29,31,.935,5,41,46,25,5,6,18,21,40,90,.444,11,39,.282,29,51,.569,.506,23,28,.821,4,33,37,22,15,2,9,19
21,21,2025-12-01,@,MIA,L,123,140,,43,96,.448,9,29,.310,34,67,.507,.495,28,35,.800,13,33,46,23,8,3,13,10,53,100,.530,24,46,.522,29,54,.537,.650,10,12,.833,11,39,50,34,7,10,12,25
22,22,2025-12-03,@,ATL,W,115,92,,44,89,.494,10,32,.313,34,57,.596,.551,17,20,.850,13,41,54,29,12,1,12,18,34,85,.400,13,39,.333,21,46,.457,.476,11,14,.786,7,31,38,20,9,1,16,17
23,23,2025-12-05,@,MEM,L,98,107,,35,80,.438,14,44,.318,21,36,.583,.525,14,17,.824,5,32,37,22,11,2,17,18,42,78,.538,10,28,.357,32,50,.640,.603,13,18,.722,4,38,42,28,9,4,16,18
24,24,2025-12-06,@,MIN,L,106,109,,40,85,.471,9,29,.310,31,56,.554,.524,17,25,.680,10,25,35,16,8,3,11,28,34,68,.500,11,25,.440,23,43,.535,.581,30,34,.882,6,29,35,23,6,5,14,22
25,25,2025-12-11,@,HOU,L,113,115,,39,78,.500,14,38,.368,25,40,.625,.590,21,26,.808,8,20,28,25,15,5,15,20,43,93,.462,12,34,.353,31,59,.525,.527,17,21,.810,22,29,51,26,9,1,19,22
26,26,2025-12-15,,MEM,L,103,121,,37,80,.463,13,36,.361,24,44,.545,.544,16,22,.727,13,26,39,26,4,2,19,15,45,86,.523,16,39,.410,29,47,.617,.616,15,17,.882,9,23,32,33,10,7,11,21
27,27,2025-12-18,@,OKC,L,101,122,,37,76,.487,10,32,.313,27,44,.614,.553,17,22,.773,9,40,49,25,6,7,29,17,48,101,.475,13,36,.361,35,65,.538,.540,13,16,.813,9,29,38,28,18,4,9,19
28,28,2025-12-20,,LAL,W,103,88,,34,80,.425,16,43,.372,18,37,.486,.525,19,20,.950,13,35,48,22,8,6,19,23,34,88,.386,6,38,.158,28,50,.560,.420,14,23,.609,14,29,43,16,7,3,11,19
29,29,2025-12-23,,HOU,W,128,108,,42,77,.545,20,37,.541,22,40,.550,.675,24,27,.889,6,28,34,25,7,4,10,19,43,86,.500,9,30,.300,34,56,.607,.552,13,18,.722,15,27,42,25,5,6,13,20
30,30,2025-12-26,@,POR,W,119,103,,35,69,.507,20,40,.500,15,29,.517,.652,29,31,.935,4,28,32,21,6,5,13,18,36,80,.450,16,39,.410,20,41,.488,.550,15,22,.682,13,30,43,23,6,2,15,20
31,31,2025-12-28,,DET,W,112,99,,35,75,.467,14,34,.412,21,41,.512,.560,28,29,.966,8,27,35,18,12,6,12,26,34,82,.415,7,29,.241,27,53,.509,.457,24,28,.857,15,30,45,18,9,6,13,20
32,32,2025-12-30,,SAC,W,131,90,,46,90,.511,14,38,.368,32,52,.615,.589,25,32,.781,11,31,42,29,13,9,4,14,34,83,.410,9,27,.333,25,56,.446,.464,13,14,.929,11,28,39,18,1,8,19,20
33,33,2026-01-01,,UTA,W,118,101,,40,89,.449,16,51,.314,24,38,.632,.539,22,26,.846,16,31,47,20,8,7,13,22,36,78,.462,6,27,.222,30,51,.588,.500,23,30,.767,7,28,35,20,7,5,18,21
34,34,2026-01-03,,BOS,L,115,146,,42,84,.500,15,38,.395,27,46,.587,.589,16,17,.941,8,22,30,26,4,4,10,15,53,96,.552,24,51,.471,29,45,.644,.677,16,19,.842,16,30,46,30,4,6,6,20
35,35,2026-01-05,,GSW,W,103,102,,37,77,.481,10,29,.345,27,48,.563,.545,19,21,.905,6,42,48,25,5,9,20,21,35,92,.380,10,41,.244,25,51,.490,.435,22,27,.815,12,28,40,27,18,4,7,18
36,36,2026-01-07,@,NYK,L,111,123,,40,92,.435,15,42,.357,25,50,.500,.516,16,19,.842,15,25,40,21,7,5,10,16,47,94,.500,14,33,.424,33,61,.541,.574,15,17,.882,16,32,48,31,5,6,12,17
37,37,2026-01-09,@,BRK,W,121,105,,45,76,.592,14,24,.583,31,52,.596,.684,17,19,.895,6,31,37,28,9,8,16,13,40,100,.400,15,47,.319,25,53,.472,.475,10,11,.909,19,20,39,26,12,4,12,18
38,38,2026-01-10,@,DET,W,98,92,,31,72,.431,11,31,.355,20,41,.488,.507,25,36,.694,8,29,37,17,18,6,22,17,33,83,.398,8,35,.229,25,48,.521,.446,18,25,.720,16,31,47,21,18,13,25,26
39,39,2026-01-12,,CHO,W,117,109,,41,92,.446,18,49,.367,23,43,.535,.543,17,21,.810,9,28,37,22,7,0,5,15,43,88,.489,10,33,.303,33,55,.600,.545,13,17,.765,10,39,49,24,3,4,10,17
40,40,2026-01-14,,WAS,W,119,105,,39,83,.470,14,37,.378,25,46,.543,.554,27,27,1.000,7,33,40,25,9,5,10,14,41,90,.456,10,38,.263,31,52,.596,.511,13,17,.765,11,30,41,25,5,3,11,17
41,41,2026-01-16,@,TOR,W,121,117,OT,41,79,.519,13,36,.361,28,43,.651,.601,26,30,.867,6,30,36,25,12,3,16,19,42,87,.483,11,33,.333,31,54,.574,.546,22,26,.846,12,24,36,30,4,5,18,21
42,42,2026-01-19,@,WAS,W,110,106,,36,78,.462,5,28,.179,31,50,.620,.494,33,38,.868,12,31,43,20,12,6,16,16,37,86,.430,13,35,.371,24,51,.471,.506,19,22,.864,15,30,45,27,7,5,20,22
43,43,2026-01-20,@,CHI,L,110,138,,43,92,.467,10,30,.333,33,62,.532,.522,14,17,.824,11,30,41,24,6,5,16,13,52,92,.565,25,47,.532,27,45,.600,.701,9,12,.750,9,33,42,40,10,11,12,15
44,44,2026-01-22,,LAL,W,112,104,,40,84,.476,12,31,.387,28,53,.528,.548,20,21,.952,13,36,49,23,8,0,20,17,40,88,.455,11,33,.333,29,55,.527,.517,13,18,.722,6,28,34,24,14,8,10,17
45,45,2026-01-25,,BRK,W,126,89,,44,78,.564,12,25,.480,32,53,.604,.641,26,29,.897,7,44,51,20,12,5,19,15,29,85,.341,9,43,.209,20,42,.476,.394,22,25,.880,9,27,36,23,14,4,17,19
46,46,2026-01-27,@,UTA,W,115,103,,41,88,.466,18,46,.391,23,42,.548,.568,15,21,.714,12,27,39,27,10,3,11,19,37,82,.451,12,33,.364,25,49,.510,.524,17,21,.810,10,30,40,28,6,3,17,17
47,47,2026-01-30,@,DEN,L,109,122,,40,86,.465,14,40,.350,26,46,.565,.547,15,21,.714,11,23,34,29,7,3,9,21,40,73,.548,16,28,.571,24,45,.533,.658,26,32,.813,7,36,43,30,7,4,13,18
48,48,2026-02-01,@,PHO,W,117,93,,43,83,.518,9,24,.375,34,59,.576,.572,22,34,.647,15,48,63,25,2,3,18,18,31,93,.333,19,46,.413,12,47,.255,.435,12,18,.667,10,25,35,21,7,4,5,26
49,49,2026-02-02,,PHI,L,113,128,,46,78,.590,9,26,.346,37,52,.712,.647,12,20,.600,5,31,36,24,4,2,14,19,45,94,.479,17,39,.436,28,55,.509,.569,21,22,.955,14,27,41,31,8,3,6,22
50,50,2026-02-04,,CLE,L,91,124,,37,80,.463,6,28,.214,31,52,.596,.500,11,12,.917,6,31,37,20,6,4,24,13,50,98,.510,16,41,.390,34,57,.596,.592,8,13,.615,13,31,44,30,17,5,9,12
51,51,2026-02-06,@,SAC,W,114,111,,37,71,.521,9,21,.429,28,50,.560,.585,31,36,.861,5,35,40,22,6,7,16,18,41,92,.446,10,37,.270,31,55,.564,.500,19,22,.864,12,30,42,22,10,6,11,22
52,52,2026-02-08,@,MIN,W,115,96,,39,76,.513,14,27,.519,25,49,.510,.605,23,28,.821,8,29,37,25,11,6,15,21,37,83,.446,8,33,.242,29,50,.580,.494,14,22,.636,10,31,41,17,8,2,21,22
53,53,2026-02-10,@,HOU,L,95,102,,36,88,.409,8,30,.267,28,58,.483,.455,15,23,.652,17,28,45,24,11,5,12,18,36,79,.456,14,28,.500,22,51,.431,.544,16,18,.889,10,34,44,19,7,5,18,15
54,54,2026-02-11,@,HOU,W,105,102,,36,77,.468,11,28,.393,25,49,.510,.539,22,26,.846,7,25,32,21,13,7,11,15,38,82,.463,12,36,.333,26,46,.565,.537,14,18,.778,13,32,45,25,3,9,21,17
55,55,2026-02-19,,DEN,W,115,114,,41,87,.471,8,33,.242,33,54,.611,.517,25,30,.833,7,38,45,27,9,4,14,23,39,86,.453,13,40,.325,26,46,.565,.529,23,31,.742,6,39,45,29,8,2,17,24
56,56,2026-02-20,@,LAL,L,122,125,,45,82,.549,8,21,.381,37,61,.607,.598,24,29,.828,10,32,42,25,7,5,16,20,44,85,.518,17,31,.548,27,54,.500,.618,20,25,.800,5,27,32,31,8,4,12,24
57,57,2026-02-22,,ORL,L,109,111,,40,83,.482,5,23,.217,35,60,.583,.512,24,28,.857,9,34,43,18,9,9,10,18,40,83,.482,8,23,.348,32,60,.533,.530,23,31,.742,12,31,43,25,7,3,12,21
58,58,2026-02-26,,MIN,L,88,94,,30,74,.405,5,22,.227,25,52,.481,.439,23,29,.793,6,34,40,21,8,2,19,17,36,83,.434,8,26,.308,28,57,.491,.482,14,19,.737,7,34,41,23,8,5,13,19
59,59,2026-03-01,,NOP,W,137,117,,48,89,.539,17,36,.472,31,53,.585,.635,24,29,.828,10,28,38,29,11,3,9,22,40,89,.449,12,33,.364,28,56,.500,.517,25,30,.833,14,27,41,22,6,4,17,21
60,60,2026-03-02,@,GSW,W,114,101,,42,85,.494,9,31,.290,33,54,.611,.547,21,23,.913,15,37,52,18,9,7,14,17,36,93,.387,17,48,.354,19,45,.422,.478,12,17,.706,15,25,40,26,7,2,14,17
61,61,2026-03-04,,IND,W,130,107,,49,89,.551,12,32,.375,37,57,.649,.618,20,25,.800,6,41,47,28,8,7,11,23,36,84,.429,10,36,.278,26,48,.542,.488,25,31,.806,5,33,38,26,2,3,13,21
62,62,2026-03-06,@,SAS,L,112,116,,42,86,.488,12,33,.364,30,53,.566,.558,16,20,.800,7,34,41,22,12,3,10,15,46,95,.484,17,41,.415,29,54,.537,.574,7,14,.500,15,37,52,29,6,7,13,17
63,63,2026-03-07,@,MEM,W,123,120,,41,82,.500,4,17,.235,37,65,.569,.524,37,45,.822,16,28,44,15,10,2,16,20,42,87,.483,16,43,.372,26,44,.591,.575,20,24,.833,11,23,34,29,8,6,15,29
64,64,2026-03-09,,NYK,W,126,118,,43,93,.462,18,39,.462,25,54,.463,.559,22,26,.846,9,27,36,25,12,4,8,19,46,90,.511,14,40,.350,32,50,.640,.589,12,16,.750,14,37,51,32,5,1,20,23
65,65,2026-03-11,,MIN,W,153,128,,52,82,.634,19,37,.514,33,45,.733,.750,30,36,.833,7,22,29,36,16,4,10,24,46,77,.597,11,25,.440,35,52,.673,.669,25,29,.862,7,21,28,32,5,1,21,24
66,66,2026-03-13,,CHI,W,119,108,,46,96,.479,9,32,.281,37,64,.578,.526,18,24,.750,10,36,46,28,8,12,6,13,42,95,.442,12,41,.293,30,54,.556,.505,12,13,.923,12,36,48,23,5,7,15,19
67,67,2026-03-14,,SAC,L,109,118,,39,84,.464,9,27,.333,30,57,.526,.518,22,29,.759,9,26,35,19,13,8,13,13,48,82,.585,12,27,.444,36,55,.655,.659,10,16,.625,9,39,48,29,9,4,21,25
68,68,2026-03-16,,SAS,L,115,119,,43,89,.483,11,29,.379,32,60,.533,.545,18,24,.750,12,25,37,25,11,5,14,23,43,93,.462,10,36,.278,33,57,.579,.516,23,29,.793,22,30,52,25,5,7,15,23
69,69,2026-03-18,@,NOP,L,109,124,,45,88,.511,9,31,.290,36,57,.632,.563,10,13,.769,14,22,36,24,10,2,16,17,44,83,.530,16,37,.432,28,46,.609,.627,20,21,.952,13,27,40,32,12,6,19,14
70,70,2026-03-19,@,NOP,L,99,105,,35,76,.461,10,32,.313,25,44,.568,.526,19,32,.594,9,30,39,20,11,2,16,21,37,78,.474,13,34,.382,24,44,.545,.558,18,22,.818,8,32,40,21,11,2,16,19
71,71,2026-03-21,@,DAL,W,138,131,OT,51,90,.567,21,42,.500,30,48,.625,.683,15,18,.833,6,34,40,33,8,10,12,22,48,102,.471,13,34,.382,35,68,.515,.534,22,29,.759,17,30,47,25,5,6,11,16
72,72,2026-03-23,,MIL,W,129,96,,47,81,.580,17,38,.447,30,43,.698,.685,18,18,1.000,4,30,34,30,13,6,12,18,37,84,.440,16,41,.390,21,43,.488,.536,6,9,.667,11,27,38,29,6,2,23,17
73,73,2026-03-25,,TOR,W,119,94,,42,82,.512,16,35,.457,26,47,.553,.610,19,24,.792,10,39,49,24,7,12,11,14,40,96,.417,10,29,.345,30,67,.448,.469,4,11,.364,15,31,46,28,8,4,11,20
74,74,2026-03-27,@,IND,W,114,113,,41,96,.427,13,34,.382,28,62,.452,.495,19,27,.704,16,30,46,20,12,4,12,19,43,87,.494,16,36,.444,27,51,.529,.586,11,15,.733,10,35,45,34,6,4,20,24
75,75,2026-03-29,@,MIL,W,127,113,,45,77,.584,13,30,.433,32,47,.681,.669,24,28,.857,7,32,39,27,14,4,16,19,40,77,.519,20,44,.455,20,33,.606,.649,13,15,.867,4,23,27,23,13,1,22,30
76,76,2026-03-31,,POR,L,104,114,,38,76,.500,10,30,.333,28,46,.609,.566,18,23,.783,8,22,30,19,8,9,14,15,41,91,.451,15,45,.333,26,46,.565,.533,17,18,.944,18,30,48,22,8,4,17,17
77,77,2026-04-02,,SAS,L,99,118,,40,93,.430,5,27,.185,35,66,.530,.457,14,18,.778,10,28,38,20,8,3,10,18,47,88,.534,12,31,.387,35,57,.614,.602,12,14,.857,10,38,48,30,7,2,16,21
78,78,2026-04-05,@,SAC,W,138,109,,49,92,.533,20,41,.488,29,51,.569,.641,20,21,.952,10,27,37,30,15,1,15,20,45,85,.529,9,32,.281,36,53,.679,.582,10,20,.500,12,30,42,25,9,8,20,19
79,79,2026-04-07,,DAL,W,116,103,,41,92,.446,14,37,.378,27,55,.491,.522,20,28,.714,12,44,56,23,6,9,15,18,35,100,.350,6,33,.182,29,67,.433,.380,27,28,.964,15,39,54,18,9,7,9,20
80,80,2026-04-08,,OKC,L,110,128,,40,86,.465,14,32,.438,26,54,.481,.547,16,24,.667,10,26,36,27,9,3,13,18,48,83,.578,13,34,.382,35,49,.714,.657,19,24,.792,6,38,44,30,9,7,13,23
