,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-21,,GSW,L,109,119,,42,77,.545,8,32,.250,34,45,.756,.597,17,28,.607,7,32,39,23,7,2,20,21,38,78,.487,17,40,.425,21,38,.553,.596,26,29,.897,9,31,40,29,10,4,19,27
2,2,2025-10-24,,MIN,W,128,110,,45,76,.592,12,29,.414,33,47,.702,.671,26,32,.813,7,31,38,26,6,3,12,20,41,88,.466,13,38,.342,28,50,.560,.540,15,21,.714,15,25,40,24,4,3,12,27
3,3,2025-10-26,@,SAC,W,127,120,,39,80,.488,8,25,.320,31,55,.564,.538,41,46,.891,10,37,47,26,9,3,17,17,45,101,.446,18,43,.419,27,58,.466,.535,12,18,.667,13,27,40,27,13,4,16,26
4,4,2025-10-27,,POR,L,108,122,,40,86,.465,7,27,.259,33,59,.559,.506,21,26,.808,12,30,42,23,11,5,25,19,47,103,.456,14,43,.326,33,60,.550,.524,14,15,.933,19,30,49,24,12,9,19,17
5,5,2025-10-29,@,MIN,W,116,115,,45,83,.542,11,31,.355,34,52,.654,.608,15,22,.682,11,29,40,34,6,5,19,22,41,82,.500,15,30,.500,26,52,.500,.591,18,22,.818,9,25,34,30,8,5,18,23
6,6,2025-10-31,@,MEM,W,117,112,,39,76,.513,13,38,.342,26,38,.684,.599,26,33,.788,5,35,40,24,8,3,15,16,41,93,.441,14,45,.311,27,48,.563,.516,16,19,.842,13,29,42,28,9,0,11,25
7,7,2025-11-02,,MIA,W,130,120,,48,95,.505,15,46,.326,33,49,.673,.584,19,23,.826,8,33,41,33,14,2,12,26,43,84,.512,9,33,.273,34,51,.667,.565,25,36,.694,9,33,42,29,7,3,15,20
8,8,2025-11-03,@,POR,W,123,115,,50,85,.588,9,23,.391,41,62,.661,.641,14,16,.875,8,26,34,29,11,5,17,22,42,85,.494,9,40,.225,33,45,.733,.547,22,30,.733,15,23,38,23,13,3,18,18
9,9,2025-11-05,,SAS,W,118,116,,37,83,.446,10,31,.323,27,52,.519,.506,34,44,.773,12,26,38,23,8,5,14,30,36,74,.486,13,33,.394,23,41,.561,.574,31,40,.775,8,29,37,22,7,1,19,36
10,10,2025-11-08,@,ATL,L,102,122,,37,81,.457,12,30,.400,25,51,.490,.531,16,20,.800,13,34,47,23,8,5,20,11,48,93,.516,16,39,.410,32,54,.593,.602,10,11,.909,7,30,37,37,13,6,11,14
11,11,2025-11-10,@,CHO,W,121,111,,45,90,.500,14,39,.359,31,51,.608,.578,17,20,.850,12,24,36,25,12,2,11,22,37,71,.521,17,36,.472,20,35,.571,.641,20,22,.909,9,28,37,28,6,6,23,25
12,12,2025-11-12,@,OKC,L,92,121,,31,77,.403,11,35,.314,20,42,.476,.474,19,28,.679,9,33,42,19,9,0,20,19,44,88,.500,12,39,.308,32,49,.653,.568,21,23,.913,6,36,42,28,14,4,11,19
13,13,2025-11-14,@,NOP,W,118,104,,44,84,.524,10,34,.294,34,50,.680,.583,20,26,.769,10,35,45,28,13,5,18,17,39,89,.438,12,34,.353,27,55,.491,.506,14,18,.778,12,30,42,24,11,3,20,23
14,14,2025-11-15,@,MIL,W,119,95,,38,77,.494,13,33,.394,25,44,.568,.578,30,33,.909,11,36,47,23,13,4,17,20,32,80,.400,15,39,.385,17,41,.415,.494,16,24,.667,12,27,39,20,6,4,17,23
15,15,2025-11-18,,UTA,W,140,126,,50,84,.595,11,32,.344,39,52,.750,.661,29,40,.725,11,30,41,31,9,1,17,21,48,92,.522,13,45,.289,35,47,.745,.592,17,18,.944,8,25,33,33,13,2,18,30
16,16,2025-11-23,@,UTA,W,108,106,,38,86,.442,10,38,.263,28,48,.583,.500,22,27,.815,5,40,45,23,7,4,14,18,40,94,.426,13,40,.325,27,54,.500,.495,13,18,.722,10,35,45,27,7,2,14,21
17,17,2025-11-25,,LAC,W,135,118,,50,87,.575,13,29,.448,37,58,.638,.649,22,26,.846,12,26,38,29,9,4,11,22,42,81,.519,13,35,.371,29,46,.630,.599,21,24,.875,7,22,29,24,7,2,16,22
18,18,2025-11-28,,DAL,W,129,119,,45,76,.592,18,35,.514,27,41,.659,.711,21,26,.808,6,28,34,27,4,4,15,20,44,91,.484,14,32,.438,30,59,.508,.560,17,20,.850,14,25,39,28,8,4,11,23
19,19,2025-11-30,,NOP,W,133,121,,42,87,.483,15,41,.366,27,46,.587,.569,34,39,.872,11,35,46,26,4,10,9,14,46,91,.505,13,26,.500,33,65,.508,.577,16,20,.800,8,32,40,23,6,1,8,27
20,20,2025-12-01,,PHO,L,108,125,,41,80,.513,13,33,.394,28,47,.596,.594,13,15,.867,5,34,39,18,1,0,22,13,52,92,.565,17,39,.436,35,53,.660,.658,4,8,.500,4,29,33,35,16,1,11,16
21,21,2025-12-04,@,TOR,W,123,120,,44,88,.500,13,31,.419,31,57,.544,.574,22,26,.846,14,24,38,26,7,7,11,17,44,89,.494,15,37,.405,29,52,.558,.579,17,21,.810,14,27,41,39,9,8,15,20
22,22,2025-12-05,@,BOS,L,105,126,,33,77,.429,14,35,.400,19,42,.452,.519,25,29,.862,10,25,35,15,8,2,14,14,46,84,.548,24,45,.533,22,39,.564,.690,10,12,.833,8,30,38,31,9,5,16,20
23,23,2025-12-07,@,PHI,W,112,108,,41,85,.482,13,36,.361,28,49,.571,.559,17,27,.630,8,44,52,25,3,8,10,22,36,102,.353,13,36,.361,23,66,.348,.417,23,26,.885,17,37,54,21,5,4,6,17
24,24,2025-12-10,,SAS,L,119,132,,43,87,.494,16,37,.432,27,50,.540,.586,17,23,.739,6,37,43,27,4,7,11,23,43,86,.500,17,38,.447,26,48,.542,.599,29,36,.806,9,41,50,25,9,3,12,19
25,25,2025-12-14,@,PHO,W,116,114,,38,88,.432,7,37,.189,31,51,.608,.472,33,43,.767,24,30,54,20,13,8,22,23,40,82,.488,13,37,.351,27,45,.600,.567,21,25,.840,10,27,37,29,11,5,20,28
26,26,2025-12-18,@,UTA,W,143,135,,49,93,.527,13,39,.333,36,54,.667,.597,32,39,.821,13,35,48,32,7,2,7,31,43,83,.518,18,37,.486,25,46,.543,.627,31,47,.660,9,30,39,31,4,1,13,29
27,27,2025-12-20,@,LAC,L,88,103,,34,88,.386,6,38,.158,28,50,.560,.420,14,23,.609,14,29,43,16,7,3,11,19,34,80,.425,16,43,.372,18,37,.486,.525,19,20,.950,13,35,48,22,8,6,19,23
28,28,2025-12-23,@,PHO,L,108,132,,39,81,.481,12,32,.375,27,49,.551,.556,18,29,.621,14,24,38,22,7,4,17,22,50,85,.588,14,34,.412,36,51,.706,.671,18,20,.900,12,26,38,35,10,6,14,24
29,29,2025-12-25,,HOU,L,96,119,,39,77,.506,11,30,.367,28,47,.596,.578,7,11,.636,7,18,25,19,7,5,16,17,48,90,.533,8,24,.333,40,66,.606,.578,15,19,.789,17,31,48,24,10,6,16,13
30,30,2025-12-28,,SAC,W,125,101,,47,89,.528,15,38,.395,32,51,.627,.612,16,18,.889,8,33,41,25,14,4,16,19,40,83,.482,8,29,.276,32,54,.593,.530,13,19,.684,10,29,39,24,11,3,19,20
31,31,2025-12-30,,DET,L,106,128,,37,82,.451,11,39,.282,26,43,.605,.518,21,31,.677,11,22,33,28,10,3,21,24,48,76,.632,11,24,.458,37,52,.712,.704,21,29,.724,6,31,37,30,12,4,20,26
32,32,2026-01-02,,MEM,W,128,121,,45,77,.584,11,32,.344,34,45,.756,.656,27,31,.871,6,36,42,26,9,4,20,21,46,96,.479,14,42,.333,32,54,.593,.552,15,23,.652,8,26,34,32,10,2,15,20
33,33,2026-01-04,,MEM,W,120,114,,38,80,.475,11,41,.268,27,39,.692,.544,33,41,.805,8,37,45,30,4,6,11,18,42,100,.420,10,41,.244,32,59,.542,.470,20,22,.909,16,31,47,29,6,1,9,31
34,34,2026-01-06,@,NOP,W,111,103,,43,85,.506,11,31,.355,32,54,.593,.571,14,21,.667,9,35,44,30,11,6,15,21,40,91,.440,10,40,.250,30,51,.588,.495,13,18,.722,14,30,44,28,8,2,16,19
35,35,2026-01-07,@,SAS,L,91,107,,34,86,.395,9,39,.231,25,47,.532,.448,14,22,.636,10,35,45,16,9,2,17,21,40,82,.488,4,25,.160,36,57,.632,.512,23,28,.821,8,42,50,24,10,5,15,20
36,36,2026-01-09,,MIL,L,101,105,,39,91,.429,15,36,.417,24,55,.436,.511,8,14,.571,15,30,45,28,9,0,13,20,38,79,.481,12,34,.353,26,45,.578,.557,17,22,.773,12,32,44,23,10,3,17,16
37,37,2026-01-12,@,SAC,L,112,124,,41,84,.488,8,36,.222,33,48,.688,.536,22,28,.786,12,27,39,21,9,2,10,9,48,82,.585,17,26,.654,31,56,.554,.689,11,14,.786,6,26,32,23,6,4,15,18
38,38,2026-01-13,,ATL,W,141,116,,48,83,.578,19,34,.559,29,49,.592,.693,26,30,.867,10,37,47,36,2,3,16,17,45,100,.450,13,46,.283,32,54,.593,.515,13,18,.722,12,20,32,30,11,1,6,23
39,39,2026-01-15,,CHO,L,117,135,,43,93,.462,14,38,.368,29,55,.527,.538,17,23,.739,12,23,35,18,8,4,9,17,50,92,.543,20,43,.465,30,49,.612,.652,15,16,.938,14,36,50,34,3,5,13,21
40,40,2026-01-17,@,POR,L,116,132,,42,85,.494,13,31,.419,29,54,.537,.571,19,21,.905,7,20,27,25,8,6,15,25,45,86,.523,16,42,.381,29,44,.659,.616,26,34,.765,12,30,42,24,9,5,15,17
41,41,2026-01-18,,TOR,W,110,93,,41,85,.482,14,36,.389,27,49,.551,.565,14,17,.824,9,39,48,25,6,6,15,15,38,91,.418,7,32,.219,31,59,.525,.456,10,15,.667,10,33,43,30,7,5,10,15
42,42,2026-01-20,@,DEN,W,115,107,,42,83,.506,10,25,.400,32,58,.552,.566,21,32,.656,10,41,51,24,3,2,13,18,39,87,.448,15,37,.405,24,50,.480,.534,14,19,.737,5,26,31,27,6,7,5,21
43,43,2026-01-22,@,LAC,L,104,112,,40,88,.455,11,33,.333,29,55,.527,.517,13,18,.722,6,28,34,24,14,8,10,17,40,84,.476,12,31,.387,28,53,.528,.548,20,21,.952,13,36,49,23,8,0,20,17
44,44,2026-01-24,@,DAL,W,116,110,,40,90,.444,14,34,.412,26,56,.464,.522,22,29,.759,16,41,57,26,7,8,16,20,39,94,.415,10,29,.345,29,65,.446,.468,22,29,.759,11,32,43,22,10,6,11,19
45,45,2026-01-26,@,CHI,W,129,118,,46,82,.561,16,33,.485,30,49,.612,.659,21,29,.724,3,32,35,26,7,3,8,15,43,82,.524,18,49,.367,25,33,.758,.634,14,18,.778,5,35,40,31,5,0,15,20
46,46,2026-01-28,@,CLE,L,99,129,,39,81,.481,9,32,.281,30,49,.612,.537,12,18,.667,8,28,36,21,7,3,16,16,51,97,.526,17,44,.386,34,53,.642,.613,10,13,.769,14,32,46,32,12,2,10,15
47,47,2026-01-30,@,WAS,W,142,111,,52,85,.612,14,33,.424,38,52,.731,.694,24,32,.750,11,35,46,38,17,4,17,8,44,99,.444,16,48,.333,28,51,.549,.525,7,10,.700,17,22,39,28,10,4,19,19
48,48,2026-02-01,@,NYK,L,100,112,,38,84,.452,12,42,.286,26,42,.619,.524,12,19,.632,7,29,36,21,5,3,11,14,43,91,.473,18,42,.429,25,49,.510,.571,8,11,.727,14,32,46,30,7,2,10,15
49,49,2026-02-03,@,BRK,W,125,109,,46,85,.541,7,31,.226,39,54,.722,.582,26,39,.667,10,31,41,25,14,0,12,13,45,94,.479,10,41,.244,35,53,.660,.532,9,14,.643,16,32,48,28,7,0,20,21
50,50,2026-02-05,,PHI,W,119,115,,44,79,.557,9,25,.360,35,54,.648,.614,22,27,.815,10,32,42,27,8,4,22,17,45,84,.536,5,24,.208,40,60,.667,.565,20,23,.870,4,24,28,29,15,3,15,22
51,51,2026-02-07,,GSW,W,105,99,,35,69,.507,11,27,.407,24,42,.571,.587,24,30,.800,5,36,41,29,7,10,23,14,39,92,.424,14,51,.275,25,41,.610,.500,7,11,.636,10,27,37,25,16,3,13,25
52,52,2026-02-09,,OKC,L,110,119,,42,84,.500,10,31,.323,32,53,.604,.560,16,23,.696,9,28,37,25,7,2,15,21,42,87,.483,14,33,.424,28,54,.519,.563,21,29,.724,14,31,45,23,12,4,16,19
53,53,2026-02-10,,SAS,L,108,136,,41,85,.482,11,25,.440,30,60,.500,.547,15,20,.750,5,29,34,23,7,2,18,20,52,92,.565,13,33,.394,39,59,.661,.636,19,25,.760,9,36,45,34,14,6,13,18
54,54,2026-02-12,,DAL,W,124,104,,48,86,.558,10,31,.323,38,55,.691,.616,18,21,.857,10,34,44,35,8,3,13,20,39,79,.494,7,26,.269,32,53,.604,.538,19,25,.760,4,24,28,22,7,1,15,18
55,55,2026-02-20,,LAC,W,125,122,,44,85,.518,17,31,.548,27,54,.500,.618,20,25,.800,5,27,32,31,8,4,12,24,45,82,.549,8,21,.381,37,61,.607,.598,24,29,.828,10,32,42,25,7,5,16,20
56,56,2026-02-22,,BOS,L,89,111,,34,87,.391,9,30,.300,25,57,.439,.443,12,18,.667,8,31,39,18,7,5,8,19,40,83,.482,14,36,.389,26,47,.553,.566,17,21,.810,9,41,50,29,6,5,14,19
57,57,2026-02-24,,ORL,L,109,110,,40,83,.482,9,29,.310,31,54,.574,.536,20,28,.714,7,32,39,24,6,8,12,19,43,94,.457,7,29,.241,36,65,.554,.495,17,23,.739,12,35,47,26,7,5,11,20
58,58,2026-02-26,@,PHO,L,110,113,,38,75,.507,11,29,.379,27,46,.587,.580,23,26,.885,10,29,39,20,8,2,13,15,40,87,.460,22,50,.440,18,37,.486,.586,11,14,.786,15,26,41,22,9,5,12,23
59,59,2026-02-28,@,GSW,W,129,101,,48,90,.533,19,41,.463,29,49,.592,.639,14,20,.700,10,37,47,29,7,5,10,11,41,91,.451,12,44,.273,29,47,.617,.516,7,9,.778,9,31,40,32,6,4,11,19
60,60,2026-03-01,,SAC,W,128,104,,47,94,.500,18,39,.462,29,55,.527,.596,16,22,.727,9,28,37,34,14,9,10,12,42,90,.467,6,26,.231,36,64,.563,.500,14,15,.933,16,36,52,30,4,8,20,16
61,61,2026-03-03,,NOP,W,110,101,,39,83,.470,11,37,.297,28,46,.609,.536,21,26,.808,11,37,48,29,7,12,22,17,38,90,.422,8,29,.276,30,61,.492,.467,17,19,.895,10,31,41,29,12,3,19,24
62,62,2026-03-05,@,DEN,L,113,120,,45,87,.517,13,31,.419,32,56,.571,.592,10,15,.667,6,26,32,30,12,1,10,21,39,75,.520,14,31,.452,25,44,.568,.613,28,31,.903,7,34,41,27,3,1,18,16
