,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,,NOP,W,128,122,,41,80,.513,11,37,.297,30,43,.698,.581,35,43,.814,6,33,39,20,5,12,17,29,45,98,.459,10,27,.370,35,71,.493,.510,22,31,.710,17,30,47,20,10,4,15,30
2,2,2025-10-24,,MIA,L,114,146,,38,95,.400,13,45,.289,25,50,.500,.468,25,28,.893,12,29,41,29,8,4,20,19,55,102,.539,19,40,.475,36,62,.581,.632,17,22,.773,17,40,57,34,15,4,20,25
3,3,2025-10-25,,IND,W,128,103,,44,97,.454,15,39,.385,29,58,.500,.531,25,32,.781,10,39,49,31,6,4,6,22,36,89,.404,14,40,.350,22,49,.449,.483,17,23,.739,11,33,44,25,2,5,13,21
4,4,2025-10-27,@,GSW,L,118,131,,40,88,.455,12,39,.308,28,49,.571,.523,26,28,.929,7,32,39,32,8,3,13,20,44,83,.530,19,43,.442,25,40,.625,.645,24,30,.800,7,32,39,36,7,5,16,24
5,5,2025-10-29,@,PHO,W,114,113,,44,93,.473,15,38,.395,29,55,.527,.554,11,13,.846,9,32,41,31,12,3,17,17,41,86,.477,16,40,.400,25,46,.543,.570,15,17,.882,8,32,40,25,11,4,21,20
6,6,2025-10-31,,LAL,L,112,117,,41,93,.441,14,45,.311,27,48,.563,.516,16,19,.842,13,29,42,28,9,0,11,25,39,76,.513,13,38,.342,26,38,.684,.599,26,33,.788,5,35,40,24,8,3,15,16
7,7,2025-11-02,@,TOR,L,104,117,,38,87,.437,11,35,.314,27,52,.519,.500,17,20,.850,11,30,41,24,6,0,13,18,45,89,.506,11,37,.297,34,52,.654,.567,16,20,.800,15,34,49,32,5,7,16,23
8,8,2025-11-03,,DET,L,106,114,,35,87,.402,14,41,.341,21,46,.457,.483,22,25,.880,18,31,49,25,8,5,20,22,42,83,.506,10,31,.323,32,52,.615,.566,20,29,.690,10,33,43,23,11,9,14,21
9,9,2025-11-05,,HOU,L,109,124,,34,89,.382,13,39,.333,21,50,.420,.455,28,35,.800,13,34,47,25,10,9,15,19,48,101,.475,13,30,.433,35,71,.493,.540,15,18,.833,15,39,54,29,9,3,13,21
10,10,2025-11-07,,DAL,W,118,104,,41,85,.482,13,35,.371,28,50,.560,.559,23,28,.821,7,35,42,27,8,1,15,20,42,86,.488,10,39,.256,32,47,.681,.547,10,16,.625,8,36,44,25,7,6,18,20
11,11,2025-11-09,,OKC,L,100,114,,35,91,.385,17,44,.386,18,47,.383,.478,13,18,.722,11,39,50,30,3,6,14,25,41,95,.432,10,43,.233,31,52,.596,.484,22,26,.846,9,42,51,19,10,3,6,17
12,12,2025-11-11,@,NYK,L,120,133,,43,84,.512,14,38,.368,29,46,.630,.595,20,24,.833,5,39,44,36,7,3,22,20,47,98,.480,22,55,.400,25,43,.581,.592,17,20,.850,10,34,44,35,12,2,15,21
13,13,2025-11-12,@,BOS,L,95,131,,32,95,.337,10,43,.233,22,52,.423,.389,21,26,.808,15,26,41,25,8,4,10,18,50,99,.505,21,51,.412,29,48,.604,.611,10,12,.833,18,40,58,34,4,8,11,20
14,14,2025-11-15,@,CLE,L,100,108,,31,86,.360,9,32,.281,22,54,.407,.413,29,40,.725,11,35,46,21,9,5,15,25,38,83,.458,13,40,.325,25,43,.581,.536,19,29,.655,11,38,49,24,7,9,21,28
15,15,2025-11-18,@,SAS,L,101,111,,42,104,.404,12,39,.308,30,65,.462,.462,5,9,.556,21,38,59,30,6,4,14,15,42,87,.483,16,42,.381,26,45,.578,.575,11,13,.846,4,34,38,23,10,3,9,16
16,16,2025-11-20,,SAC,W,137,96,,50,99,.505,17,54,.315,33,45,.733,.591,20,26,.769,11,38,49,42,11,3,8,11,37,80,.463,11,33,.333,26,47,.553,.531,11,15,.733,4,28,32,24,5,5,17,22
17,17,2025-11-22,@,DAL,W,102,96,,37,92,.402,8,31,.258,29,61,.475,.446,20,24,.833,23,38,61,26,5,5,13,18,35,91,.385,12,36,.333,23,55,.418,.451,14,16,.875,11,30,41,19,4,9,10,21
18,18,2025-11-24,,DEN,L,115,125,,43,93,.462,16,47,.340,27,46,.587,.548,13,15,.867,11,29,40,33,6,4,11,16,46,91,.505,22,43,.512,24,48,.500,.626,11,14,.786,14,32,46,32,5,3,14,15
19,19,2025-11-26,@,NOP,W,133,128,OT,52,97,.536,17,37,.459,35,60,.583,.624,12,14,.857,11,38,49,38,9,8,16,18,50,101,.495,19,45,.422,31,56,.554,.589,9,10,.900,10,30,40,34,10,9,15,18
