,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,@,ORL,L,121,125,,44,91,.484,12,35,.343,32,56,.571,.549,21,27,.778,10,37,47,26,9,4,19,28,42,90,.467,12,30,.400,30,60,.500,.533,29,35,.829,9,37,46,23,8,7,15,20
2,2,2025-10-24,@,MEM,W,146,114,,55,102,.539,19,40,.475,36,62,.581,.632,17,22,.773,17,40,57,34,15,4,20,25,38,95,.400,13,45,.289,25,50,.500,.468,25,28,.893,12,29,41,29,8,4,20,19
3,3,2025-10-26,,NYK,W,115,107,,38,83,.458,13,37,.351,25,46,.543,.536,26,31,.839,9,41,50,25,7,1,16,16,38,98,.388,15,54,.278,23,44,.523,.464,16,21,.762,16,36,52,23,9,3,16,24
4,4,2025-10-28,,CHO,W,144,117,,52,96,.542,20,45,.444,32,51,.627,.646,20,22,.909,8,29,37,34,8,2,11,16,40,90,.444,18,45,.400,22,45,.489,.544,19,23,.826,9,32,41,26,9,3,18,18
5,5,2025-10-30,@,SAS,L,101,107,,39,90,.433,15,38,.395,24,52,.462,.517,8,11,.727,5,36,41,29,6,2,14,20,38,86,.442,14,41,.341,24,45,.533,.523,17,23,.739,9,39,48,26,10,8,11,17
6,6,2025-11-02,@,LAL,L,120,130,,43,84,.512,9,33,.273,34,51,.667,.565,25,36,.694,9,33,42,29,7,3,15,20,48,95,.505,15,46,.326,33,49,.673,.584,19,23,.826,8,33,41,33,14,2,12,26
7,7,2025-11-03,@,LAC,W,120,119,,45,83,.542,12,25,.480,33,58,.569,.614,18,24,.750,6,31,37,33,12,3,16,15,44,88,.500,17,41,.415,27,47,.574,.597,14,19,.737,11,33,44,25,13,4,21,24
8,8,2025-11-05,@,DEN,L,112,122,,38,86,.442,14,41,.341,24,45,.533,.523,22,25,.880,5,33,38,26,13,4,15,20,43,101,.426,11,40,.275,32,61,.525,.480,25,28,.893,21,40,61,33,10,4,17,16
9,9,2025-11-07,,CHO,W,126,108,,51,99,.515,12,28,.429,39,71,.549,.576,12,14,.857,6,31,37,31,10,7,8,21,37,97,.381,10,39,.256,27,58,.466,.433,24,27,.889,19,38,57,22,4,9,18,18
10,10,2025-11-08,,POR,W,136,131,,49,96,.510,10,35,.286,39,61,.639,.563,28,36,.778,12,35,47,37,17,5,15,23,49,109,.450,14,51,.275,35,58,.603,.514,19,23,.826,22,35,57,29,8,4,20,32
