 
,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,@,MEM,L,122,128,,45,98,.459,10,27,.370,35,71,.493,.510,22,31,.710,17,30,47,20,10,4,15,30,41,80,.513,11,37,.297,30,43,.698,.581,35,43,.814,6,33,39,20,5,12,17,29
2,2,2025-10-24,,SAS,L,116,120,OT,42,97,.433,10,32,.313,32,65,.492,.485,22,29,.759,16,29,45,24,10,3,15,21,45,98,.459,13,43,.302,32,55,.582,.526,17,26,.654,20,39,59,25,6,13,19,27
3,3,2025-10-27,,BOS,L,90,122,,28,84,.333,9,36,.250,19,48,.396,.387,25,28,.893,11,24,35,17,7,0,14,19,46,95,.484,18,53,.340,28,42,.667,.579,12,15,.800,16,38,54,25,5,7,12,24
4,4,2025-10-29,@,DEN,L,88,122,,32,85,.376,7,34,.206,25,51,.490,.418,17,29,.586,13,23,36,17,9,3,14,15,48,90,.533,14,42,.333,34,48,.708,.611,12,14,.857,13,43,56,40,6,4,14,23
5,5,2025-10-31,@,LAC,L,124,126,,40,83,.482,18,37,.486,22,46,.478,.590,26,29,.897,12,31,43,28,8,4,15,18,46,89,.517,15,39,.385,31,50,.620,.601,19,21,.905,10,27,37,28,12,6,12,19
6,6,2025-11-02,@,OKC,L,106,137,,35,80,.438,16,40,.400,19,40,.475,.538,20,32,.625,12,26,38,26,6,3,17,22,47,84,.560,20,48,.417,27,36,.750,.679,23,26,.885,8,34,42,33,12,5,13,22
7,7,2025-11-04,,CHO,W,116,112,,43,90,.478,17,38,.447,26,52,.500,.572,13,19,.684,13,26,39,27,9,3,13,20,39,82,.476,13,38,.342,26,44,.591,.555,21,28,.750,15,34,49,20,8,6,20,23
8,8,2025-11-05,@,DAL,W,101,99,,39,91,.429,10,31,.323,29,60,.483,.484,13,16,.813,14,42,56,18,10,3,16,18,37,89,.416,10,32,.313,27,57,.474,.472,15,20,.750,10,34,44,18,11,7,15,15
9,9,2025-11-08,@,SAS,L,119,126,,45,94,.479,15,38,.395,30,56,.536,.559,14,17,.824,11,29,40,27,7,2,12,19,48,90,.533,14,40,.350,34,50,.680,.611,16,18,.889,10,33,43,31,6,6,12,20
10,10,2025-11-10,@,PHO,L,98,121,,34,83,.410,10,32,.313,24,51,.471,.470,20,26,.769,15,25,40,18,12,3,20,23,39,78,.500,19,43,.442,20,35,.571,.622,24,31,.774,10,33,43,29,12,7,18,18
11,11,2025-11-12,,POR,L,117,125,,43,91,.473,13,39,.333,30,52,.577,.544,18,21,.857,15,20,35,28,6,2,10,20,48,83,.578,13,37,.351,35,46,.761,.657,16,17,.941,9,30,39,26,5,5,13,22
12,12,2025-11-14,,LAL,L,104,118,,39,89,.438,12,34,.353,27,55,.491,.506,14,18,.778,12,30,42,24,11,3,20,23,44,84,.524,10,34,.294,34,50,.680,.583,20,26,.769,10,35,45,28,13,5,18,17
13,13,2025-11-16,,GSW,L,106,124,,38,83,.458,8,29,.276,30,54,.556,.506,22,29,.759,15,30,45,22,11,4,21,16,43,94,.457,24,56,.429,19,38,.500,.585,14,17,.824,16,31,47,34,14,4,21,23
14,14,2025-11-17,,OKC,L,109,126,,42,86,.488,12,28,.429,30,58,.517,.558,13,15,.867,12,23,35,21,9,4,22,26,43,87,.494,17,42,.405,26,45,.578,.592,23,28,.821,13,25,38,30,12,6,18,20
15,15,2025-11-19,,DEN,L,118,125,,44,98,.449,7,34,.206,37,64,.578,.485,23,31,.742,17,27,44,25,12,5,12,24,46,83,.554,11,31,.355,35,52,.673,.620,22,27,.815,9,32,41,35,8,1,20,26
16,16,2025-11-21,@,DAL,L,115,118,,42,91,.462,7,27,.259,35,64,.547,.500,24,31,.774,9,33,42,25,15,4,13,20,40,84,.476,16,43,.372,24,41,.585,.571,22,28,.786,11,36,47,30,9,9,20,19
17,17,2025-11-22,,ATL,L,98,115,,35,84,.417,8,27,.296,27,57,.474,.464,20,24,.833,13,35,48,21,5,6,18,17,42,90,.467,17,46,.370,25,44,.568,.561,14,19,.737,10,32,42,28,6,7,7,20
18,18,2025-11-24,,CHI,W,143,130,,53,104,.510,13,35,.371,40,69,.580,.572,24,35,.686,19,36,55,28,13,5,14,21,43,82,.524,20,50,.400,23,32,.719,.646,24,32,.750,4,29,33,29,4,3,17,21
19,19,2025-11-26,,MEM,L,128,133,OT,50,101,.495,19,45,.422,31,56,.554,.589,9,10,.900,10,30,40,34,10,9,15,18,52,97,.536,17,37,.459,35,60,.583,.624,12,14,.857,11,38,49,38,9,8,16,18
20,20,2025-11-29,@,GSW,L,96,104,,32,86,.372,7,30,.233,25,56,.446,.413,25,34,.735,16,34,50,16,7,2,13,21,38,93,.409,12,47,.255,26,46,.565,.473,16,20,.800,14,33,47,28,5,3,10,23
21,21,2025-11-30,@,LAL,L,121,133,,46,91,.505,13,26,.500,33,65,.508,.577,16,20,.800,8,32,40,23,6,1,8,27,42,87,.483,15,41,.366,27,46,.587,.569,34,39,.872,11,35,46,26,4,10,9,14
22,22,2025-12-02,,MIN,L,142,149,OT,50,91,.549,12,21,.571,38,70,.543,.615,30,35,.857,6,36,42,26,5,1,13,23,52,104,.500,20,51,.392,32,53,.604,.596,25,29,.862,10,31,41,29,7,4,9,25
23,23,2025-12-04,,MIN,L,116,125,,43,95,.453,7,25,.280,36,70,.514,.489,23,26,.885,8,35,43,29,11,2,12,22,42,92,.457,15,38,.395,27,54,.500,.538,26,29,.897,12,37,49,30,5,10,20,22
24,24,2025-12-06,@,BRK,L,101,119,,37,82,.451,9,25,.360,28,57,.491,.506,18,22,.818,11,25,36,30,9,3,17,15,47,89,.528,14,35,.400,33,54,.611,.607,11,14,.786,13,32,45,36,6,7,20,17
25,25,2025-12-08,,SAS,L,132,135,,51,88,.580,7,26,.269,44,62,.710,.619,23,26,.885,4,29,33,35,8,6,9,23,49,98,.500,17,36,.472,32,62,.516,.587,20,25,.800,12,31,43,29,5,0,15,19
26,26,2025-12-11,,POR,W,143,120,,58,112,.518,12,32,.375,46,80,.575,.571,15,17,.882,19,38,57,36,10,8,10,16,45,102,.441,14,48,.292,31,54,.574,.510,16,22,.727,13,28,41,27,5,7,15,19
27,27,2025-12-14,@,CHI,W,114,104,,43,93,.462,8,33,.242,35,60,.583,.505,20,25,.800,14,39,53,21,7,5,15,17,38,92,.413,13,49,.265,25,43,.581,.484,15,17,.882,13,30,43,26,10,4,13,24
28,28,2025-12-18,,HOU,W,133,128,OT,49,97,.505,11,27,.407,38,70,.543,.562,24,28,.857,13,28,41,27,15,7,12,24,50,107,.467,10,32,.313,40,75,.533,.514,18,27,.667,25,33,58,30,6,8,20,21
29,29,2025-12-20,,IND,W,128,109,,45,85,.529,9,27,.333,36,58,.621,.582,29,34,.853,6,43,49,25,6,2,18,25,40,94,.426,8,42,.190,32,52,.615,.468,21,30,.700,11,31,42,28,7,4,14,26
30,30,2025-12-22,,DAL,W,119,113,,44,97,.454,8,34,.235,36,63,.571,.495,23,27,.852,14,37,51,28,9,2,13,16,46,104,.442,10,33,.303,36,71,.507,.490,11,21,.524,18,39,57,29,9,5,17,19
31,31,2025-12-23,@,CLE,L,118,141,,43,94,.457,11,26,.423,32,68,.471,.516,21,25,.840,13,30,43,26,10,2,16,16,56,105,.533,20,49,.408,36,56,.643,.629,9,11,.818,14,35,49,40,8,6,13,21
32,32,2025-12-26,,PHO,L,108,115,,39,88,.443,5,25,.200,34,63,.540,.472,25,42,.595,12,26,38,22,10,2,12,22,44,91,.484,8,40,.200,36,51,.706,.527,19,25,.760,16,36,52,26,9,4,18,27
33,33,2025-12-27,,PHO,L,114,123,,38,87,.437,9,27,.333,29,60,.483,.489,29,33,.879,14,29,43,16,11,7,13,22,45,98,.459,20,44,.455,25,54,.463,.561,13,19,.684,22,33,55,26,7,3,17,23
34,34,2025-12-29,,NYK,L,125,130,,44,96,.458,14,36,.389,30,60,.500,.531,23,27,.852,16,34,50,27,6,8,12,15,46,95,.484,20,44,.455,26,51,.510,.589,18,19,.947,10,32,42,35,8,4,9,19
35,35,2025-12-31,@,CHI,L,118,134,,42,98,.429,12,38,.316,30,60,.500,.490,22,27,.815,12,34,46,25,4,9,10,24,47,92,.511,15,43,.349,32,49,.653,.592,25,34,.735,8,41,49,33,5,7,9,18
36,36,2026-01-02,,POR,L,109,122,,44,98,.449,8,30,.267,36,68,.529,.490,13,18,.722,19,23,42,22,8,11,15,22,41,92,.446,16,47,.340,25,45,.556,.533,24,30,.800,19,27,46,27,6,7,9,17
37,37,2026-01-04,@,MIA,L,106,125,,42,90,.467,16,40,.400,26,50,.520,.556,6,8,.750,6,36,42,28,9,7,26,14,47,101,.465,18,44,.409,29,57,.509,.554,13,18,.722,12,31,43,30,19,7,16,14
38,38,2026-01-06,,LAL,L,103,111,,40,91,.440,10,40,.250,30,51,.588,.495,13,18,.722,14,30,44,28,8,2,16,19,43,85,.506,11,31,.355,32,54,.593,.571,14,21,.667,9,35,44,30,11,6,15,21
39,39,2026-01-07,@,ATL,L,100,117,,38,86,.442,8,28,.286,30,58,.517,.488,16,25,.640,6,34,40,26,13,9,19,15,44,95,.463,18,47,.383,26,48,.542,.558,11,17,.647,11,38,49,30,13,10,21,19
40,40,2026-01-09,@,WAS,W,128,107,,51,95,.537,11,34,.324,40,61,.656,.595,15,24,.625,10,41,51,30,12,4,19,22,37,87,.425,11,35,.314,26,52,.500,.489,22,33,.667,11,29,40,24,10,8,19,23
41,41,2026-01-11,@,ORL,L,118,128,,46,80,.575,14,26,.538,32,54,.593,.663,12,15,.800,5,21,26,27,8,9,16,25,43,82,.524,11,24,.458,32,58,.552,.591,31,35,.886,11,28,39,27,10,3,13,16
42,42,2026-01-13,,DEN,L,116,122,,39,86,.453,11,29,.379,28,57,.491,.517,27,31,.871,16,35,51,21,6,4,15,20,41,84,.488,14,35,.400,27,49,.551,.571,26,32,.813,5,27,32,24,8,3,7,22
43,43,2026-01-14,,BRK,W,116,113,,43,97,.443,11,33,.333,32,64,.500,.500,19,25,.760,18,35,53,24,5,7,9,11,45,95,.474,16,43,.372,29,52,.558,.558,7,12,.583,10,33,43,24,3,5,11,21
44,44,2026-01-16,@,IND,L,119,127,,41,82,.500,13,31,.419,28,51,.549,.579,24,30,.800,8,34,42,22,4,4,9,16,52,101,.515,15,43,.349,37,58,.638,.589,8,12,.667,13,30,43,37,5,7,7,22
45,45,2026-01-18,@,HOU,L,110,119,,44,88,.500,10,26,.385,34,62,.548,.557,12,15,.800,10,29,39,27,10,5,14,16,45,90,.500,13,36,.361,32,54,.593,.572,16,22,.727,17,30,47,22,9,4,15,12
46,46,2026-01-21,,DET,L,104,112,,36,86,.419,7,32,.219,29,54,.537,.459,25,30,.833,14,32,46,19,13,6,19,20,39,88,.443,15,39,.385,24,49,.490,.528,19,24,.792,13,34,47,26,12,8,20,21
47,47,2026-01-23,@,MEM,W,133,127,,46,99,.465,13,36,.361,33,63,.524,.530,28,33,.848,18,31,49,29,14,4,10,20,45,92,.489,18,47,.383,27,45,.600,.587,19,22,.864,14,33,47,34,4,10,19,23
48,48,2026-01-25,@,SAS,W,104,95,,41,102,.402,9,34,.265,32,68,.471,.446,13,17,.765,19,39,58,23,3,5,10,23,32,81,.395,12,44,.273,20,37,.541,.469,19,32,.594,10,36,46,22,2,5,12,16
49,49,2026-01-27,@,OKC,L,95,104,,34,99,.343,10,40,.250,24,59,.407,.394,17,22,.773,21,33,54,25,13,11,9,21,35,87,.402,13,38,.342,22,49,.449,.477,21,23,.913,13,40,53,25,4,9,16,15
50,50,2026-01-30,,MEM,W,114,106,,43,88,.489,8,33,.242,35,55,.636,.534,20,26,.769,14,28,42,24,13,6,16,16,40,93,.430,12,41,.293,28,52,.538,.495,14,15,.933,16,30,46,26,11,3,20,19
51,51,2026-01-31,@,PHI,L,114,124,,40,92,.435,15,36,.417,25,56,.446,.516,19,22,.864,11,35,46,23,5,11,10,16,45,94,.479,17,36,.472,28,58,.483,.569,17,23,.739,12,40,52,28,5,4,10,17
52,52,2026-02-02,@,CHO,L,95,102,,33,84,.393,11,34,.324,22,50,.440,.458,18,25,.720,5,29,34,23,9,4,8,23,34,85,.400,12,50,.240,22,35,.629,.471,22,27,.815,13,46,59,16,3,3,17,19
53,53,2026-02-04,@,MIL,L,137,141,OT,45,94,.479,24,46,.522,21,48,.438,.606,23,29,.793,9,29,38,32,9,2,8,14,56,92,.609,21,47,.447,35,45,.778,.723,8,10,.800,6,37,43,36,5,3,15,18
54,54,2026-02-06,@,MIN,W,119,115,,43,80,.538,15,34,.441,28,46,.609,.631,18,22,.818,6,33,39,29,5,5,16,20,40,95,.421,13,40,.325,27,55,.491,.489,22,26,.846,20,27,47,22,7,7,10,18
55,55,2026-02-09,,SAC,W,120,94,,47,87,.540,16,39,.410,31,48,.646,.632,10,16,.625,7,32,39,30,8,5,13,18,40,99,.404,4,31,.129,36,68,.529,.424,10,15,.667,19,31,50,19,8,3,17,13
56,56,2026-02-11,,MIA,L,111,123,,42,92,.457,11,31,.355,31,61,.508,.516,16,19,.842,8,38,46,27,5,3,13,23,42,102,.412,14,47,.298,28,55,.509,.480,25,33,.758,18,38,56,25,8,9,8,15
57,57,2026-02-20,,MIL,L,118,139,,47,87,.540,4,25,.160,43,62,.694,.563,20,28,.714,9,28,37,22,10,5,14,17,55,92,.598,15,36,.417,40,56,.714,.679,14,18,.778,8,29,37,28,9,8,15,17
58,58,2026-02-21,,PHI,W,126,111,,40,81,.494,17,34,.500,23,47,.489,.599,29,38,.763,10,39,49,25,5,8,15,25,36,94,.383,12,46,.261,24,48,.500,.447,27,33,.818,12,35,47,19,10,5,11,25
59,59,2026-02-24,,GSW,W,113,109,,43,101,.426,10,40,.250,33,61,.541,.475,17,23,.739,21,32,53,20,12,9,17,19,40,97,.412,11,45,.244,29,52,.558,.469,18,23,.783,21,38,59,26,8,6,21,21
60,60,2026-02-26,@,UTA,W,129,118,,46,88,.523,13,34,.382,33,54,.611,.597,24,27,.889,13,27,40,37,13,8,18,22,45,90,.500,12,37,.324,33,53,.623,.567,16,25,.640,15,22,37,28,14,6,18,21
61,61,2026-02-28,@,UTA,W,115,105,,39,85,.459,15,44,.341,24,41,.585,.547,22,29,.759,12,46,58,32,5,11,19,23,33,96,.344,12,43,.279,21,53,.396,.406,27,33,.818,13,27,40,24,10,5,7,20
62,62,2026-03-01,@,LAC,L,117,137,,40,89,.449,12,33,.364,28,56,.500,.517,25,30,.833,14,27,41,22,6,4,17,21,48,89,.539,17,36,.472,31,53,.585,.635,24,29,.828,10,28,38,29,11,3,9,22
63,63,2026-03-03,@,LAL,L,101,110,,38,90,.422,8,29,.276,30,61,.492,.467,17,19,.895,10,31,41,29,12,3,19,24,39,83,.470,11,37,.297,28,46,.609,.536,21,26,.808,11,37,48,29,7,12,22,17
64,64,2026-03-05,@,SAC,W,133,123,,49,98,.500,12,34,.353,37,64,.578,.561,23,27,.852,14,38,52,27,7,11,12,18,50,99,.505,8,31,.258,42,68,.618,.545,15,23,.652,10,32,42,29,5,3,7,19
65,65,2026-03-06,@,PHO,L,116,118,,37,83,.446,10,28,.357,27,55,.491,.506,32,37,.865,16,26,42,18,8,3,15,24,40,90,.444,20,58,.345,20,32,.625,.556,18,26,.692,15,26,41,27,9,6,15,23
66,66,2026-03-08,,WAS,W,138,118,,47,89,.528,7,23,.304,40,66,.606,.567,37,47,.787,12,32,44,25,11,6,8,20,41,91,.451,14,42,.333,27,49,.551,.527,22,27,.815,13,28,41,27,2,3,17,31
67,67,2026-03-11,,TOR,W,122,111,,45,88,.511,14,29,.483,31,59,.525,.591,18,24,.750,10,39,49,27,10,5,16,16,39,94,.415,14,44,.318,25,50,.500,.489,19,25,.760,14,29,43,20,13,5,11,17
68,68,2026-03-13,@,HOU,L,105,107,,37,84,.440,13,32,.406,24,52,.462,.518,18,26,.692,15,33,48,19,7,6,13,19,40,94,.426,14,41,.341,26,53,.491,.500,13,17,.765,18,34,52,25,8,8,12,21
69,69,2026-03-16,,DAL,W,129,111,,48,95,.505,11,35,.314,37,60,.617,.563,22,34,.647,12,45,57,31,7,12,14,16,44,104,.423,14,39,.359,30,65,.462,.490,9,14,.643,13,38,51,27,10,3,12,22
70,70,2026-03-18,,LAC,W,124,109,,44,83,.530,16,37,.432,28,46,.609,.627,20,21,.952,13,27,40,32,12,6,19,14,45,88,.511,9,31,.290,36,57,.632,.563,10,13,.769,14,22,36,24,10,2,16,17
71,71,2026-03-19,,LAC,W,105,99,,37,78,.474,13,34,.382,24,44,.545,.558,18,22,.818,8,32,40,21,11,2,16,19,35,76,.461,10,32,.313,25,44,.568,.526,19,32,.594,9,30,39,20,11,2,16,21
72,72,2026-03-21,,CLE,L,106,111,,39,90,.433,12,40,.300,27,50,.540,.500,16,20,.800,10,30,40,30,10,7,9,19,42,88,.477,12,39,.308,30,49,.612,.545,15,22,.682,14,41,55,26,6,4,14,17
73,73,2026-03-24,@,NYK,L,116,121,,45,88,.511,15,34,.441,30,54,.556,.597,11,13,.846,6,28,34,33,5,3,7,19,44,85,.518,13,33,.394,31,52,.596,.594,20,22,.909,9,32,41,29,5,4,11,18
74,74,2026-03-26,@,DET,L,108,129,,44,95,.463,9,25,.360,35,70,.500,.511,11,24,.458,16,26,42,26,12,7,15,20,48,85,.565,15,28,.536,33,57,.579,.653,18,23,.783,8,37,45,34,9,6,19,18
75,75,2026-03-27,@,TOR,L,106,119,,39,93,.419,7,28,.250,32,65,.492,.457,21,25,.840,15,28,43,21,7,8,14,18,48,93,.516,10,28,.357,38,65,.585,.570,13,18,.722,13,33,46,36,8,8,14,24
76,76,2026-03-29,,HOU,L,102,134,,37,86,.430,9,29,.310,28,57,.491,.483,19,28,.679,8,28,36,19,4,9,11,18,49,105,.467,18,44,.409,31,61,.508,.552,18,21,.857,22,37,59,33,9,8,8,17
77,77,2026-04-02,@,POR,L,106,118,,38,84,.452,9,23,.391,29,61,.475,.506,21,26,.808,12,32,44,25,9,5,19,21,42,92,.457,20,51,.392,22,41,.537,.565,14,18,.778,14,31,45,27,11,7,16,17
78,78,2026-04-03,@,SAC,L,113,117,,40,84,.476,14,34,.412,26,50,.520,.560,19,21,.905,7,29,36,24,12,3,13,18,46,90,.511,10,33,.303,36,57,.632,.567,15,20,.750,12,34,46,29,7,6,15,16
79,79,2026-04-05,,ORL,L,108,112,,35,84,.417,10,31,.323,25,53,.472,.476,28,36,.778,9,38,47,18,7,8,15,27,40,93,.430,7,33,.212,33,60,.550,.468,25,36,.694,16,41,57,27,6,5,13,23
80,80,2026-04-07,,UTA,W,156,137,,61,106,.575,14,34,.412,47,72,.653,.642,20,23,.870,10,38,48,32,15,5,17,18,53,104,.510,10,32,.313,43,72,.597,.558,21,24,.875,10,31,41,38,12,1,16,18
81,81,2026-04-10,@,BOS,L,118,144,,44,96,.458,9,32,.281,35,64,.547,.505,21,30,.700,14,30,44,22,6,3,13,19,52,96,.542,29,59,.492,23,37,.622,.693,11,15,.733,9,35,44,35,9,5,14,26
82,82,2026-04-12,@,MIN,L,126,132,,45,107,.421,5,21,.238,40,86,.465,.444,31,38,.816,20,32,52,20,9,6,9,28,45,89,.506,10,37,.270,35,52,.673,.562,32,43,.744,12,35,47,32,5,13,11,27
,,,,,26-56,9473,9842,,3455,7420,.466,914,2635,.347,2541,4785,.531,.527,1649,2104,.784,1002,2596,3598,2058,726,424,1163,1634,3589,7519,.477,1164,3323,.350,2425,4196,.578,.555,1500,1939,.774,1040,2715,3755,2307,656,475,1187,1659
