,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,,CLE,W,119,111,,37,86,.430,14,40,.350,23,46,.500,.512,31,36,.861,9,39,48,22,8,4,14,23,40,86,.465,19,46,.413,21,40,.525,.576,12,18,.667,4,28,32,21,8,4,15,25
2,2,2025-10-24,,BOS,W,105,95,,33,86,.384,17,45,.378,16,41,.390,.483,22,25,.880,21,32,53,23,7,4,20,17,35,82,.427,15,44,.341,20,38,.526,.518,10,15,.667,8,29,37,19,10,7,16,25
3,3,2025-10-26,@,MIA,L,107,115,,38,98,.388,15,54,.278,23,44,.523,.464,16,21,.762,16,36,52,23,9,3,16,24,38,83,.458,13,37,.351,25,46,.543,.536,26,31,.839,9,41,50,25,7,1,16,16
4,4,2025-10-28,@,MIL,L,111,121,,39,92,.424,13,40,.325,26,52,.500,.495,20,23,.870,17,28,45,24,9,2,13,21,43,79,.544,14,34,.412,29,45,.644,.633,21,24,.875,4,34,38,27,7,8,13,21
5,5,2025-10-31,@,CHI,L,125,135,,45,91,.495,18,45,.400,27,46,.587,.593,17,23,.739,12,27,39,27,3,5,12,25,45,84,.536,17,37,.459,28,47,.596,.637,28,35,.800,6,35,41,31,8,6,9,22
6,6,2025-11-02,,CHI,W,128,116,,43,95,.453,20,42,.476,23,53,.434,.558,22,22,1.000,14,33,47,31,7,5,11,12,45,93,.484,17,40,.425,28,53,.528,.575,9,11,.818,12,34,46,28,7,3,14,20
7,7,2025-11-03,,WAS,W,119,102,,44,94,.468,15,41,.366,29,53,.547,.548,16,20,.800,12,37,49,32,12,4,12,16,38,81,.469,13,35,.371,25,46,.543,.549,13,19,.684,7,37,44,30,7,5,20,21
8,8,2025-11-05,,MIN,W,137,114,,55,102,.539,19,42,.452,36,60,.600,.632,8,9,.889,21,29,50,32,7,8,14,21,40,83,.482,19,40,.475,21,43,.488,.596,15,17,.882,9,22,31,30,6,2,17,14
9,9,2025-11-09,,BRK,W,134,98,,48,89,.539,17,37,.459,31,52,.596,.635,21,26,.808,15,31,46,31,9,3,14,25,33,82,.402,14,45,.311,19,37,.514,.488,18,24,.750,15,23,38,21,5,8,19,25
10,10,2025-11-11,,MEM,W,133,120,,47,98,.480,22,55,.400,25,43,.581,.592,17,20,.850,10,34,44,35,12,2,15,21,43,84,.512,14,38,.368,29,46,.630,.595,20,24,.833,5,39,44,36,7,3,22,20
11,11,2025-11-12,,ORL,L,107,124,,39,88,.443,11,36,.306,28,52,.538,.506,18,23,.783,10,27,37,20,10,3,14,25,42,86,.488,12,33,.364,30,53,.566,.558,28,33,.848,12,37,49,29,10,4,15,23
12,12,2025-11-14,,MIA,W,140,132,,48,104,.462,21,53,.396,27,51,.529,.563,23,29,.793,20,31,51,32,9,2,8,23,44,95,.463,19,44,.432,25,51,.490,.563,25,34,.735,15,31,46,30,4,5,11,23
