,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-21,,HOU,W,125,124,2OT,46,104,.442,13,52,.250,33,52,.635,.505,20,25,.800,11,27,38,29,12,4,12,27,43,97,.443,11,39,.282,32,58,.552,.500,27,31,.871,16,36,52,23,6,5,25,26
2,2,2025-10-23,@,IND,W,141,135,2OT,43,95,.453,10,35,.286,33,60,.550,.505,45,51,.882,9,51,60,17,6,2,14,33,46,105,.438,13,43,.302,33,62,.532,.500,30,40,.750,11,44,55,21,6,4,14,37
3,3,2025-10-25,@,ATL,W,117,100,,43,93,.462,14,37,.378,29,56,.518,.538,17,19,.895,15,35,50,21,13,3,13,19,35,85,.412,16,39,.410,19,46,.413,.506,14,21,.667,15,31,46,25,7,5,17,23
4,4,2025-10-27,@,DAL,W,101,94,,42,90,.467,6,30,.200,36,60,.600,.500,11,13,.846,9,46,55,21,5,5,13,23,33,87,.379,12,39,.308,21,48,.438,.448,16,22,.727,6,30,36,20,6,4,9,15
5,5,2025-10-28,,SAC,W,107,101,,42,92,.457,14,44,.318,28,48,.583,.533,9,10,.900,10,34,44,26,11,10,15,19,36,85,.424,10,29,.345,26,56,.464,.482,19,21,.905,9,37,46,21,11,3,17,16
6,6,2025-10-30,,WAS,W,127,108,,44,98,.449,16,49,.327,28,49,.571,.531,23,28,.821,14,33,47,29,16,8,6,15,38,84,.452,17,40,.425,21,44,.477,.554,15,17,.882,12,37,49,25,3,6,23,26
7,7,2025-11-02,,NOP,W,137,106,,47,84,.560,20,48,.417,27,36,.750,.679,23,26,.885,8,34,42,33,12,5,13,22,35,80,.438,16,40,.400,19,40,.475,.538,20,32,.625,12,26,38,26,6,3,17,22
8,8,2025-11-04,@,LAC,W,126,107,,45,86,.523,18,38,.474,27,48,.563,.628,18,22,.818,8,32,40,28,12,6,11,23,33,80,.413,18,43,.419,15,37,.405,.525,23,27,.852,10,32,42,26,9,2,19,20
9,9,2025-11-05,@,POR,L,119,121,,38,91,.418,15,38,.395,23,53,.434,.500,28,31,.903,13,37,50,24,9,5,15,27,36,88,.409,19,43,.442,17,45,.378,.517,30,32,.938,11,38,49,24,8,6,18,24
10,10,2025-11-07,@,SAC,W,132,101,,49,91,.538,13,35,.371,36,56,.643,.610,21,24,.875,8,44,52,27,9,8,11,16,38,92,.413,15,40,.375,23,52,.442,.495,10,15,.667,8,30,38,27,6,3,17,20
11,11,2025-11-09,@,MEM,W,114,100,,41,95,.432,10,43,.233,31,52,.596,.484,22,26,.846,9,42,51,19,10,3,6,17,35,91,.385,17,44,.386,18,47,.383,.478,13,18,.722,11,39,50,30,3,6,14,25
12,12,2025-11-11,,GSW,W,126,102,,42,83,.506,16,36,.444,26,47,.553,.602,26,31,.839,10,30,40,29,12,4,20,21,33,74,.446,13,35,.371,20,39,.513,.534,23,29,.793,6,26,32,23,16,4,21,28
13,13,2025-11-12,,LAL,W,121,92,,44,88,.500,12,39,.308,32,49,.653,.568,21,23,.913,6,36,42,28,14,4,11,19,31,77,.403,11,35,.314,20,42,.476,.474,19,28,.679,9,33,42,19,9,0,20,19
14,14,2025-11-15,@,CHO,W,109,96,,45,89,.506,11,23,.478,34,66,.515,.567,8,10,.800,13,37,50,26,9,6,14,15,37,96,.385,16,42,.381,21,54,.389,.469,6,7,.857,12,30,42,23,6,5,15,10
15,15,2025-11-17,@,NOP,W,126,109,,43,87,.494,17,42,.405,26,45,.578,.592,23,28,.821,13,25,38,30,12,6,18,20,42,86,.488,12,28,.429,30,58,.517,.558,13,15,.867,12,23,35,21,9,4,22,26
16,16,2025-11-19,,SAC,W,113,99,,41,88,.466,10,38,.263,31,50,.620,.523,21,23,.913,9,36,45,22,9,10,16,21,38,86,.442,8,28,.286,30,58,.517,.488,15,23,.652,12,33,45,21,12,0,18,22
17,17,2025-11-21,@,UTA,W,144,112,,51,83,.614,23,37,.622,28,46,.609,.753,19,25,.760,3,23,26,36,15,4,14,16,38,79,.481,16,38,.421,22,41,.537,.582,20,24,.833,12,27,39,30,10,3,28,25
