,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,@,BOS,W,117,116,,39,85,.459,16,41,.390,23,44,.523,.553,23,30,.767,10,30,40,23,3,4,14,23,41,91,.451,11,43,.256,30,48,.625,.511,23,26,.885,10,32,42,16,7,4,11,28
2,2,2025-10-25,,CHO,W,125,121,,41,87,.471,18,39,.462,23,48,.479,.575,25,32,.781,11,29,40,29,10,5,15,25,43,89,.483,16,42,.381,27,47,.574,.573,19,28,.679,13,32,45,30,6,3,17,26
3,3,2025-10-27,,ORL,W,136,124,,48,97,.495,14,33,.424,34,64,.531,.567,26,32,.813,14,25,39,25,5,9,7,27,45,82,.549,8,25,.320,37,57,.649,.598,26,38,.684,13,30,43,27,4,7,13,22
4,4,2025-10-28,@,WAS,W,139,134,OT,45,100,.450,17,42,.405,28,58,.483,.535,32,37,.865,18,37,55,26,7,11,14,21,51,107,.477,17,43,.395,34,64,.531,.556,15,21,.714,13,37,50,33,10,5,16,30
5,5,2025-10-31,,BOS,L,108,109,,37,78,.474,13,34,.382,24,44,.545,.558,21,29,.724,9,31,40,27,6,7,18,13,44,101,.436,14,45,.311,30,56,.536,.505,7,12,.583,16,29,45,26,8,7,10,24
6,6,2025-11-02,@,BRK,W,129,105,,50,96,.521,15,40,.375,35,56,.625,.599,14,17,.824,12,32,44,34,10,6,15,25,39,91,.429,7,39,.179,32,52,.615,.467,20,26,.769,13,31,44,21,10,4,19,15
7,7,2025-11-04,@,CHI,L,111,113,,40,94,.426,11,30,.367,29,64,.453,.484,20,24,.833,12,28,40,22,12,11,16,21,42,89,.472,13,34,.382,29,55,.527,.545,16,20,.800,12,36,48,26,11,9,18,19
8,8,2025-11-05,@,CLE,L,121,132,,44,90,.489,12,31,.387,32,59,.542,.556,21,30,.700,15,28,43,26,9,2,19,23,49,92,.533,18,44,.409,31,48,.646,.630,16,17,.941,10,24,34,33,9,7,15,22
9,9,2025-11-08,,TOR,W,130,120,,49,96,.510,10,35,.286,39,61,.639,.563,22,28,.786,15,39,54,31,4,9,14,22,41,90,.456,16,38,.421,25,52,.481,.544,22,28,.786,10,28,38,29,7,5,11,25
