,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,,SAC,W,120,116,,45,95,.474,10,34,.294,35,61,.574,.526,20,28,.714,18,33,51,23,7,7,16,25,47,94,.500,9,24,.375,38,70,.543,.548,13,23,.565,9,28,37,24,10,10,13,22
2,2,2025-10-24,@,LAC,L,102,129,,37,90,.411,16,47,.340,21,43,.488,.500,12,15,.800,15,22,37,23,12,4,18,25,45,76,.592,16,29,.552,29,47,.617,.697,23,26,.885,10,35,45,32,12,5,19,19
3,3,2025-10-25,@,DEN,L,111,133,,38,88,.432,17,50,.340,21,38,.553,.528,18,22,.818,12,26,38,24,7,4,20,29,43,84,.512,9,31,.290,34,53,.642,.565,38,42,.905,11,32,43,31,14,1,16,23
4,4,2025-10-27,@,UTA,L,134,138,OT,45,106,.425,20,55,.364,25,51,.490,.519,24,31,.774,18,30,48,37,13,8,14,29,44,108,.407,16,49,.327,28,59,.475,.481,34,36,.944,28,36,64,27,8,4,19,27
5,5,2025-10-29,,MEM,L,113,114,,41,86,.477,16,40,.400,25,46,.543,.570,15,17,.882,8,32,40,25,11,4,21,20,44,93,.473,15,38,.395,29,55,.527,.554,11,13,.846,9,32,41,31,12,3,17,17
6,6,2025-10-31,,UTA,W,118,96,,43,91,.473,17,48,.354,26,43,.605,.566,15,18,.833,8,36,44,30,10,6,12,25,30,80,.375,12,37,.324,18,43,.419,.450,24,32,.750,12,36,48,23,4,3,21,22
7,7,2025-11-02,,SAS,W,130,118,,46,79,.582,19,33,.576,27,46,.587,.703,19,22,.864,5,34,39,34,8,4,20,26,45,98,.459,10,41,.244,35,57,.614,.510,18,23,.783,16,25,41,21,11,5,14,21
8,8,2025-11-04,@,GSW,L,107,118,,40,91,.440,12,33,.364,28,58,.483,.505,15,16,.938,16,30,46,25,10,5,17,17,41,83,.494,19,42,.452,22,41,.537,.608,17,20,.850,8,31,39,33,9,4,16,18
9,9,2025-11-06,,LAC,W,115,102,,41,92,.446,19,49,.388,22,43,.512,.549,14,19,.737,15,29,44,27,13,2,16,23,35,79,.443,10,31,.323,25,48,.521,.506,22,30,.733,11,30,41,24,8,4,15,19
10,10,2025-11-08,@,LAC,W,114,103,,40,83,.482,16,38,.421,24,45,.533,.578,18,21,.857,13,29,42,30,9,2,14,19,41,77,.532,10,33,.303,31,44,.705,.597,11,18,.611,5,22,27,26,5,5,11,15
11,11,2025-11-10,,NOP,W,121,98,,39,78,.500,19,43,.442,20,35,.571,.622,24,31,.774,10,33,43,29,12,7,18,18,34,83,.410,10,32,.313,24,51,.471,.470,20,26,.769,15,25,40,18,12,3,20,23
12,12,2025-11-12,@,DAL,W,123,114,,44,95,.463,14,35,.400,30,60,.500,.537,21,26,.808,13,33,46,31,13,3,12,20,43,86,.500,17,47,.362,26,39,.667,.599,11,17,.647,8,37,45,32,10,10,21,23
13,13,2025-11-13,,IND,W,133,98,,49,85,.576,13,35,.371,36,50,.720,.653,22,27,.815,10,33,43,19,6,6,11,24,32,88,.364,7,25,.280,25,63,.397,.403,27,29,.931,16,25,41,20,4,3,12,22
14,14,2025-11-16,,ATL,L,122,124,,47,97,.485,10,30,.333,37,67,.552,.536,18,19,.947,16,31,47,23,9,3,17,24,45,85,.529,14,43,.326,31,42,.738,.612,20,24,.833,9,25,34,35,11,3,17,19
15,15,2025-11-18,@,POR,W,127,110,,47,98,.480,14,40,.350,33,58,.569,.551,19,22,.864,18,28,46,24,19,4,18,27,42,97,.433,10,41,.244,32,56,.571,.485,16,20,.800,15,28,43,24,7,6,20,12
16,16,2025-11-21,,MIN,W,114,113,,39,81,.481,14,31,.452,25,50,.500,.568,22,29,.759,15,30,45,25,13,2,28,29,39,86,.453,12,37,.324,27,49,.551,.523,23,33,.697,14,23,37,18,17,4,22,23
17,17,2025-11-23,,SAS,W,111,102,,43,97,.443,14,38,.368,29,59,.492,.515,11,16,.688,11,32,43,27,10,6,6,23,32,77,.416,10,34,.294,22,43,.512,.481,28,34,.824,14,36,50,17,4,4,19,17
18,18,2025-11-24,,HOU,L,92,114,,33,80,.413,13,37,.351,20,43,.465,.494,13,19,.684,13,26,39,11,9,4,21,20,43,88,.489,13,31,.419,30,57,.526,.563,15,17,.882,12,29,41,26,13,4,16,20
19,19,2025-11-26,@,SAC,W,112,100,,42,91,.462,14,42,.333,28,49,.571,.538,14,20,.700,17,30,47,25,14,5,17,14,40,86,.465,12,34,.353,28,52,.538,.535,8,10,.800,9,32,41,20,9,6,19,17
20,20,2025-11-28,@,OKC,L,119,123,,42,92,.457,15,44,.341,27,48,.563,.538,20,24,.833,13,38,51,20,7,4,20,24,42,87,.483,15,32,.469,27,55,.491,.569,24,28,.857,3,34,37,27,9,3,10,22
21,21,2025-11-29,,DEN,L,112,130,,39,88,.443,14,42,.333,25,46,.543,.523,20,26,.769,11,21,32,23,11,2,7,23,44,76,.579,22,38,.579,22,38,.579,.724,20,21,.952,10,30,40,36,2,5,17,20
22,22,2025-12-01,@,LAL,W,125,108,,52,92,.565,17,39,.436,35,53,.660,.658,4,8,.500,4,29,33,35,16,1,11,16,41,80,.513,13,33,.394,28,47,.596,.594,13,15,.867,5,34,39,18,1,0,22,13
23,23,2025-12-05,@,HOU,L,98,117,,39,100,.390,5,36,.139,34,64,.531,.415,15,19,.789,15,19,34,14,12,2,13,22,45,76,.592,10,18,.556,35,58,.603,.658,17,19,.895,6,34,40,25,9,8,23,20
24,24,2025-12-08,@,MIN,W,108,105,,41,90,.456,12,33,.364,29,57,.509,.522,14,20,.700,14,29,43,26,8,2,9,20,39,83,.470,11,42,.262,28,41,.683,.536,16,23,.696,13,33,46,26,5,1,15,20
25,25,2025-12-10,@,OKC,L,89,138,,33,84,.393,10,31,.323,23,53,.434,.452,13,16,.813,7,30,37,24,12,2,21,13,52,88,.591,22,40,.550,30,48,.625,.716,12,13,.923,6,37,43,32,14,7,15,14
26,26,2025-12-14,,LAL,L,114,116,,40,82,.488,13,37,.351,27,45,.600,.567,21,25,.840,10,27,37,29,11,5,20,28,38,88,.432,7,37,.189,31,51,.608,.472,33,43,.767,24,30,54,20,13,8,22,23
27,27,2025-12-18,,GSW,W,99,98,,36,88,.409,10,35,.286,26,53,.491,.466,17,22,.773,12,37,49,19,16,6,15,17,35,89,.393,12,42,.286,23,47,.489,.461,16,18,.889,15,39,54,27,9,3,20,20
28,28,2025-12-20,@,GSW,L,116,119,,42,88,.477,12,35,.343,30,53,.566,.545,20,24,.833,9,25,34,23,12,6,14,24,42,92,.457,17,49,.347,25,43,.581,.549,18,24,.750,17,32,49,29,9,7,21,22
29,29,2025-12-23,,LAL,W,132,108,,50,85,.588,14,34,.412,36,51,.706,.671,18,20,.900,12,26,38,35,10,6,14,24,39,81,.481,12,32,.375,27,49,.551,.556,18,29,.621,14,24,38,22,7,4,17,22
30,30,2025-12-26,@,NOP,W,115,108,,44,91,.484,8,40,.200,36,51,.706,.527,19,25,.760,16,36,52,26,9,4,18,27,39,88,.443,5,25,.200,34,63,.540,.472,25,42,.595,12,26,38,22,10,2,12,22
31,31,2025-12-27,@,NOP,W,123,114,,45,98,.459,20,44,.455,25,54,.463,.561,13,19,.684,22,33,55,26,7,3,17,23,38,87,.437,9,27,.333,29,60,.483,.489,29,33,.879,14,29,43,16,11,7,13,22
32,32,2025-12-29,@,WAS,W,115,101,,41,101,.406,17,40,.425,24,61,.393,.490,16,18,.889,20,31,51,25,8,3,10,14,36,78,.462,13,32,.406,23,46,.500,.545,16,21,.762,9,34,43,21,6,8,16,20
33,33,2025-12-31,@,CLE,L,113,129,,42,105,.400,15,36,.417,27,69,.391,.471,14,16,.875,19,33,52,23,8,5,14,20,48,96,.500,15,38,.395,33,58,.569,.578,18,22,.818,14,40,54,31,7,9,15,17
34,34,2026-01-02,,SAC,W,129,102,,49,87,.563,8,31,.258,41,56,.732,.609,23,28,.821,7,35,42,23,16,9,12,23,35,85,.412,10,28,.357,25,57,.439,.471,22,32,.688,14,28,42,20,6,3,21,23
35,35,2026-01-04,,OKC,W,108,105,,35,79,.443,17,43,.395,18,36,.500,.551,21,29,.724,12,37,49,21,2,1,16,23,39,82,.476,10,32,.313,29,50,.580,.537,17,19,.895,2,27,29,20,2,4,9,20
36,36,2026-01-05,@,HOU,L,97,100,,37,88,.420,14,41,.341,23,47,.489,.500,9,12,.750,11,29,40,23,11,0,13,14,38,87,.437,9,37,.243,29,50,.580,.489,15,21,.714,15,36,51,20,5,1,16,11
37,37,2026-01-07,@,MEM,W,117,98,,45,97,.464,22,56,.393,23,41,.561,.577,5,8,.625,15,36,51,31,11,5,18,17,39,92,.424,12,37,.324,27,55,.491,.489,8,14,.571,15,32,47,23,9,2,18,11
38,38,2026-01-09,,NYK,W,112,107,,38,85,.447,16,42,.381,22,43,.512,.541,20,23,.870,9,28,37,23,4,4,10,21,37,82,.451,16,41,.390,21,41,.512,.549,17,21,.810,16,34,50,22,3,1,18,23
39,39,2026-01-11,,WAS,W,112,93,,40,95,.421,17,52,.327,23,43,.535,.511,15,19,.789,15,36,51,32,11,7,16,19,34,86,.395,7,30,.233,27,56,.482,.436,18,18,1.000,12,37,49,22,9,7,23,16
