,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,,MIN,L,114,118,,36,90,.400,13,42,.310,23,48,.479,.472,29,35,.829,7,32,39,25,10,3,16,17,42,86,.488,15,30,.500,27,56,.482,.576,19,24,.792,10,35,45,21,10,10,19,29
2,2,2025-10-24,,GSW,W,139,119,,50,93,.538,16,34,.471,34,59,.576,.624,23,25,.920,10,28,38,30,13,5,19,28,35,80,.438,16,38,.421,19,42,.452,.538,33,39,.846,12,29,41,24,12,3,25,22
3,3,2025-10-26,@,LAC,L,107,114,,34,92,.370,11,41,.268,23,51,.451,.429,28,34,.824,18,24,42,24,12,2,16,21,44,80,.550,12,31,.387,32,49,.653,.625,14,15,.933,7,39,46,26,11,8,24,27
4,4,2025-10-27,@,LAL,W,122,108,,47,103,.456,14,43,.326,33,60,.550,.524,14,15,.933,19,30,49,24,12,9,19,17,40,86,.465,7,27,.259,33,59,.559,.506,21,26,.808,12,30,42,23,11,5,25,19
5,5,2025-10-29,@,UTA,W,136,134,,46,96,.479,21,55,.382,25,41,.610,.589,23,27,.852,14,25,39,34,14,5,18,33,41,84,.488,11,35,.314,30,49,.612,.554,41,49,.837,16,30,46,30,10,7,22,24
6,6,2025-10-31,,DEN,W,109,107,,38,91,.418,11,39,.282,27,52,.519,.478,22,31,.710,16,27,43,26,11,5,13,24,38,79,.481,6,25,.240,32,54,.593,.519,25,31,.806,10,36,46,19,6,7,19,21
7,7,2025-11-03,,LAL,L,115,123,,42,85,.494,9,40,.225,33,45,.733,.547,22,30,.733,15,23,38,23,13,3,18,18,50,85,.588,9,23,.391,41,62,.661,.641,14,16,.875,8,26,34,29,11,5,17,22
8,8,2025-11-05,,OKC,W,121,119,,36,88,.409,19,43,.442,17,45,.378,.517,30,32,.938,11,38,49,24,8,6,18,24,38,91,.418,15,38,.395,23,53,.434,.500,28,31,.903,13,37,50,24,9,5,15,27
9,9,2025-11-08,@,MIA,L,131,136,,49,109,.450,14,51,.275,35,58,.603,.514,19,23,.826,22,35,57,29,8,4,20,32,49,96,.510,10,35,.286,39,61,.639,.563,28,36,.778,12,35,47,37,17,5,15,23
10,10,2025-11-10,@,ORL,L,112,115,,40,90,.444,13,36,.361,27,54,.500,.517,19,26,.731,11,27,38,22,5,3,10,24,39,87,.448,8,30,.267,31,57,.544,.494,29,34,.853,11,39,50,26,6,7,13,23
11,11,2025-11-12,@,NOP,W,125,117,,48,83,.578,13,37,.351,35,46,.761,.657,16,17,.941,9,30,39,26,5,5,13,22,43,91,.473,13,39,.333,30,52,.577,.544,18,21,.857,15,20,35,28,6,2,10,20
12,12,2025-11-14,@,HOU,L,116,140,,42,89,.472,13,36,.361,29,53,.547,.545,19,27,.704,16,28,44,18,4,2,20,18,53,106,.500,17,45,.378,36,61,.590,.580,17,20,.850,20,29,49,26,16,6,6,22
13,13,2025-11-16,@,DAL,L,133,138,OT,46,113,.407,14,47,.298,32,66,.485,.469,27,32,.844,22,31,53,26,8,5,12,32,48,95,.505,15,34,.441,33,61,.541,.584,27,40,.675,13,34,47,33,7,9,15,22
14,14,2025-11-18,,PHO,L,110,127,,42,97,.433,10,41,.244,32,56,.571,.485,16,20,.800,15,28,43,24,7,6,20,12,47,98,.480,14,40,.350,33,58,.569,.551,19,22,.864,18,28,46,24,19,4,18,27
15,15,2025-11-19,,CHI,L,121,122,,44,107,.411,12,42,.286,32,65,.492,.467,21,32,.656,26,38,64,27,10,5,16,16,46,96,.479,21,49,.429,25,47,.532,.589,9,14,.643,7,31,38,36,10,9,16,26
