,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,@,PHO,L,116,120,,47,94,.500,9,24,.375,38,70,.543,.548,13,23,.565,9,28,37,24,10,10,13,22,45,95,.474,10,34,.294,35,61,.574,.526,20,28,.714,18,33,51,23,7,7,16,25
2,2,2025-10-24,,UTA,W,105,104,,40,83,.482,14,32,.438,26,51,.510,.566,11,15,.733,5,28,33,23,10,4,13,18,38,86,.442,13,41,.317,25,45,.556,.517,15,17,.882,11,39,50,25,6,1,20,16
3,3,2025-10-26,,LAL,L,120,127,,45,101,.446,18,43,.419,27,58,.466,.535,12,18,.667,13,27,40,27,13,4,16,26,39,80,.488,8,25,.320,31,55,.564,.538,41,46,.891,10,37,47,26,9,3,17,17
4,4,2025-10-28,@,OKC,L,101,107,,36,85,.424,10,29,.345,26,56,.464,.482,19,21,.905,9,37,46,21,11,3,17,16,42,92,.457,14,44,.318,28,48,.583,.533,9,10,.900,10,34,44,26,11,10,15,19
5,5,2025-10-29,@,CHI,L,113,126,,43,82,.524,7,28,.250,36,54,.667,.567,20,26,.769,5,26,31,28,10,2,10,17,49,91,.538,14,32,.438,35,59,.593,.615,14,18,.778,12,34,46,34,6,2,16,20
6,6,2025-11-01,@,MIL,W,135,133,,45,87,.517,10,28,.357,35,59,.593,.575,35,40,.875,11,27,38,30,8,1,10,21,49,82,.598,15,32,.469,34,50,.680,.689,20,31,.645,9,28,37,30,5,2,11,26
7,7,2025-11-03,@,DEN,L,124,130,,47,90,.522,9,27,.333,38,63,.603,.572,21,25,.840,8,39,47,27,5,1,15,24,50,97,.515,12,38,.316,38,59,.644,.577,18,24,.750,8,32,40,33,9,5,8,18
8,8,2025-11-05,,GSW,W,121,116,,41,83,.494,11,23,.478,30,60,.500,.560,28,33,.848,8,39,47,27,7,5,16,18,40,89,.449,17,43,.395,23,46,.500,.545,19,23,.826,10,34,44,28,10,6,19,26
9,9,2025-11-07,,OKC,L,101,132,,38,92,.413,15,40,.375,23,52,.442,.495,10,15,.667,8,30,38,27,6,3,17,20,49,91,.538,13,35,.371,36,56,.643,.610,21,24,.875,8,44,52,27,9,8,11,16
10,10,2025-11-09,,MIN,L,117,144,,40,90,.444,13,29,.448,27,61,.443,.517,24,31,.774,12,31,43,25,8,3,18,20,52,97,.536,18,46,.391,34,51,.667,.629,22,24,.917,9,35,44,28,11,9,11,23
11,11,2025-11-11,,DEN,L,108,122,,41,85,.482,10,33,.303,31,52,.596,.541,16,23,.696,9,26,35,31,4,3,10,23,44,86,.512,13,33,.394,31,53,.585,.587,21,27,.778,15,33,48,24,6,2,13,19
12,12,2025-11-12,,ATL,L,100,133,,36,92,.391,14,39,.359,22,53,.415,.467,14,18,.778,9,26,35,22,7,1,20,19,49,85,.576,17,40,.425,32,45,.711,.676,18,22,.818,7,38,45,42,14,6,21,20
13,13,2025-11-14,@,MIN,L,110,124,,41,93,.441,12,33,.364,29,60,.483,.505,16,27,.593,13,31,44,32,12,4,15,26,42,86,.488,12,37,.324,30,49,.612,.558,28,40,.700,13,38,51,28,10,3,18,20
14,14,2025-11-16,@,SAS,L,110,123,,41,87,.471,12,33,.364,29,54,.537,.540,16,22,.727,5,32,37,25,10,3,12,17,47,87,.540,14,38,.368,33,49,.673,.621,15,18,.833,9,37,46,38,7,4,15,17
15,15,2025-11-19,@,OKC,L,99,113,,38,86,.442,8,28,.286,30,58,.517,.488,15,23,.652,12,33,45,21,12,0,18,22,41,88,.466,10,38,.263,31,50,.620,.523,21,23,.913,9,36,45,22,9,10,16,21
16,16,2025-11-20,@,MEM,L,96,137,,37,80,.463,11,33,.333,26,47,.553,.531,11,15,.733,4,28,32,24,5,5,17,22,50,99,.505,17,54,.315,33,45,.733,.591,20,26,.769,11,38,49,42,11,3,8,11
17,17,2025-11-22,@,DEN,W,128,123,,48,91,.527,10,30,.333,38,61,.623,.582,22,23,.957,9,28,37,32,8,3,7,20,45,92,.489,14,37,.378,31,55,.564,.565,19,23,.826,11,27,38,28,1,3,13,21
18,18,2025-11-24,,MIN,W,117,112,OT,42,97,.433,7,26,.269,35,71,.493,.469,26,28,.929,11,38,49,27,9,3,12,21,40,97,.412,13,42,.310,27,55,.491,.479,19,22,.864,15,40,55,21,9,4,16,28
19,19,2025-11-26,,PHO,L,100,112,,40,86,.465,12,34,.353,28,52,.538,.535,8,10,.800,9,32,41,20,9,6,19,17,42,91,.462,14,42,.333,28,49,.571,.538,14,20,.700,17,30,47,25,14,5,17,14
20,20,2025-11-28,@,UTA,L,119,128,,43,96,.448,10,29,.345,33,67,.493,.500,23,32,.719,12,32,44,27,9,5,9,22,42,87,.483,13,40,.325,29,47,.617,.557,31,40,.775,13,36,49,32,7,5,13,22
21,21,2025-11-30,,MEM,L,107,115,,43,94,.457,8,27,.296,35,67,.522,.500,13,22,.591,10,24,34,25,14,7,8,22,45,86,.523,9,24,.375,36,62,.581,.576,16,22,.727,13,39,52,28,4,7,23,22
22,22,2025-12-03,@,HOU,L,95,121,,40,97,.412,10,34,.294,30,63,.476,.464,5,10,.500,12,20,32,21,10,7,13,17,48,91,.527,5,16,.313,43,75,.573,.555,20,24,.833,17,45,62,24,10,8,18,10
23,23,2025-12-06,@,MIA,W,127,111,,49,93,.527,14,33,.424,35,60,.583,.602,15,21,.714,8,37,45,24,11,5,11,19,41,85,.482,9,31,.290,32,54,.593,.535,20,32,.625,11,30,41,23,5,4,13,17
24,24,2025-12-08,@,IND,L,105,116,,41,88,.466,7,22,.318,34,66,.515,.506,16,23,.696,15,36,51,28,6,4,19,18,38,87,.437,14,35,.400,24,52,.462,.517,26,28,.929,10,31,41,25,14,7,14,15
25,25,2025-12-11,,DEN,L,105,136,,39,87,.448,11,38,.289,28,49,.571,.511,16,23,.696,10,28,38,21,9,4,16,20,52,88,.591,12,29,.414,40,59,.678,.659,20,29,.690,10,36,46,35,9,0,12,18
26,26,2025-12-14,@,MIN,L,103,117,,37,81,.457,10,23,.435,27,58,.466,.519,19,25,.760,4,32,36,21,5,9,15,21,43,94,.457,12,37,.324,31,57,.544,.521,19,27,.704,15,33,48,25,12,5,12,26
27,27,2025-12-18,@,POR,L,133,134,OT,48,94,.511,6,19,.316,42,75,.560,.543,31,34,.912,11,31,42,29,13,7,18,29,49,103,.476,15,45,.333,34,58,.586,.549,21,33,.636,17,27,44,30,6,6,21,27
28,28,2025-12-20,,POR,L,93,98,,33,87,.379,6,31,.194,27,56,.482,.414,21,31,.677,18,32,50,18,14,6,18,19,35,81,.432,11,32,.344,24,49,.490,.500,17,25,.680,10,36,46,18,12,3,20,20
29,29,2025-12-21,,HOU,W,125,124,OT,44,95,.463,12,32,.375,32,63,.508,.526,25,36,.694,19,36,55,29,8,5,12,21,45,94,.479,16,38,.421,29,56,.518,.564,18,24,.750,13,34,47,31,9,2,15,20
30,30,2025-12-23,,DET,L,127,136,,42,92,.457,11,33,.333,31,59,.525,.516,32,37,.865,19,23,42,26,12,5,13,25,51,95,.537,14,32,.438,37,63,.587,.611,20,28,.714,16,26,42,38,9,8,15,23
31,31,2025-12-27,,DAL,W,113,107,,45,104,.433,17,38,.447,28,66,.424,.514,6,8,.750,14,36,50,32,16,7,11,15,40,87,.460,13,27,.481,27,60,.450,.534,14,20,.700,11,40,51,23,6,8,21,11
32,32,2025-12-28,@,LAL,L,101,125,,40,83,.482,8,29,.276,32,54,.593,.530,13,19,.684,10,29,39,24,11,3,19,20,47,89,.528,15,38,.395,32,51,.627,.612,16,18,.889,8,33,41,25,14,4,16,19
33,33,2025-12-30,@,LAC,L,90,131,,34,83,.410,9,27,.333,25,56,.446,.464,13,14,.929,11,28,39,18,1,8,19,20,46,90,.511,14,38,.368,32,52,.615,.589,25,32,.781,11,31,42,29,13,9,4,14
34,34,2026-01-01,,BOS,L,106,120,,40,85,.471,12,36,.333,28,49,.571,.541,14,15,.933,8,24,32,29,7,2,9,17,44,87,.506,17,41,.415,27,46,.587,.603,15,18,.833,5,35,40,25,8,6,13,12
