,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,@,ATL,W,138,118,,54,95,.568,6,25,.240,48,70,.686,.600,24,29,.828,12,42,54,36,10,4,19,31,38,90,.422,10,35,.286,28,55,.509,.478,32,37,.865,8,26,34,25,7,6,16,24
2,2,2025-10-24,,MIL,L,116,122,,42,85,.494,11,27,.407,31,58,.534,.559,21,32,.656,10,31,41,25,10,4,16,21,47,90,.522,14,40,.350,33,50,.660,.600,14,25,.560,14,37,51,25,9,5,19,24
3,3,2025-10-26,@,DAL,L,129,139,,49,100,.490,13,33,.394,36,67,.537,.555,18,24,.750,14,29,43,33,10,1,16,28,50,85,.588,10,26,.385,40,59,.678,.647,29,39,.744,12,37,49,32,12,7,20,26
4,4,2025-10-27,@,SAS,L,103,121,,37,79,.468,12,32,.375,25,47,.532,.544,17,23,.739,1,19,20,29,9,4,15,23,39,67,.582,13,27,.481,26,40,.650,.679,30,36,.833,7,37,44,29,11,3,21,17
5,5,2025-10-29,,HOU,L,121,139,,43,85,.506,21,40,.525,22,45,.489,.629,14,19,.737,4,18,22,29,6,2,10,26,50,87,.575,13,30,.433,37,57,.649,.649,26,34,.765,17,36,53,31,9,8,17,16
6,6,2025-10-31,@,CLE,W,112,101,,40,82,.488,13,30,.433,27,52,.519,.567,19,24,.792,10,38,48,27,9,4,18,18,36,90,.400,14,46,.304,22,44,.500,.478,15,23,.652,15,27,42,24,10,10,14,15
7,7,2025-11-02,,MEM,W,117,104,,45,89,.506,11,37,.297,34,52,.654,.567,16,20,.800,15,34,49,32,5,7,16,23,38,87,.437,11,35,.314,27,52,.519,.500,17,20,.850,11,30,41,24,6,0,13,18
8,8,2025-11-04,,MIL,W,128,100,,44,91,.484,17,38,.447,27,53,.509,.577,23,29,.793,10,40,50,33,8,6,10,23,37,86,.430,11,38,.289,26,48,.542,.494,15,21,.714,9,32,41,26,5,4,15,26
9,9,2025-11-07,@,ATL,W,109,97,,37,91,.407,12,38,.316,25,53,.472,.473,23,25,.920,13,35,48,23,11,6,13,21,33,96,.344,9,38,.237,24,58,.414,.391,22,23,.957,19,35,54,24,8,7,19,19
10,10,2025-11-08,@,PHI,L,120,130,,41,90,.456,16,38,.421,25,52,.481,.544,22,28,.786,10,28,38,29,7,5,11,25,49,96,.510,10,35,.286,39,61,.639,.563,22,28,.786,15,39,54,31,4,9,14,22
11,11,2025-11-11,@,BRK,W,119,109,,45,91,.495,9,35,.257,36,56,.643,.544,20,25,.800,13,37,50,31,5,4,9,23,32,81,.395,14,41,.341,18,40,.450,.481,31,32,.969,7,29,36,24,7,5,13,20
12,12,2025-11-13,@,CLE,W,126,113,,49,88,.557,12,31,.387,37,57,.649,.625,16,17,.941,11,32,43,37,6,7,14,20,41,91,.451,10,41,.244,31,50,.620,.505,21,26,.808,14,23,37,26,7,6,12,20
13,13,2025-11-15,@,IND,W,129,111,,48,87,.552,7,30,.233,41,57,.719,.592,26,42,.619,8,38,46,29,13,3,14,20,37,87,.425,15,43,.349,22,44,.500,.511,22,27,.815,7,33,40,22,5,3,16,25
14,14,2025-11-17,,CHO,W,110,108,,44,88,.500,10,25,.400,34,63,.540,.557,12,16,.750,8,35,43,25,8,7,17,21,37,87,.425,10,40,.250,27,47,.574,.483,24,30,.800,14,34,48,19,11,9,16,14
15,15,2025-11-19,@,PHI,W,121,112,,45,84,.536,11,29,.379,34,55,.618,.601,20,24,.833,8,23,31,33,12,2,15,19,41,87,.471,14,35,.400,27,52,.519,.552,16,18,.889,16,25,41,24,11,6,21,20
16,16,2025-11-21,,WAS,W,140,110,,48,83,.578,14,28,.500,34,55,.618,.663,30,39,.769,13,35,48,36,13,4,15,20,39,86,.453,12,41,.293,27,45,.600,.523,20,24,.833,7,22,29,26,9,4,18,22
17,17,2025-11-23,,BRK,W,119,109,,39,84,.464,15,30,.500,24,54,.444,.554,26,29,.897,6,26,32,30,12,4,9,22,35,75,.467,12,34,.353,23,41,.561,.547,27,31,.871,10,30,40,23,5,7,19,20
18,18,2025-11-24,,CLE,W,110,99,,44,90,.489,10,36,.278,34,54,.630,.544,12,18,.667,10,41,51,28,8,1,16,14,36,87,.414,14,48,.292,22,39,.564,.494,13,13,1.000,4,33,37,27,11,4,12,13
19,19,2025-11-26,,IND,W,97,95,,35,90,.389,5,26,.192,30,64,.469,.417,22,27,.815,12,36,48,18,9,4,13,19,35,78,.449,11,33,.333,24,45,.533,.519,14,23,.609,3,40,43,20,7,7,18,22
20,20,2025-11-29,@,CHO,L,111,118,OT,44,99,.444,9,29,.310,35,70,.500,.490,14,17,.824,17,35,52,34,6,3,16,26,41,93,.441,10,39,.256,31,54,.574,.495,26,29,.897,12,27,39,24,10,5,9,19
21,21,2025-11-30,@,NYK,L,94,116,,37,88,.420,11,37,.297,26,51,.510,.483,9,17,.529,14,26,40,27,9,6,18,15,44,96,.458,16,45,.356,28,51,.549,.542,12,16,.750,25,36,61,27,9,3,18,15
22,22,2025-12-02,,POR,W,121,118,,48,90,.533,11,30,.367,37,60,.617,.594,14,21,.667,10,33,43,33,10,3,18,28,41,83,.494,15,40,.375,26,43,.605,.584,21,32,.656,9,30,39,23,7,7,15,21
23,23,2025-12-04,,LAL,L,120,123,,44,89,.494,15,37,.405,29,52,.558,.579,17,21,.810,14,27,41,39,9,8,15,20,44,88,.500,13,31,.419,31,57,.544,.574,22,26,.846,14,24,38,26,7,7,11,17
24,24,2025-12-05,,CHO,L,86,111,,34,92,.370,9,29,.310,25,63,.397,.418,9,13,.692,12,29,41,19,12,4,20,25,37,74,.500,13,36,.361,24,38,.632,.588,24,33,.727,6,41,47,26,14,6,24,20
25,25,2025-12-07,,BOS,L,113,121,,43,88,.489,9,22,.409,34,66,.515,.540,18,21,.857,11,31,42,22,5,3,13,18,44,92,.478,20,47,.426,24,45,.533,.587,13,14,.929,14,27,41,24,8,9,11,22
26,26,2025-12-09,,NYK,L,101,117,,39,90,.433,11,38,.289,28,52,.538,.494,12,18,.667,12,25,37,28,9,4,14,22,42,80,.525,16,35,.457,26,45,.578,.625,17,28,.607,14,34,48,19,9,7,14,19
27,27,2025-12-15,@,MIA,W,106,96,,42,88,.477,16,40,.400,26,48,.542,.568,6,9,.667,11,34,45,33,9,7,21,20,35,83,.422,9,31,.290,26,52,.500,.476,17,23,.739,11,34,45,20,12,7,19,14
28,28,2025-12-18,@,MIL,W,111,105,,42,84,.500,13,35,.371,29,49,.592,.577,14,21,.667,12,33,45,31,9,2,17,20,38,84,.452,15,37,.405,23,47,.489,.542,14,16,.875,9,29,38,25,10,2,16,19
29,29,2025-12-20,,BOS,L,96,112,,36,87,.414,16,47,.340,20,40,.500,.506,8,11,.727,9,28,37,30,2,7,12,18,44,95,.463,12,39,.308,32,56,.571,.526,12,15,.800,17,38,55,22,7,4,11,21
30,30,2025-12-21,@,BRK,L,81,96,,32,86,.372,10,36,.278,22,50,.440,.430,7,8,.875,9,30,39,23,6,5,15,19,35,75,.467,14,35,.400,21,40,.525,.560,12,16,.750,6,42,48,29,7,4,22,17
31,31,2025-12-23,@,MIA,W,112,91,,41,86,.477,14,38,.368,27,48,.563,.558,16,18,.889,15,35,50,29,12,5,17,19,33,82,.402,8,30,.267,25,52,.481,.451,17,20,.850,10,30,40,18,12,1,18,18
32,32,2025-12-26,@,WAS,L,117,138,,40,91,.440,12,36,.333,28,55,.509,.505,25,27,.926,8,25,33,26,10,5,11,16,54,91,.593,15,33,.455,39,58,.672,.676,15,18,.833,6,40,46,26,8,7,14,23
33,33,2025-12-28,,GSW,W,141,127,OT,56,110,.509,13,42,.310,43,68,.632,.568,16,18,.889,18,37,55,40,10,2,15,26,43,96,.448,16,44,.364,27,52,.519,.531,25,28,.893,14,28,42,25,9,9,21,20
34,34,2025-12-29,,ORL,W,107,106,,39,99,.394,8,34,.235,31,65,.477,.434,21,29,.724,21,37,58,22,6,7,6,22,37,91,.407,9,32,.281,28,59,.475,.456,23,27,.852,15,37,52,25,4,5,8,24
35,35,2025-12-31,,DEN,L,103,106,,37,100,.370,12,45,.267,25,55,.455,.430,17,21,.810,17,33,50,27,6,4,8,25,34,80,.425,10,34,.294,24,46,.522,.488,28,34,.824,9,38,47,17,5,5,11,18
36,36,2026-01-03,,ATL,W,134,117,,49,92,.533,12,31,.387,37,61,.607,.598,24,26,.923,10,38,48,28,10,8,14,20,42,91,.462,17,39,.436,25,52,.481,.555,16,19,.842,7,29,36,32,10,3,16,19
