,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,,LAC,W,129,108,,48,87,.552,17,44,.386,31,43,.721,.649,16,20,.800,13,33,46,38,11,6,13,21,39,88,.443,14,45,.311,25,43,.581,.523,16,21,.762,15,23,38,28,8,6,15,21
2,2,2025-10-24,@,SAC,L,104,105,,38,86,.442,13,41,.317,25,45,.556,.517,15,17,.882,11,39,50,25,6,1,20,16,40,83,.482,14,32,.438,26,51,.510,.566,11,15,.733,5,28,33,23,10,4,13,18
3,3,2025-10-27,,PHO,W,138,134,OT,44,108,.407,16,49,.327,28,59,.475,.481,34,36,.944,28,36,64,27,8,4,19,27,45,106,.425,20,55,.364,25,51,.490,.519,24,31,.774,18,30,48,37,13,8,14,29
4,4,2025-10-29,,POR,L,134,136,,41,84,.488,11,35,.314,30,49,.612,.554,41,49,.837,16,30,46,30,10,7,22,24,46,96,.479,21,55,.382,25,41,.610,.589,23,27,.852,14,25,39,34,14,5,18,33
5,5,2025-10-31,@,PHO,L,96,118,,30,80,.375,12,37,.324,18,43,.419,.450,24,32,.750,12,36,48,23,4,3,21,22,43,91,.473,17,48,.354,26,43,.605,.566,15,18,.833,8,36,44,30,10,6,12,25
6,6,2025-11-02,@,CHO,L,103,126,,36,88,.409,7,32,.219,29,56,.518,.449,24,29,.828,10,28,38,27,7,3,11,24,43,88,.489,18,43,.419,25,45,.556,.591,22,22,1.000,9,37,46,31,6,6,15,25
7,7,2025-11-03,@,BOS,W,105,103,,38,84,.452,9,31,.290,29,53,.547,.506,20,25,.800,15,40,55,23,4,2,19,21,37,89,.416,11,51,.216,26,38,.684,.478,18,22,.818,10,26,36,21,12,4,10,22
8,8,2025-11-05,@,DET,L,103,114,,33,86,.384,12,39,.308,21,47,.447,.453,25,29,.862,11,33,44,24,7,2,15,17,45,91,.495,11,30,.367,34,61,.557,.555,13,22,.591,13,39,52,24,5,6,13,23
9,9,2025-11-07,@,MIN,L,97,137,,35,94,.372,9,39,.231,26,55,.473,.420,18,25,.720,16,24,40,28,11,3,18,22,50,88,.568,17,36,.472,33,52,.635,.665,20,27,.741,13,39,52,32,10,10,21,23
10,10,2025-11-10,,MIN,L,113,120,,38,95,.400,17,52,.327,21,43,.488,.489,20,24,.833,16,34,50,30,5,5,15,24,42,89,.472,10,33,.303,32,56,.571,.528,26,28,.929,7,35,42,25,8,5,11,21
11,11,2025-11-11,,IND,W,152,128,,51,92,.554,19,42,.452,32,50,.640,.658,31,35,.886,13,32,45,38,3,3,15,27,46,99,.465,10,37,.270,36,62,.581,.515,26,29,.897,15,20,35,29,6,6,8,26
12,12,2025-11-13,,ATL,L,122,132,,45,92,.489,19,44,.432,26,48,.542,.592,13,21,.619,14,35,49,39,9,5,24,19,46,90,.511,24,47,.511,22,43,.512,.644,16,22,.727,9,34,43,36,18,6,18,18
13,13,2025-11-16,,CHI,W,150,147,2OT,49,111,.441,18,49,.367,31,62,.500,.523,34,41,.829,12,41,53,29,13,6,9,28,49,108,.454,19,50,.380,30,58,.517,.542,30,32,.938,12,48,60,38,7,10,17,29
14,14,2025-11-18,@,LAL,L,126,140,,48,92,.522,13,45,.289,35,47,.745,.592,17,18,.944,8,25,33,33,13,2,18,30,50,84,.595,11,32,.344,39,52,.750,.661,29,40,.725,11,30,41,31,9,1,17,21
15,15,2025-11-21,,OKC,L,112,144,,38,79,.481,16,38,.421,22,41,.537,.582,20,24,.833,12,27,39,30,10,3,28,25,51,83,.614,23,37,.622,28,46,.609,.753,19,25,.760,3,23,26,36,15,4,14,16
16,16,2025-11-23,,LAL,L,106,108,,40,94,.426,13,40,.325,27,54,.500,.495,13,18,.722,10,35,45,27,7,2,14,21,38,86,.442,10,38,.263,28,48,.583,.500,22,27,.815,5,40,45,23,7,4,14,18
17,17,2025-11-24,@,GSW,L,117,134,,47,99,.475,11,36,.306,36,63,.571,.530,12,18,.667,14,33,47,32,7,6,14,14,51,104,.490,19,52,.365,32,52,.615,.582,13,18,.722,16,34,50,34,11,5,10,14
18,18,2025-11-28,,SAC,W,128,119,,42,87,.483,13,40,.325,29,47,.617,.557,31,40,.775,13,36,49,32,7,5,13,22,43,96,.448,10,29,.345,33,67,.493,.500,23,32,.719,12,32,44,27,9,5,9,22
19,19,2025-11-30,,HOU,L,101,129,,39,88,.443,9,32,.281,30,56,.536,.494,14,15,.933,9,24,33,32,8,4,17,23,46,87,.529,11,31,.355,35,56,.625,.592,26,33,.788,15,35,50,30,14,7,16,18
20,20,2025-12-01,,HOU,W,133,125,,45,90,.500,14,35,.400,31,55,.564,.578,29,38,.763,14,36,50,33,8,4,13,31,41,93,.441,10,34,.294,31,59,.525,.495,33,41,.805,16,30,46,27,6,8,13,26
21,21,2025-12-04,@,BRK,W,123,110,,42,83,.506,14,25,.560,28,58,.483,.590,25,27,.926,9,30,39,31,7,1,13,23,35,82,.427,11,42,.262,24,40,.600,.494,29,38,.763,14,30,44,22,6,7,18,19
22,22,2025-12-05,@,NYK,L,112,146,,35,87,.402,15,42,.357,20,45,.444,.489,27,35,.771,10,27,37,23,8,1,12,18,51,91,.560,21,42,.500,30,49,.612,.676,23,26,.885,10,36,46,30,9,2,13,22
23,23,2025-12-07,,OKC,L,101,131,,40,85,.471,12,36,.333,28,49,.571,.541,9,12,.750,6,31,37,25,6,3,17,17,51,88,.580,21,42,.500,30,46,.652,.699,8,18,.444,8,36,44,32,9,3,14,20
24,24,2025-12-12,@,MEM,W,130,126,,48,104,.462,17,47,.362,31,57,.544,.543,17,25,.680,14,44,58,33,6,4,13,23,46,99,.465,19,41,.463,27,58,.466,.561,15,21,.714,9,40,49,32,4,5,10,21
25,25,2025-12-15,,DAL,W,140,133,OT,50,97,.515,13,36,.361,37,61,.607,.582,27,33,.818,8,39,47,33,8,4,13,32,48,98,.490,9,27,.333,39,71,.549,.536,28,41,.683,14,40,54,24,6,6,15,26
26,26,2025-12-18,,LAL,L,135,143,,43,83,.518,18,37,.486,25,46,.543,.627,31,47,.660,9,30,39,31,4,1,13,29,49,93,.527,13,39,.333,36,54,.667,.597,32,39,.821,13,35,48,32,7,2,7,31
27,27,2025-12-20,,ORL,L,127,128,OT,44,105,.419,15,43,.349,29,62,.468,.490,24,30,.800,18,34,52,34,7,2,12,29,47,96,.490,11,37,.297,36,59,.610,.547,23,33,.697,14,38,52,32,6,9,13,29
28,28,2025-12-22,@,DEN,L,112,135,,41,96,.427,14,41,.341,27,55,.491,.500,16,19,.842,11,38,49,30,5,1,14,19,46,92,.500,24,47,.511,22,45,.489,.630,19,25,.760,9,42,51,37,8,7,11,17
29,29,2025-12-23,,MEM,L,128,137,,40,90,.444,16,45,.356,24,45,.533,.533,32,36,.889,12,28,40,29,9,2,13,21,49,88,.557,19,45,.422,30,43,.698,.665,20,29,.690,8,33,41,41,10,8,15,23
30,30,2025-12-26,,DET,W,131,129,,44,90,.489,18,38,.474,26,52,.500,.589,25,26,.962,13,29,42,35,12,8,18,20,48,92,.522,18,37,.486,30,55,.545,.620,15,23,.652,10,31,41,38,11,10,17,23
31,31,2025-12-27,@,SAS,W,127,114,,45,83,.542,17,37,.459,28,46,.609,.645,20,26,.769,7,30,37,34,9,4,16,19,43,99,.434,10,44,.227,33,55,.600,.485,18,21,.857,15,31,46,30,6,7,12,22
32,32,2025-12-30,,BOS,L,119,129,,41,87,.471,16,42,.381,25,45,.556,.563,21,25,.840,9,31,40,31,4,3,13,17,48,94,.511,13,44,.295,35,50,.700,.580,20,23,.870,11,33,44,27,8,9,8,17
33,33,2026-01-01,@,LAC,L,101,118,,36,78,.462,6,27,.222,30,51,.588,.500,23,30,.767,7,28,35,20,7,5,18,21,40,89,.449,16,51,.314,24,38,.632,.539,22,26,.846,16,31,47,20,8,7,13,22
34,34,2026-01-03,@,GSW,L,114,123,,45,86,.523,13,35,.371,32,51,.627,.599,11,17,.647,10,27,37,32,7,2,15,20,43,87,.494,19,45,.422,24,42,.571,.603,18,24,.750,13,32,45,32,9,2,15,13
35,35,2026-01-05,@,POR,L,117,137,,45,92,.489,13,31,.419,32,61,.525,.560,14,17,.824,14,28,42,32,11,2,15,19,49,93,.527,19,48,.396,30,45,.667,.629,20,21,.952,14,31,45,32,9,4,14,16
36,36,2026-01-07,@,OKC,L,125,129,OT,49,111,.441,11,41,.268,38,70,.543,.491,16,21,.762,19,46,65,33,8,5,20,31,44,101,.436,7,38,.184,37,63,.587,.470,34,42,.810,12,39,51,26,14,11,11,21
37,37,2026-01-08,,DAL,W,116,114,,47,95,.495,13,41,.317,34,54,.630,.563,9,14,.643,10,32,42,32,11,3,9,11,44,85,.518,15,36,.417,29,49,.592,.606,11,13,.846,9,38,47,30,4,2,21,13
38,38,2026-01-10,,CHO,L,95,150,,36,88,.409,7,31,.226,29,57,.509,.449,16,21,.762,11,20,31,22,6,2,15,21,53,101,.525,24,59,.407,29,42,.690,.644,20,25,.800,21,44,65,35,10,5,13,18
39,39,2026-01-12,@,CLE,W,123,112,,40,83,.482,18,41,.439,22,42,.524,.590,25,28,.893,8,42,50,32,7,4,19,14,41,92,.446,17,41,.415,24,51,.471,.538,13,13,1.000,6,24,30,33,10,6,14,19
40,40,2026-01-14,@,CHI,L,126,128,,47,86,.547,8,28,.286,39,58,.672,.593,24,27,.889,8,28,36,30,9,2,13,20,47,92,.511,17,43,.395,30,49,.612,.603,17,21,.810,13,30,43,36,10,5,13,19
41,41,2026-01-15,@,DAL,L,122,144,,47,96,.490,10,36,.278,37,60,.617,.542,18,23,.783,12,27,39,33,9,4,17,14,55,97,.567,19,46,.413,36,51,.706,.665,15,19,.789,9,37,46,37,13,7,13,19
42,42,2026-01-17,@,DAL,L,120,138,,48,89,.539,10,31,.323,38,58,.655,.596,14,20,.700,11,30,41,30,5,3,15,27,49,91,.538,18,41,.439,31,50,.620,.637,22,36,.611,13,31,44,36,8,2,11,18
43,43,2026-01-19,@,SAS,L,110,123,,37,92,.402,13,37,.351,24,55,.436,.473,23,27,.852,15,27,42,31,10,1,14,22,44,79,.557,16,38,.421,28,41,.683,.658,19,25,.760,3,35,38,32,9,12,14,21
44,44,2026-01-20,,MIN,W,127,122,,48,87,.552,12,29,.414,36,58,.621,.621,19,26,.731,8,37,45,31,8,4,17,22,44,100,.440,14,47,.298,30,53,.566,.510,20,27,.741,15,31,46,28,12,6,11,17
45,45,2026-01-22,,SAS,L,109,126,,43,90,.478,12,30,.400,31,60,.517,.544,11,13,.846,11,33,44,31,5,3,17,16,44,87,.506,18,43,.419,26,44,.591,.609,20,24,.833,7,34,41,30,8,11,11,13
46,46,2026-01-24,,MIA,L,116,147,,44,92,.478,7,25,.280,37,67,.552,.516,21,28,.750,7,27,34,36,9,10,14,26,47,108,.435,19,47,.404,28,61,.459,.523,34,42,.810,26,38,64,35,10,6,14,21
47,47,2026-01-27,,LAC,L,103,115,,37,82,.451,12,33,.364,25,49,.510,.524,17,21,.810,10,30,40,28,6,3,17,17,41,88,.466,18,46,.391,23,42,.548,.568,15,21,.714,12,27,39,27,10,3,11,19
48,48,2026-01-28,,GSW,L,124,140,,44,90,.489,15,38,.395,29,52,.558,.572,21,24,.875,10,27,37,38,16,3,19,22,46,86,.535,23,54,.426,23,32,.719,.669,25,30,.833,12,30,42,39,15,8,20,17
49,49,2026-01-30,,BRK,L,99,109,,39,78,.500,10,29,.345,29,49,.592,.564,11,19,.579,6,27,33,26,6,4,11,23,39,82,.476,14,40,.350,25,42,.595,.561,17,28,.607,11,36,47,27,6,5,12,20
50,50,2026-02-01,@,TOR,L,100,107,,32,90,.356,8,36,.222,24,54,.444,.400,28,34,.824,18,38,56,20,10,6,24,21,35,84,.417,12,35,.343,23,49,.469,.488,25,30,.833,13,29,42,22,11,8,19,23
51,51,2026-02-03,@,IND,W,131,122,,50,88,.568,13,29,.448,37,59,.627,.642,18,26,.692,6,32,38,38,13,4,10,17,45,84,.536,14,39,.359,31,45,.689,.619,18,27,.667,7,31,38,33,6,2,15,18
52,52,2026-02-05,@,ATL,L,119,121,,47,101,.465,12,30,.400,35,71,.493,.525,13,20,.650,18,31,49,19,7,4,11,24,48,98,.490,8,35,.229,40,63,.635,.531,17,23,.739,19,31,50,34,3,10,10,18
53,53,2026-02-07,@,ORL,L,117,120,,44,92,.478,10,31,.323,34,61,.557,.533,19,23,.826,12,42,54,30,11,4,24,25,36,84,.429,13,41,.317,23,43,.535,.506,35,43,.814,3,35,38,26,15,7,14,17
54,54,2026-02-09,@,MIA,W,115,111,,39,92,.424,10,36,.278,29,56,.518,.478,27,31,.871,15,43,58,29,8,2,12,25,33,79,.418,15,45,.333,18,34,.529,.513,30,44,.682,10,33,43,24,6,3,14,22
55,55,2026-02-11,,SAC,W,121,93,,47,86,.547,15,37,.405,32,49,.653,.634,12,13,.923,9,43,52,34,9,3,18,21,31,90,.344,7,33,.212,24,57,.421,.383,24,29,.828,15,27,42,24,10,3,13,15
56,56,2026-02-12,,POR,L,119,135,,42,87,.483,14,38,.368,28,49,.571,.563,21,29,.724,12,26,38,28,15,3,19,27,46,90,.511,18,46,.391,28,44,.636,.611,25,33,.758,19,33,52,26,7,7,21,23
57,57,2026-02-20,@,MEM,L,114,123,,46,93,.495,13,34,.382,33,59,.559,.565,9,16,.563,12,37,49,28,11,6,24,24,45,92,.489,12,33,.364,33,59,.559,.554,21,33,.636,11,34,45,29,15,6,17,16
58,58,2026-02-23,@,HOU,L,105,125,,36,98,.367,8,44,.182,28,54,.519,.408,25,30,.833,13,23,36,23,17,3,12,10,49,86,.570,18,40,.450,31,46,.674,.674,9,11,.818,10,43,53,34,10,8,27,20
59,59,2026-02-26,,NOP,L,118,129,,45,90,.500,12,37,.324,33,53,.623,.567,16,25,.640,15,22,37,28,14,6,18,21,46,88,.523,13,34,.382,33,54,.611,.597,24,27,.889,13,27,40,37,13,8,18,22
60,60,2026-02-28,,NOP,L,105,115,,33,96,.344,12,43,.279,21,53,.396,.406,27,33,.818,13,27,40,24,10,5,7,20,39,85,.459,15,44,.341,24,41,.585,.547,22,29,.759,12,46,58,32,5,11,19,23
61,61,2026-03-02,,DEN,L,125,128,,44,86,.512,15,39,.385,29,47,.617,.599,22,26,.846,8,25,33,24,11,3,9,28,40,74,.541,16,39,.410,24,35,.686,.649,32,35,.914,8,30,38,25,4,2,15,20
62,62,2026-03-04,@,PHI,L,102,106,,36,88,.409,12,39,.308,24,49,.490,.477,18,19,.947,13,29,42,22,7,6,15,24,40,88,.455,9,35,.257,31,53,.585,.506,17,21,.810,12,31,43,24,6,7,15,17
63,63,2026-03-05,@,WAS,W,122,112,,47,92,.511,15,35,.429,32,57,.561,.592,13,18,.722,17,28,45,31,12,4,12,22,36,77,.468,18,42,.429,18,35,.514,.584,22,32,.688,15,28,43,22,8,1,19,20
64,64,2026-03-07,@,MIL,L,99,113,,31,90,.344,12,49,.245,19,41,.463,.411,25,29,.862,13,40,53,23,7,3,12,19,41,85,.482,15,44,.341,26,41,.634,.571,16,28,.571,7,41,48,33,7,5,11,20
65,65,2026-03-09,,GSW,W,119,116,,40,83,.482,12,34,.353,28,49,.571,.554,27,29,.931,13,37,50,29,8,4,17,17,43,99,.434,16,52,.308,27,47,.574,.515,14,21,.667,19,27,46,33,11,2,10,20
66,66,2026-03-11,,NYK,L,117,134,,42,87,.483,18,36,.500,24,51,.471,.586,15,19,.789,14,24,38,30,7,4,15,20,48,92,.522,17,40,.425,31,52,.596,.614,21,22,.955,15,30,45,37,10,3,12,16
67,67,2026-03-13,@,POR,L,114,124,,42,92,.457,13,30,.433,29,62,.468,.527,17,22,.773,10,26,36,28,16,3,18,17,46,89,.517,17,46,.370,29,43,.674,.612,15,16,.938,14,35,49,34,16,12,24,19
68,68,2026-03-15,@,SAC,L,111,116,,41,86,.477,12,36,.333,29,50,.580,.547,17,25,.680,10,30,40,22,12,5,15,16,41,85,.482,11,36,.306,30,49,.612,.547,23,28,.821,12,38,50,28,9,3,18,19
69,69,2026-03-18,@,MIN,L,111,147,,40,93,.430,13,39,.333,27,54,.500,.500,18,26,.692,17,29,46,26,10,5,24,23,52,96,.542,18,39,.462,34,57,.596,.635,25,30,.833,12,34,46,39,15,5,17,23
70,70,2026-03-19,,MIL,W,128,96,,48,89,.539,18,48,.375,30,41,.732,.640,14,20,.700,12,35,47,34,10,2,17,18,32,78,.410,15,44,.341,17,34,.500,.506,17,23,.739,8,27,35,20,9,2,20,18
71,71,2026-03-21,,PHI,L,116,126,,39,96,.406,9,40,.225,30,56,.536,.453,29,31,.935,11,28,39,29,8,8,8,25,46,92,.500,6,27,.222,40,65,.615,.533,28,32,.875,16,40,56,27,4,8,16,26
72,72,2026-03-23,,TOR,L,127,143,,39,83,.470,13,36,.361,26,47,.553,.548,36,43,.837,9,30,39,25,9,6,18,19,54,88,.614,20,37,.541,34,51,.667,.727,15,28,.536,6,29,35,49,12,10,17,30
73,73,2026-03-25,,WAS,L,110,133,,45,96,.469,7,29,.241,38,67,.567,.505,13,25,.520,11,29,40,34,11,8,15,17,52,94,.553,13,32,.406,39,62,.629,.622,16,24,.667,13,43,56,27,12,4,19,26
74,74,2026-03-27,@,DEN,L,129,135,,53,95,.558,9,33,.273,44,62,.710,.605,14,19,.737,9,34,43,34,10,4,10,24,45,95,.474,19,48,.396,26,47,.553,.574,26,32,.813,15,35,50,34,5,4,15,17
75,75,2026-03-28,@,PHO,L,109,134,,43,92,.467,10,23,.435,33,69,.478,.522,13,19,.684,11,31,42,30,8,4,14,18,52,104,.500,17,53,.321,35,51,.686,.582,13,21,.619,21,39,60,29,8,6,13,17
76,76,2026-03-30,,CLE,L,113,122,,42,88,.477,15,29,.517,27,59,.458,.563,14,20,.700,11,29,40,32,9,3,15,23,47,90,.522,6,32,.188,41,58,.707,.556,22,27,.815,11,38,49,33,9,7,12,17
77,77,2026-04-01,,DEN,L,117,130,,44,95,.463,12,37,.324,32,58,.552,.526,17,25,.680,12,32,44,32,7,4,12,22,44,91,.484,16,39,.410,28,52,.538,.571,26,31,.839,12,41,53,30,9,4,14,18
78,78,2026-04-03,@,HOU,L,106,140,,43,96,.448,5,27,.185,38,69,.551,.474,15,22,.682,17,28,45,22,7,4,13,21,51,92,.554,15,32,.469,36,60,.600,.636,23,30,.767,10,36,46,30,8,5,11,18
79,79,2026-04-05,@,OKC,L,111,146,,43,100,.430,14,39,.359,29,61,.475,.500,11,15,.733,14,29,43,29,11,3,16,13,54,92,.587,24,45,.533,30,47,.638,.717,14,16,.875,8,38,46,40,8,8,16,13
80,80,2026-04-07,@,NOP,L,137,156,,53,104,.510,10,32,.313,43,72,.597,.558,21,24,.875,10,31,41,38,12,1,16,18,61,106,.575,14,34,.412,47,72,.653,.642,20,23,.870,10,38,48,32,15,5,17,18
81,81,2026-04-10,,MEM,W,147,101,,62,110,.564,15,35,.429,47,75,.627,.632,8,17,.471,12,52,64,43,16,5,16,9,41,109,.376,11,52,.212,30,57,.526,.427,8,9,.889,11,36,47,27,10,2,20,15
82,82,2026-04-12,@,LAL,L,107,131,,41,94,.436,7,34,.206,34,60,.567,.473,18,27,.667,17,25,42,25,13,4,16,14,51,93,.548,15,34,.441,36,59,.610,.629,14,17,.824,11,38,49,37,12,6,17,20
,,,,,22-60,9642,10333,,3489,7469,.467,1036,3006,.345,2453,4463,.550,.536,1628,2071,.786,984,2609,3593,2429,729,309,1272,1733,3692,7478,.494,1255,3372,.372,2437,4106,.594,.578,1694,2181,.777,971,2778,3749,2519,761,477,1197,1668
