,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
1,1,2025-10-08,@,WSH,W,3,1,,22,10,1,2,0,36,4,0,5,0,34,34,50.0,47,50,48.5,37,34,52.1,53.1,103.1
2,2,2025-10-09,,CHI,W,4,3,OT,33,10,1,5,0,24,14,0,3,0,38,27,58.5,40,43,48.2,33,30,52.4,28.1,95.5
3,3,2025-10-11,,BUF,W,3,1,,31,8,0,4,0,22,8,0,4,0,30,26,53.6,41,36,53.2,34,23,59.6,25.9,105.5
4,4,2025-10-13,,TBL,L,3,4,,33,8,0,5,0,23,14,0,2,0,41,19,68.3,43,46,48.3,34,36,48.6,53.3,91.7
5,5,2025-10-16,@,VEG,L,5,6,,24,12,1,3,0,37,6,2,6,1,35,36,49.3,56,51,52.3,35,33,51.5,55.9,103.8
6,6,2025-10-18,@,COL,L,1,4,,14,10,0,2,0,38,4,0,5,0,39,33,54.2,31,74,29.5,15,47,24.2,31.0,97.8
7,7,2025-10-19,@,UTA,L,2,3,,26,17,1,4,0,27,15,1,5,0,35,24,59.3,38,48,44.2,18,32,36.0,26.9,96.0
8,8,2025-10-21,,FLA,L,3,4,,31,15,1,5,0,23,19,1,3,0,36,29,55.4,49,35,58.3,36,28,56.3,44.0,86.6
9,9,2025-10-23,,ANA,L,5,7,,42,11,2,2,0,30,9,1,3,0,40,29,58.0,76,53,58.9,51,39,56.7,56.8,84.6
10,10,2025-10-25,,COL,W,3,2,,19,10,0,4,0,33,14,0,3,0,33,26,55.9,28,67,29.5,25,36,41.0,27.6,117.0
11,11,2025-10-27,@,OTT,L,2,7,,28,10,0,1,0,23,2,4,5,0,29,38,43.3,60,41,59.4,41,33,55.4,68.8,77.6
12,12,2025-10-28,,NYI,W,5,2,,22,10,2,4,0,35,8,0,5,0,24,19,55.8,34,37,47.9,23,26,46.9,53.8,107.6
13,13,2025-10-30,,BUF,W,4,3,OT,22,15,1,4,0,40,13,1,5,0,34,26,56.7,42,50,45.7,28,45,38.4,57.7,105.0
14,14,2025-11-01,,CAR,W,2,1,,22,2,0,1,0,29,2,0,1,0,20,23,46.5,48,54,47.1,36,35,50.7,21.7,106.1
15,15,2025-11-04,@,NYI,W,4,3,SO,27,10,1,4,0,33,12,0,3,0,29,29,50.0,40,44,47.6,27,30,47.4,51.7,100.9
16,16,2025-11-06,,OTT,W,3,2,OT,25,8,0,3,0,22,8,0,2,0,27,26,50.9,44,31,58.7,29,21,58.0,46.2,101.4
17,17,2025-11-08,@,TOR,W,5,3,,39,15,1,1,0,33,9,2,4,0,33,31,51.6,55,47,53.9,48,39,55.2,64.9,102.7
18,18,2025-11-11,,TOR,W,5,3,,32,14,3,6,0,33,16,1,5,1,25,37,40.3,44,39,53.0,29,32,47.5,58.8,101.4
19,19,2025-11-13,@,OTT,L,3,5,,21,9,1,2,0,22,9,1,2,0,19,29,39.6,37,43,46.3,23,25,47.9,64.7,91.6
20,20,2025-11-15,@,MTL,W,3,2,,23,30,1,5,0,28,26,0,7,1,33,23,58.9,35,38,47.9,20,29,40.8,75.0,102.9
21,21,2025-11-17,,CAR,L,1,3,,30,6,1,4,0,32,10,0,2,0,37,29,56.1,36,63,36.4,30,45,40.0,40.6,90.6
22,22,2025-11-19,@,ANA,L,3,4,,39,26,2,2,0,33,14,1,3,0,32,25,56.1,65,58,52.8,46,38,54.8,48.4,90.9
23,23,2025-11-21,@,LAK,W,2,1,OT,26,20,0,2,0,32,4,0,5,1,21,34,38.2,49,56,46.7,37,39,48.7,41.2,102.4
24,24,2025-11-23,@,SJS,L,1,3,,35,22,0,3,0,31,16,1,6,0,29,29,50.0,54,30,64.3,40,24,62.5,59.3,94.2
25,25,2025-11-26,@,NYI,W,3,1,,14,8,0,1,1,44,2,0,4,0,25,25,50.0,35,45,43.8,21,40,34.4,25.0,115.9
26,26,2025-11-28,,NYR,L,2,6,,21,6,0,2,0,37,4,2,3,0,25,31,44.6,50,50,50.0,32,43,42.7,52.0,95.5
27,27,2025-11-29,,DET,W,3,2,SO,20,17,1,2,0,26,11,0,5,0,25,28,47.2,36,40,47.4,26,27,49.1,33.3,98.6
28,28,2025-12-02,@,DET,L,4,5,,38,28,0,2,0,32,6,1,3,0,28,30,48.3,54,52,50.9,36,38,48.6,41.4,91.5
29,29,2025-12-04,,STL,W,5,2,,27,4,1,2,0,39,4,0,2,0,29,30,49.2,39,67,36.8,32,56,36.4,35.0,112.3
30,30,2025-12-06,,NJD,W,4,1,,22,2,0,1,0,30,2,0,1,0,31,24,56.4,47,61,43.5,31,44,41.3,51.5,112.5
31,31,2025-12-09,@,STL,W,5,2,,31,6,0,2,0,26,6,1,2,0,24,33,42.1,61,47,56.5,43,29,59.7,60.0,107.1
32,32,2025-12-11,@,WPG,W,6,3,,24,13,2,2,0,29,9,1,4,0,25,23,52.1,40,50,44.4,27,32,45.8,52.2,105.4
33,33,2025-12-14,@,MIN,L,2,6,,31,6,0,2,0,31,4,2,3,0,35,33,51.5,59,52,53.2,44,37,54.3,52.6,87.8
34,34,2025-12-16,,UTA,W,4,1,,23,16,1,4,0,21,28,1,3,0,31,29,51.7,39,48,44.8,28,27,50.9,41.9,111.0
35,35,2025-12-18,,EDM,L,1,3,,26,20,1,3,0,25,6,1,5,1,34,29,54.0,41,32,56.2,28,23,54.9,62.9,88.0
36,36,2025-12-20,,VAN,L,4,5,SO,43,10,1,3,0,23,8,1,4,0,36,23,61.0,55,34,61.8,40,26,60.6,59.1,89.5
37,37,2025-12-21,,OTT,L,2,6,,20,42,1,5,0,28,54,2,4,0,30,31,49.2,43,40,51.8,29,32,47.5,46.2,84.5
38,38,2025-12-23,,MTL,L,2,6,,28,36,1,5,0,29,32,2,7,0,30,27,52.6,33,45,42.3,22,31,41.5,27.8,84.9
39,39,2025-12-27,@,BUF,L,1,4,,23,6,0,1,0,34,2,0,3,0,30,22,57.7,39,46,45.9,28,38,42.4,53.3,94.9
40,40,2025-12-29,@,CGY,L,1,2,OT,26,10,0,3,0,20,6,1,5,0,24,23,51.1,41,36,53.2,27,23,54.0,47.6,95.0
41,41,2025-12-31,@,EDM,W,6,2,,29,47,1,3,0,36,43,0,5,0,30,31,49.2,42,44,48.8,30,33,47.6,36.7,119.4
42,42,2026-01-03,@,VAN,W,3,2,OT,22,12,2,3,0,34,6,1,6,0,39,19,67.2,37,48,43.5,27,35,43.5,39.3,94.1
43,43,2026-01-06,@,SEA,L,4,7,,36,8,1,3,0,27,6,3,4,0,31,37,45.6,63,40,61.2,49,30,62.0,62.9,84.4
44,44,2026-01-08,,CGY,W,4,1,,30,6,0,2,0,29,6,0,2,0,30,26,53.6,70,41,63.1,50,29,63.3,51.4,110.8
45,45,2026-01-10,,NYR,W,10,2,,34,26,1,3,0,29,18,1,2,0,31,33,48.4,56,51,52.3,47,37,56.0,39.4,125.2
46,46,2026-01-11,,PIT,W,1,0,,19,4,0,6,0,27,12,0,2,0,28,22,56.0,38,57,40.0,25,41,37.9,36.4,106.7
47,47,2026-01-13,,DET,W,3,0,,41,4,0,2,0,24,4,0,2,0,43,28,60.6,59,43,57.8,45,37,54.9,58.3,105.7
48,48,2026-01-15,,SEA,W,4,2,,24,13,1,2,1,28,9,2,4,0,25,22,53.2,37,39,48.7,26,25,51.0,56.5,104.0
49,49,2026-01-17,@,CHI,W,5,2,,23,2,1,1,0,24,2,0,1,0,25,23,52.1,44,37,54.3,33,32,50.8,56.0,110.7
50,50,2026-01-20,@,DAL,L,2,6,,18,11,1,2,0,37,9,2,3,0,21,39,35.0,36,56,39.1,24,40,37.5,34.3,90.9
51,51,2026-01-22,,VEG,W,4,3,,28,15,2,3,0,33,13,1,4,0,26,36,41.9,47,40,54.0,35,26,57.4,52.0,99.6
52,52,2026-01-24,,MTL,W,4,3,,21,11,3,4,0,25,13,2,3,0,32,31,50.8,32,40,44.4,25,28,47.2,36.0,97.1
53,53,2026-01-26,@,NYR,L,3,4,OT,24,8,0,1,0,28,2,0,4,0,29,28,50.9,43,37,53.8,31,28,52.5,41.4,99.4
54,54,2026-01-27,,NSH,W,3,2,OT,28,10,0,3,0,30,8,1,4,0,30,20,60.0,36,49,42.4,28,40,41.2,34.8,102.9
55,55,2026-01-29,,PHI,W,6,3,,27,12,0,1,0,36,8,1,3,0,30,23,56.6,50,42,54.3,34,38,47.2,40.0,111.7
