,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
1,1,2025-10-09,,NYR,L,0,4,,37,8,0,4,0,33,10,0,3,0,21,39,35.0,50,39,56.2,38,32,54.3,50.0,87.9
2,2,2025-10-11,@,BOS,L,1,3,,22,8,0,4,0,31,8,0,4,0,26,30,46.4,37,41,47.4,23,34,40.4,74.1,98.0
3,3,2025-10-13,,COL,L,1,3,,28,10,0,3,0,37,8,0,4,0,27,35,43.5,49,42,53.8,34,33,50.7,60.7,96.7
4,4,2025-10-15,,OTT,W,8,4,,27,14,3,3,1,37,10,1,5,0,20,37,35.1,28,52,35.0,20,35,36.4,13.6,106.8
5,5,2025-10-18,,FLA,W,3,0,,31,28,2,4,0,32,12,0,7,0,32,32,50.0,49,44,52.7,34,32,51.5,45.5,104.3
6,6,2025-10-20,@,MTL,L,2,4,,32,6,0,1,0,32,6,0,1,0,24,31,43.6,56,47,54.4,41,38,51.9,53.6,95.2
7,7,2025-10-22,,DET,W,4,2,,31,4,1,5,0,31,10,0,2,0,33,40,45.2,48,51,48.5,35,39,47.3,48.6,108.5
8,8,2025-10-24,,TOR,W,5,3,,30,10,0,2,1,34,4,1,4,0,25,35,41.7,47,49,49.0,39,32,54.9,55.2,106.6
9,9,2025-10-25,@,TOR,L,3,4,OT,26,21,1,4,0,23,13,0,3,0,19,38,33.3,40,39,50.6,24,26,48.0,54.5,93.7
10,10,2025-10-28,,CBJ,L,3,4,OT,38,4,0,2,0,39,6,1,1,0,25,33,43.1,61,72,45.9,45,52,46.4,48.7,98.6
11,11,2025-10-30,@,BOS,L,3,4,OT,40,13,1,5,0,22,15,1,4,0,26,34,43.3,51,42,54.8,45,28,61.6,42.3,89.0
12,12,2025-11-01,,WSH,W,4,3,SO,24,17,0,3,0,34,25,0,4,0,25,27,48.1,35,44,44.3,24,36,40.0,65.0,111.2
13,13,2025-11-04,,UTA,L,1,2,OT,18,4,0,2,0,35,4,0,2,0,20,30,40.0,30,59,33.7,22,41,34.9,28.1,101.0
14,14,2025-11-06,,STL,L,0,3,,28,9,0,3,0,17,11,0,2,1,26,31,45.6,50,30,62.5,33,20,62.3,65.5,82.4
15,15,2025-11-08,@,CAR,L,3,6,,22,6,0,1,0,35,4,1,2,0,31,33,48.4,40,52,43.5,26,43,37.7,44.1,98.6
16,16,2025-11-12,@,UTA,L,2,5,,19,24,0,2,0,37,14,0,2,0,28,40,41.2,39,56,41.1,32,44,42.1,44.4,99.0
17,17,2025-11-13,@,COL,L,3,6,,21,4,1,4,0,34,8,0,2,0,26,38,40.6,39,54,41.9,25,45,35.7,32.3,96.6
18,18,2025-11-15,@,DET,W,5,4,OT,27,10,0,4,1,28,8,1,5,0,26,46,36.1,41,40,50.6,26,27,49.1,47.1,101.5
19,19,2025-11-17,,EDM,W,5,1,,28,7,1,2,0,33,9,0,1,0,29,37,43.9,59,57,50.9,42,38,52.5,29.4,109.5
20,20,2025-11-19,,CGY,L,2,6,,30,2,0,3,0,35,6,0,1,0,28,32,46.7,54,63,46.2,39,41,48.8,40.0,90.3
21,21,2025-11-21,,CHI,W,9,3,,31,4,1,2,0,23,4,1,2,0,35,24,59.3,51,42,54.8,33,30,52.4,40.7,117.7
22,22,2025-11-23,,CAR,W,4,1,,21,8,1,4,0,30,8,1,4,0,23,30,43.4,34,54,38.6,26,43,37.7,30.4,109.2
