,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
1,1,2025-10-09,,MTL,L,1,5,,31,6,1,4,0,17,8,1,3,0,23,17,57.5,48,29,62.3,32,18,64.0,64.3,70.6
2,2,2025-10-11,,TOR,W,6,3,,35,6,1,4,0,23,10,0,2,0,27,25,51.9,58,35,62.4,43,24,64.2,37.5,99.9
3,3,2025-10-13,@,TOR,W,3,2,,15,6,1,4,0,40,10,0,2,0,24,37,39.3,31,56,35.6,22,41,34.9,40.5,113.2
4,4,2025-10-15,,FLA,W,4,1,,25,4,1,3,0,21,6,0,2,0,34,27,55.7,44,46,48.9,32,34,48.5,48.6,100.2
5,5,2025-10-17,,TBL,W,2,1,OT,31,6,0,3,0,32,6,0,3,0,33,26,55.9,49,60,45.0,37,42,46.8,40.0,100.9
6,6,2025-10-19,,EDM,W,4,2,,25,2,0,0,0,18,0,0,1,0,26,20,56.5,60,38,61.2,38,28,57.6,51.5,101.4
7,7,2025-10-22,@,BUF,L,2,4,,31,10,0,2,0,31,4,1,5,0,40,33,54.8,55,47,53.9,39,35,52.7,51.4,95.8
8,8,2025-10-23,@,NYI,L,2,7,,34,18,1,5,0,30,32,0,3,0,25,30,45.5,57,37,60.6,36,29,55.4,50.0,80.8
9,9,2025-10-25,,STL,W,6,4,,28,8,1,3,0,29,6,2,4,0,29,30,49.2,50,49,50.5,33,34,49.3,36.0,102.9
10,10,2025-10-28,@,STL,W,5,2,,20,9,1,2,0,22,9,0,2,0,27,18,60.0,41,35,53.9,30,26,53.6,47.4,109.7
11,11,2025-10-30,@,LAK,W,4,3,SO,27,8,2,3,0,39,6,0,4,1,30,32,48.4,48,54,47.1,35,40,46.7,43.5,96.7
12,12,2025-10-31,@,ANA,L,2,5,,30,10,1,7,0,32,16,1,5,1,34,19,64.2,37,38,49.3,31,32,49.2,38.1,89.9
13,13,2025-11-02,@,SJS,W,3,2,SO,32,6,0,2,0,18,6,0,2,0,34,20,63.0,54,36,60.0,37,20,64.9,38.2,97.2
14,14,2025-11-04,@,VEG,L,0,1,,24,2,0,2,0,34,4,0,1,0,21,41,33.9,58,55,51.3,42,42,50.0,40.5,97.1
15,15,2025-11-07,,NYR,L,1,4,,33,11,0,4,0,26,13,1,3,0,28,35,44.4,48,46,51.1,32,36,47.1,53.1,88.8
16,16,2025-11-09,,CHI,L,1,5,,46,6,0,5,0,20,10,3,3,0,33,31,51.6,66,30,68.8,51,22,69.9,60.6,77.9
17,17,2025-11-13,,ANA,W,6,3,,33,22,2,4,0,28,24,0,3,0,31,32,49.2,44,45,49.4,34,37,47.9,43.5,101.3
