,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
1,1,2025-10-08,@,TOR,L,2,5,,31,4,0,2,1,27,4,0,2,0,24,35,40.7,52,43,54.7,35,31,53.0,48.5,86.2
2,2,2025-10-09,@,DET,W,5,1,,17,8,1,3,0,31,6,1,4,0,17,23,42.5,29,45,39.2,18,32,36.0,35.7,130.1
3,3,2025-10-11,@,CHI,W,3,2,,28,17,2,10,0,22,39,1,4,0,32,20,61.5,33,31,51.6,21,26,44.7,33.3,97.6
4,4,2025-10-14,,SEA,W,5,4,OT,22,8,0,2,0,22,6,1,4,0,36,28,56.3,42,45,48.3,28,26,51.9,50.0,101.8
5,5,2025-10-16,,NSH,W,3,2,OT,30,4,0,3,0,19,6,1,2,0,21,26,44.7,40,34,54.1,31,24,56.4,66.7,94.0
6,6,2025-10-18,,NYR,L,3,4,,24,13,1,2,0,22,13,1,2,0,30,28,51.7,38,41,48.1,26,31,45.6,65.4,94.3
7,7,2025-10-20,,BUF,W,4,2,,32,6,0,1,0,32,6,0,1,0,31,24,56.4,50,56,47.2,38,41,48.1,46.4,105.3
8,8,2025-10-22,@,CGY,W,2,1,OT,28,10,1,3,0,37,6,0,5,0,29,32,47.5,36,56,39.1,25,36,41.0,32.1,97.3
9,9,2025-10-23,@,EDM,L,5,6,,27,20,0,1,0,29,2,2,5,0,21,36,36.8,55,46,54.5,38,31,55.1,42.3,98.5
10,10,2025-10-25,@,VAN,W,4,3,,24,6,2,3,0,31,6,1,3,0,38,23,62.3,44,55,44.4,32,40,44.4,30.0,100.8
11,11,2025-10-28,@,SEA,W,4,3,OT,21,10,2,2,0,21,6,1,4,0,30,19,61.2,35,26,57.4,28,16,63.6,55.0,91.6
12,12,2025-11-01,,OTT,W,4,3,OT,27,16,1,3,0,17,16,0,3,0,22,30,42.3,43,44,49.4,32,29,52.5,59.1,92.4
13,13,2025-11-04,,PHI,L,4,5,SO,20,19,2,4,0,42,15,2,6,0,38,20,65.5,35,46,43.2,25,34,42.4,33.3,105.9
14,14,2025-11-06,@,NJD,L,3,4,OT,19,10,0,2,0,28,4,0,5,0,25,19,56.8,36,37,49.3,24,28,46.2,37.5,104.5
15,15,2025-11-08,,UTA,W,6,2,,23,4,0,2,0,27,4,0,2,0,27,27,50.0,43,47,47.8,31,35,47.0,51.7,124.2
16,16,2025-11-11,,LAK,L,1,5,,22,6,0,3,0,26,6,0,3,0,26,27,49.1,46,50,47.9,31,37,45.6,61.5,86.7
17,17,2025-11-13,,DAL,L,0,7,,24,15,0,3,0,19,13,1,3,0,16,28,36.4,45,31,59.2,33,22,60.0,61.9,63.2
18,18,2025-11-15,,BOS,L,2,3,,28,26,0,7,1,23,30,1,5,0,23,33,41.1,40,34,54.1,29,20,59.2,25.0,87.0
19,19,2025-11-17,@,CBJ,L,3,4,SO,32,4,0,0,0,23,0,1,2,0,31,21,59.6,49,38,56.3,36,26,58.1,66.7,95.3
20,20,2025-11-20,,WSH,L,4,8,,28,12,1,3,0,36,10,2,4,0,30,25,54.5,44,54,44.9,30,41,42.3,45.0,92.1
21,21,2025-11-22,,TOR,W,5,2,,29,35,0,3,0,26,35,1,3,0,23,28,45.1,40,47,46.0,27,31,46.6,34.8,115.8
22,22,2025-11-26,@,UTA,W,4,3,,17,10,2,3,0,34,8,1,4,0,29,29,50.0,30,56,34.9,17,40,29.8,33.3,107.8
23,23,2025-11-28,@,VEG,W,4,1,,19,4,0,1,0,31,4,0,1,0,22,32,40.7,36,61,37.1,28,40,41.2,39.4,108.5
24,24,2025-11-29,@,COL,L,2,7,,23,10,1,2,0,36,6,1,4,0,26,32,44.8,39,55,41.5,28,40,41.2,40.7,86.4
25,25,2025-12-02,,OTT,L,2,5,,22,8,2,3,0,29,10,0,2,0,24,27,47.1,42,47,47.2,27,37,42.2,64.0,82.8
26,26,2025-12-03,,WPG,W,3,2,SO,31,7,1,1,0,32,7,0,1,0,37,24,60.7,58,63,47.9,44,44,50.0,41.5,97.8
27,27,2025-12-06,@,TOR,W,2,1,SO,34,6,1,4,0,23,8,0,3,1,26,36,41.9,43,39,52.4,37,29,56.1,41.7,95.7
28,28,2025-12-07,,STL,L,3,4,,26,6,0,2,0,18,6,1,2,0,22,32,40.7,44,28,61.1,26,23,53.1,53.6,88.9
29,29,2025-12-09,,TBL,L,1,6,,27,15,1,4,0,27,17,1,3,0,30,13,69.8,42,49,46.2,25,34,42.4,62.5,77.8
30,30,2025-12-11,@,PIT,W,4,2,,29,12,1,4,0,38,8,1,6,0,25,36,41.0,50,37,57.5,36,26,58.1,59.3,105.8
31,31,2025-12-13,@,NYR,L,4,5,OT,18,6,0,1,0,29,4,2,2,0,23,26,46.9,46,58,44.2,29,36,44.6,38.1,109.4
32,32,2025-12-14,,EDM,W,4,1,,27,10,2,4,0,28,8,1,5,0,27,28,49.1,32,33,49.2,25,26,49.0,48.3,106.4
33,33,2025-12-16,,PHI,L,1,4,,22,8,0,1,0,21,4,0,3,0,19,39,32.8,48,32,60.0,39,22,63.9,74.2,86.0
34,34,2025-12-18,,CHI,W,4,1,,35,4,0,2,0,15,4,0,2,0,31,16,66.0,54,40,57.4,45,28,61.6,45.5,104.0
35,35,2025-12-20,,PIT,W,4,0,,21,6,1,1,1,31,2,0,3,0,18,28,39.1,37,52,41.6,25,40,38.5,47.8,106.7
36,36,2025-12-21,@,PIT,L,3,4,SO,25,8,0,2,0,31,6,1,3,0,25,27,48.1,40,56,41.7,29,41,41.4,43.8,104.6
37,37,2025-12-23,@,BOS,W,6,2,,29,32,2,7,0,28,36,1,5,0,27,30,47.4,45,33,57.7,31,22,58.5,72.2,111.9
38,38,2025-12-28,@,TBL,L,4,5,SO,35,7,0,4,0,21,13,0,1,0,37,22,62.7,65,36,64.4,46,28,62.2,75.9,91.7
39,39,2025-12-30,@,FLA,W,3,2,OT,29,8,1,4,0,30,8,1,4,0,34,27,55.7,46,36,56.1,33,23,58.9,45.8,98.1
40,40,2026-01-01,@,CAR,W,7,5,,23,6,0,1,0,25,2,2,3,0,28,35,44.4,41,45,47.7,31,32,49.2,56.3,111.6
41,41,2026-01-03,@,STL,L,0,2,,26,4,0,4,0,19,8,0,2,1,32,25,56.1,44,32,57.9,30,24,55.6,37.5,89.5
42,42,2026-01-04,@,DAL,W,4,3,OT,28,6,1,5,0,27,10,0,3,0,19,26,42.2,32,40,44.4,22,32,40.7,61.5,100.7
43,43,2026-01-07,,CGY,W,4,1,,36,8,0,2,0,29,4,0,4,0,30,32,48.4,53,48,52.5,44,33,57.1,47.1,108.7
44,44,2026-01-08,,FLA,W,6,2,,19,22,0,4,0,27,24,0,3,0,25,34,42.4,31,44,41.3,22,30,42.3,50.0,134.3
45,45,2026-01-10,,DET,L,0,4,,27,10,0,1,0,24,2,1,5,0,22,30,42.3,49,36,57.6,36,25,59.0,65.4,83.3
46,46,2026-01-12,,VAN,W,6,3,,41,4,1,1,0,23,2,0,2,0,29,23,55.8,68,48,58.6,56,27,67.5,60.6,99.5
47,47,2026-01-13,@,WSH,L,2,3,OT,25,25,0,4,1,42,23,0,5,0,32,27,54.2,30,50,37.5,18,35,34.0,14.8,101.2
48,48,2026-01-15,@,BUF,L,3,5,,23,12,2,3,0,27,10,2,4,0,33,23,58.9,34,41,45.3,28,28,50.0,28.6,87.4
49,49,2026-01-17,@,OTT,W,6,5,OT,19,8,2,5,0,34,12,2,3,0,32,28,53.3,31,55,36.0,19,35,35.2,32.0,113.9
50,50,2026-01-20,,MIN,W,4,3,,33,8,0,3,0,20,6,2,4,0,31,29,51.7,72,34,67.9,47,25,65.3,61.8,97.5
51,51,2026-01-22,,BUF,L,2,4,,34,8,0,3,0,17,10,0,2,1,36,20,64.3,55,34,61.8,39,22,63.9,64.3,82.9
52,52,2026-01-24,@,BOS,L,3,4,,25,13,2,3,0,21,11,3,4,0,31,32,49.2,41,31,56.9,28,25,52.8,64.0,87.2
53,53,2026-01-27,,VEG,W,3,2,OT,26,6,0,4,0,34,8,0,3,0,18,22,45.0,51,46,52.6,35,30,53.8,38.9,104.1
54,54,2026-01-29,,COL,W,7,3,,28,6,1,2,1,29,6,0,2,0,29,24,54.7,47,57,45.2,39,37,51.3,53.8,110.5
55,55,2026-01-31,@,BUF,W,4,2,,31,8,1,3,0,38,6,1,4,0,40,17,70.2,39,61,39.0,33,44,42.9,29.2,102.7
56,56,2026-02-02,@,MIN,L,3,4,OT,20,6,0,1,0,24,2,1,3,0,31,27,53.4,41,55,42.7,26,43,37.7,35.5,101.0
57,57,2026-02-04,@,WPG,W,5,1,,27,8,1,2,1,37,4,1,4,0,33,27,55.0,45,51,46.9,29,43,40.3,44.8,111.6
58,58,2026-02-26,,NYI,L,3,4,OT,25,4,2,3,0,26,6,1,2,0,34,32,51.5,47,54,46.5,28,34,45.2,59.5,90.2
59,59,2026-02-28,,WSH,W,6,2,,25,10,0,3,1,29,8,0,4,0,27,27,50.0,36,37,49.3,24,29,45.3,67.9,115.3
60,60,2026-03-03,@,SJS,L,5,7,,36,12,2,5,0,28,14,2,4,0,35,29,54.7,37,37,50.0,30,25,54.5,52.0,90.8
61,61,2026-03-06,@,ANA,L,5,6,SO,28,4,1,4,0,33,8,1,2,0,33,27,55.0,50,49,50.5,38,35,52.1,63.0,104.8
62,62,2026-03-07,@,LAK,W,4,3,,23,6,1,1,0,39,2,0,3,0,23,22,51.1,40,65,38.1,28,52,35.0,38.5,105.9
