,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
1,1,2025-10-09,@,TBL,W,5,4,,34,20,1,4,0,25,22,2,3,0,30,25,54.5,52,38,57.8,35,29,54.7,53.8,96.0
2,2,2025-10-11,@,FLA,L,2,6,,28,10,0,2,0,27,4,3,5,0,41,20,67.2,39,40,49.4,28,24,53.8,52.0,87.3
3,3,2025-10-13,,NSH,L,1,4,,32,12,1,5,0,26,10,0,6,0,55,22,71.4,47,36,56.6,34,24,58.6,69.7,84.6
4,4,2025-10-15,@,BUF,L,4,8,,37,10,1,5,0,27,14,3,3,1,37,20,64.9,56,28,66.7,35,20,63.6,86.4,82.4
5,5,2025-10-16,,SEA,W,4,3,SO,23,6,1,2,0,33,4,1,3,0,32,27,54.2,56,48,53.8,37,32,53.6,40.7,96.2
6,6,2025-10-18,,NYI,L,4,5,,32,6,1,2,0,23,4,0,3,0,27,25,51.9,49,39,55.7,33,32,50.8,48.0,86.6
7,7,2025-10-21,,EDM,L,2,3,OT,21,6,1,3,0,25,6,2,3,0,26,18,59.1,41,31,56.9,27,24,52.9,60.0,93.6
8,8,2025-10-23,,PHI,W,2,1,,33,8,0,5,0,23,12,0,3,0,19,24,44.2,39,34,53.4,28,25,52.8,68.8,104.3
9,9,2025-10-25,@,WSH,W,7,1,,34,12,3,4,0,13,16,0,2,0,36,23,61.0,46,45,50.5,35,23,60.3,57.1,108.3
10,10,2025-10-27,,BOS,W,7,2,,23,2,4,5,0,28,10,0,1,0,38,29,56.7,42,60,41.2,33,41,44.6,31.3,110.5
11,11,2025-10-28,@,CHI,L,3,7,,24,16,0,4,0,26,22,1,1,1,36,28,56.3,47,52,47.5,33,35,48.5,42.1,88.9
12,12,2025-10-30,,CGY,W,4,3,SO,38,10,0,4,1,29,10,2,4,0,46,24,65.7,35,42,45.5,29,24,54.7,35.7,100.8
13,13,2025-11-01,@,MTL,L,3,4,OT,17,16,0,3,0,27,16,1,3,0,30,22,57.7,44,43,50.6,29,32,47.5,40.9,105.2
14,14,2025-11-06,@,BOS,L,2,3,OT,22,8,0,2,0,25,8,0,3,0,26,27,49.1,34,44,43.6,21,29,42.0,53.8,104.7
15,15,2025-11-08,@,PHI,W,3,2,OT,14,8,0,2,0,22,8,0,2,0,29,24,54.7,30,43,41.1,22,29,43.1,43.5,110.9
16,16,2025-11-09,,UTA,W,4,2,,25,4,0,2,0,31,6,0,1,0,37,23,61.7,43,42,50.6,33,33,50.0,56.7,110.9
17,17,2025-11-11,,DAL,L,2,3,OT,29,6,0,2,0,33,4,1,3,0,23,26,46.9,41,40,50.6,35,31,53.0,50.0,98.9
18,18,2025-11-13,,BOS,W,5,3,,22,9,1,2,0,21,9,1,2,0,29,19,60.4,44,37,54.3,25,23,52.1,35.3,103.4
19,19,2025-11-15,,LAK,L,0,1,,17,6,0,2,0,18,4,0,2,0,25,20,55.6,50,30,62.5,33,20,62.3,57.1,94.4
20,20,2025-11-20,@,ANA,W,3,2,,25,4,1,3,0,25,6,0,2,0,33,28,54.1,47,45,51.1,32,36,47.1,50.0,103.1
21,21,2025-11-22,@,SJS,W,3,2,,27,15,1,5,0,19,15,1,5,0,33,21,61.1,45,24,65.2,35,19,64.8,65.0,98.6
22,22,2025-11-24,@,LAK,L,1,2,,28,6,0,3,0,22,6,1,3,0,33,15,68.8,45,40,52.9,35,28,55.6,56.0,95.1
23,23,2025-11-26,@,VEG,W,4,3,SO,22,6,1,3,0,35,6,1,3,0,34,28,54.8,47,46,50.5,33,38,46.5,36.4,102.0
24,24,2025-11-28,@,STL,L,3,4,,28,10,0,1,0,31,6,0,3,0,27,25,51.9,42,52,44.7,32,37,46.4,34.8,101.4
25,25,2025-11-30,@,DAL,L,1,6,,16,10,0,3,0,26,8,2,4,0,29,28,50.9,42,27,60.9,32,19,62.7,42.3,83.6
26,26,2025-12-02,@,MTL,W,5,2,,29,10,0,2,0,22,8,2,3,0,27,24,52.9,49,42,53.8,37,27,57.8,36.0,110.9
27,27,2025-12-04,,NYR,L,2,4,,27,2,2,3,0,28,6,0,1,0,23,28,45.1,51,51,50.0,39,35,52.7,57.1,85.7
28,28,2025-12-06,,STL,L,1,2,,42,10,1,7,0,20,20,0,2,0,33,34,49.3,48,34,58.5,36,25,59.0,67.6,90.0
29,29,2025-12-09,,NJD,L,3,4,,38,8,3,3,0,32,8,0,3,0,35,30,53.8,61,37,62.2,46,29,61.3,62.1,87.5
30,30,2025-12-11,@,CBJ,W,6,3,,29,2,1,2,0,27,4,1,1,0,37,27,57.8,46,50,47.9,34,29,54.0,55.2,103.7
