,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
1,1,2025-10-09,,OTT,L,4,5,,25,22,2,3,0,34,20,1,4,0,25,30,45.5,38,49,43.7,29,35,45.3,46.2,90.6
2,2,2025-10-11,,NJD,L,3,5,,17,8,0,3,0,31,6,0,4,1,25,34,42.4,33,46,41.8,21,36,36.8,46.2,108.9
3,3,2025-10-13,@,BOS,W,4,3,,23,14,0,2,0,33,8,0,5,0,19,41,31.7,46,43,51.7,36,34,51.4,46.7,112.0
4,4,2025-10-14,@,WSH,L,2,3,OT,19,10,1,2,0,28,8,1,3,0,26,30,46.4,35,47,42.7,27,35,43.5,48.5,95.2
5,5,2025-10-17,@,DET,L,1,2,OT,32,6,0,3,0,31,6,0,3,0,26,33,44.1,62,48,56.4,42,37,53.2,60.0,96.9
6,6,2025-10-18,@,CBJ,L,2,3,,24,15,1,3,0,31,17,0,2,0,27,36,42.9,42,55,43.3,28,42,40.0,39.4,97.5
7,7,2025-10-23,,CHI,L,2,3,,31,12,0,4,0,25,8,1,5,0,31,20,60.8,63,33,65.6,47,28,62.7,68.4,95.4
8,8,2025-10-25,,ANA,W,4,3,,33,11,1,6,0,40,19,0,2,0,38,35,52.1,48,53,47.5,37,39,48.7,44.1,105.5
9,9,2025-10-26,,VEG,W,2,1,OT,28,11,0,5,0,19,15,0,3,0,28,28,50.0,45,31,59.2,26,18,59.1,70.4,100.3
10,10,2025-10-28,@,NSH,W,5,2,,32,10,0,4,0,20,12,1,3,0,20,39,33.9,36,19,65.5,32,9,78.0,50.0,108.2
11,11,2025-10-30,,DAL,W,2,1,OT,33,6,1,4,0,21,8,0,3,0,20,26,43.5,51,33,60.7,43,21,67.2,43.8,95.2
12,12,2025-11-02,@,UTA,W,4,2,,26,8,0,2,0,27,16,0,3,0,27,34,44.3,40,41,49.4,29,28,50.9,56.8,107.6
13,13,2025-11-04,@,COL,L,2,3,,24,13,0,3,0,33,11,1,4,0,30,31,49.2,47,40,54.0,33,31,51.6,38.5,100.9
14,14,2025-11-06,@,VEG,W,6,3,,27,6,2,4,0,32,8,0,3,0,22,32,40.7,46,47,49.5,31,33,48.4,44.4,112.1
15,15,2025-11-08,,WSH,W,3,2,,20,11,1,2,0,30,23,0,1,0,23,29,44.2,39,49,44.3,27,40,40.3,53.3,104.4
16,16,2025-11-12,,NYR,L,3,7,,36,8,0,3,1,21,8,1,3,0,28,34,45.2,54,41,56.8,39,24,61.9,68.8,74.7
17,17,2025-11-15,@,FLA,W,3,1,,20,16,0,4,0,23,14,1,5,0,25,32,43.9,31,36,46.3,26,30,46.4,55.0,109.9
18,18,2025-11-16,,VAN,L,2,6,,30,33,0,2,0,18,33,2,3,0,28,31,47.5,50,26,65.8,39,20,66.1,55.2,75.4
19,19,2025-11-18,,NJD,W,5,1,,29,10,2,3,0,32,8,0,4,0,24,31,43.6,40,42,48.8,30,37,44.8,42.9,112.7
20,20,2025-11-20,,EDM,W,2,1,OT,35,9,0,3,0,25,21,0,2,0,23,31,42.6,46,44,51.1,36,26,58.1,46.9,99.7
21,21,2025-11-22,@,WSH,W,5,3,,16,27,1,3,1,32,11,0,6,0,29,25,53.7,25,56,30.9,15,38,28.3,37.5,120.6
22,22,2025-11-24,,PHI,W,3,0,,18,7,0,2,0,20,9,0,1,0,21,23,47.7,38,39,49.4,25,31,44.6,41.7,113.3
23,23,2025-11-26,,CGY,W,5,1,,23,10,0,4,0,32,8,0,5,1,28,23,54.9,46,46,50.0,29,35,45.3,47.6,128.1
24,24,2025-11-28,@,DET,W,6,3,,27,4,1,1,0,37,4,0,1,0,30,27,52.6,49,45,52.1,34,42,44.7,58.6,106.2
25,25,2025-11-29,@,NYR,W,4,1,,35,4,0,2,0,13,4,0,2,0,17,31,35.4,60,35,63.2,45,20,69.2,52.2,102.3
26,26,2025-12-02,@,NYI,L,1,2,,31,6,0,3,0,24,6,0,3,0,22,20,52.4,59,36,62.1,41,31,56.9,57.9,95.5
27,27,2025-12-04,,PIT,L,3,4,,40,13,1,6,0,31,17,2,4,0,27,32,45.8,34,39,46.6,28,36,43.8,60.0,97.1
28,28,2025-12-06,,NYI,L,0,2,,32,6,0,2,0,19,4,1,3,0,27,20,57.4,51,31,62.2,32,22,59.3,44.4,89.5
29,29,2025-12-08,@,TOR,L,0,2,,29,24,0,1,0,25,22,0,2,0,24,31,43.6,56,40,58.3,39,33,54.2,40.6,92.0
30,30,2025-12-09,@,MTL,W,6,1,,27,17,1,3,0,27,15,1,4,0,13,30,30.2,53,40,57.0,34,25,57.6,37.5,118.0
31,31,2025-12-11,@,NJD,W,8,4,,35,11,2,3,0,37,11,1,3,0,34,32,51.5,44,51,46.3,31,40,43.7,37.9,107.7
32,32,2025-12-13,@,NYI,L,2,3,SO,34,8,1,4,0,17,10,1,4,0,35,34,50.7,54,30,64.3,36,26,58.1,60.6,92.6
