,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
1,1,2025-10-08,,MTL,W,5,2,,27,4,0,2,0,31,4,0,2,1,35,24,59.3,44,48,47.8,31,35,47.0,51.5,106.0
2,2,2025-10-11,@,DET,L,3,6,,23,10,0,2,0,35,6,1,4,0,25,27,48.1,35,57,38.0,24,43,35.8,62.5,94.6
3,3,2025-10-13,,DET,L,2,3,,40,10,0,2,0,15,6,1,4,0,37,24,60.7,58,31,65.2,41,22,65.1,59.5,86.1
4,4,2025-10-14,,NSH,W,7,4,,28,6,0,2,0,30,6,0,2,0,30,29,50.8,47,54,46.5,36,37,49.3,42.9,109.4
5,5,2025-10-16,,NYR,W,2,1,OT,24,6,1,2,0,29,4,0,3,0,26,29,47.3,37,43,46.3,29,33,46.8,40.6,96.6
6,6,2025-10-18,,SEA,L,3,4,OT,30,4,1,4,0,28,8,1,2,0,34,21,61.8,48,44,52.2,31,29,51.7,50.0,94.8
7,7,2025-10-21,,NJD,L,2,5,,25,11,0,2,0,35,11,1,2,0,28,27,50.9,42,46,47.7,28,32,46.7,63.3,98.2
8,8,2025-10-24,@,BUF,L,3,5,,34,4,1,4,0,30,10,0,2,1,35,25,58.3,49,46,51.6,32,39,45.1,44.8,92.0
9,9,2025-10-25,,BUF,W,4,3,OT,23,13,0,3,0,26,21,1,4,0,38,19,66.7,39,37,51.3,26,24,52.0,45.5,106.1
10,10,2025-10-28,,CGY,W,4,3,,37,6,1,4,0,29,8,0,3,0,26,26,50.0,43,41,51.2,34,30,53.1,69.6,101.2
11,11,2025-10-29,@,CBJ,L,3,6,,36,4,0,2,0,24,4,0,2,0,25,34,42.4,68,51,57.1,50,32,61.0,53.3,83.6
12,12,2025-11-01,@,PHI,W,5,2,,27,12,0,3,0,33,6,1,6,0,39,29,57.4,39,44,47.0,31,32,49.2,36.7,112.1
13,13,2025-11-03,,PIT,W,4,3,,20,6,0,1,0,37,2,1,3,0,33,23,58.9,34,58,37.0,28,40,41.2,39.1,114.1
14,14,2025-11-05,,UTA,W,5,3,,19,6,0,1,0,24,2,0,3,0,28,23,54.9,32,36,47.1,27,31,46.6,28.6,112.5
15,15,2025-11-08,,BOS,L,3,5,,33,9,2,4,0,39,15,1,1,0,31,33,48.4,47,55,46.1,39,48,44.8,35.1,91.2
16,16,2025-11-09,,CAR,L,4,5,,20,10,1,3,0,47,8,1,4,0,42,30,58.3,25,65,27.8,17,45,27.4,31.0,109.4
17,17,2025-11-11,@,BOS,L,3,5,,33,16,1,5,1,32,14,3,6,0,37,25,59.7,40,42,48.8,32,29,52.5,41.2,89.6
18,18,2025-11-13,,LAK,L,3,4,OT,15,4,0,1,0,37,2,0,2,0,38,15,71.7,30,66,31.3,23,47,32.9,32.1,112.3
19,19,2025-11-15,@,CHI,L,2,3,,33,4,0,3,0,32,6,0,2,0,33,21,61.1,56,42,57.1,42,38,52.5,55.2,97.8
20,20,2025-11-18,,STL,W,3,2,OT,29,6,0,3,0,29,6,1,3,0,27,31,46.6,39,48,44.8,31,36,46.3,50.0,101.1
21,21,2025-11-20,,CBJ,L,2,3,OT,29,4,0,2,0,30,4,0,2,0,44,20,68.8,55,48,53.4,33,37,47.1,63.0,99.5
22,22,2025-11-22,@,MTL,L,2,5,,26,35,1,3,0,29,35,0,3,0,28,23,54.9,47,39,54.7,31,27,53.4,65.2,87.5
23,23,2025-11-26,@,CBJ,W,2,1,OT,24,8,0,2,0,36,6,0,3,0,35,24,59.3,37,52,41.6,29,41,41.4,54.1,103.5
24,24,2025-11-28,@,WSH,L,2,4,,22,4,0,0,0,34,0,0,2,0,32,22,59.3,49,58,45.8,36,44,45.0,37.5,97.8
25,25,2025-11-29,@,PIT,W,7,2,,23,10,1,3,0,35,10,1,3,0,30,25,54.5,31,72,30.1,21,49,30.0,25.9,131.8
26,26,2025-12-02,@,FLA,W,4,1,,31,2,0,3,0,26,6,0,1,1,39,15,72.2,50,52,49.0,38,35,52.1,34.3,108.7
27,27,2025-12-04,@,CAR,W,5,1,,24,6,0,2,0,33,4,0,3,0,35,27,56.5,32,59,35.2,26,44,37.1,40.5,118.0
28,28,2025-12-06,,MTL,L,1,2,SO,23,8,0,3,1,34,6,1,4,0,36,26,58.1,40,43,48.2,29,37,43.9,58.3,97.1
29,29,2025-12-08,,TBL,W,2,0,,25,22,0,2,0,29,24,0,1,0,31,24,56.4,40,52,43.5,33,39,45.8,59.4,104.8
30,30,2025-12-11,,SJS,L,2,3,OT,30,4,1,3,0,32,6,0,2,0,37,24,60.7,45,43,51.1,35,31,53.0,45.5,95.0
31,31,2025-12-13,,EDM,L,3,6,,28,4,0,1,0,37,2,0,2,0,25,28,47.2,45,57,44.1,37,45,45.1,35.7,96.8
32,32,2025-12-16,,CHI,W,3,2,,27,2,1,3,0,25,6,0,1,1,28,21,57.1,45,37,54.9,34,27,55.7,45.8,102.0
33,33,2025-12-18,@,WSH,L,0,4,,22,6,0,5,0,29,10,0,3,0,26,22,54.2,30,49,38.0,23,40,36.5,45.8,86.2
34,34,2025-12-20,@,NSH,L,3,5,,22,6,0,1,0,34,4,1,2,0,28,17,62.2,42,59,41.6,31,39,44.3,39.1,95.3
35,35,2025-12-21,@,DAL,L,1,5,,28,6,0,4,0,22,8,0,3,0,28,18,60.9,47,35,57.3,36,28,56.3,47.6,82.5
36,36,2025-12-23,,PIT,W,6,3,,31,6,0,2,0,32,6,0,1,0,34,24,58.6,45,48,48.4,37,35,51.4,48.6,103.1
37,37,2025-12-27,,OTT,W,7,5,,33,4,2,3,0,31,8,0,1,0,24,31,43.6,40,45,47.1,34,40,45.9,47.8,98.7
38,38,2025-12-28,@,DET,L,2,3,OT,27,4,1,2,0,36,6,0,1,0,28,32,46.7,45,58,43.7,33,47,41.3,42.9,96.2
39,39,2025-12-30,,NJD,W,4,0,,30,11,1,3,0,33,11,0,3,0,29,23,55.8,36,48,42.9,27,35,43.5,28.6,112.5
40,40,2026-01-01,,WPG,W,6,5,,30,4,1,1,0,40,2,1,2,0,25,25,50.0,52,51,50.5,39,43,47.6,37.0,106.0
41,41,2026-01-03,@,NYI,L,3,4,OT,21,4,0,1,0,25,4,0,1,0,32,24,57.1,47,48,49.5,33,38,46.5,40.0,99.8
42,42,2026-01-06,,FLA,W,4,1,,23,11,0,2,0,32,9,0,3,0,30,28,51.7,35,49,41.7,27,36,42.9,37.5,115.6
43,43,2026-01-08,@,PHI,W,2,1,OT,23,6,0,2,1,23,4,0,3,0,35,16,68.6,50,43,53.8,38,32,54.3,48.3,95.7
44,44,2026-01-10,,VAN,W,5,0,,24,19,2,4,0,29,15,0,6,0,39,17,69.6,33,49,40.2,25,37,40.3,39.1,118.8
45,45,2026-01-12,@,COL,W,4,3,OT,31,8,0,2,0,34,6,1,3,0,28,27,50.9,42,59,41.6,30,38,44.1,42.9,100.3
46,46,2026-01-13,@,UTA,L,1,6,,20,6,0,3,0,41,8,0,2,0,28,36,43.8,43,84,33.9,28,64,30.4,36.8,93.1
47,47,2026-01-15,@,VEG,L,5,6,OT,28,6,1,1,0,33,2,2,3,0,43,26,62.3,50,49,50.5,36,36,50.0,38.1,97.2
48,48,2026-01-17,@,WPG,W,4,3,OT,37,6,0,2,0,30,4,0,3,0,30,19,61.2,46,48,48.9,36,38,48.6,46.2,100.3
49,49,2026-01-19,,MIN,L,3,6,,30,6,1,4,0,39,8,2,3,0,29,25,53.7,47,52,47.5,34,41,45.3,57.7,92.9
50,50,2026-01-21,,DET,L,1,2,OT,31,4,0,2,0,41,4,0,2,0,33,32,50.8,44,64,40.7,34,48,41.5,51.5,100.1
51,51,2026-01-23,,VEG,L,3,6,,21,2,0,1,0,31,2,0,1,0,29,21,58.0,50,45,52.6,33,37,47.1,46.2,97.3
52,52,2026-01-25,,COL,L,1,4,,33,4,1,3,0,37,6,0,2,0,33,26,55.9,47,52,47.5,39,43,47.6,40.6,89.2
53,53,2026-01-27,,BUF,L,4,7,,23,4,0,0,0,31,0,1,2,0,35,17,67.3,50,53,48.5,30,40,42.9,50.0,95.6
